Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:04:42.717,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
2,19:04:43.104,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
3,19:04:43.614,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
4,19:04:43.991,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
5,19:04:44.331,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
6,19:04:45.523,Balloon,Pressure BB Gun,0.374s,3,1,0.333,2,6,0.333,false
7,19:04:45.645,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
8,19:04:46.008,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
9,19:04:46.378,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
10,19:04:46.836,Balloon,Pressure BB Gun,0.192s,2,1,0.5,2,4,0.5,false
11,19:04:47.153,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
12,19:04:47.656,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
13,19:04:48.003,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
14,19:04:48.495,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
15,19:04:48.745,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
16,19:04:49.155,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
17,19:04:49.478,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
18,19:04:49.907,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
19,19:04:50.271,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
20,19:04:50.684,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
21,19:04:51.276,Balloon,Pressure BB Gun,0.286s,2,1,0.5,2,4,0.5,false
22,19:04:51.671,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
23,19:04:51.947,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
24,19:04:52.367,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
25,19:04:53.310,Balloon,Pressure BB Gun,0.65s,3,1,0.333,2,6,0.333,false
26,19:04:53.841,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
27,19:04:54.067,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
28,19:04:54.367,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
29,19:04:55.342,Balloon,Pressure BB Gun,0.699s,3,1,0.333,2,6,0.333,false
30,19:04:55.474,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
31,19:04:55.843,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
32,19:04:56.236,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
33,19:04:57.109,Balloon,Pressure BB Gun,0.481s,3,1,0.333,2,6,0.333,false
34,19:04:57.498,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
35,19:04:57.783,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
36,19:04:58.667,Balloon,Pressure BB Gun,0.477s,3,1,0.333,2,6,0.333,false
37,19:04:58.848,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
38,19:04:59.228,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
39,19:04:59.611,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
40,19:05:00.643,Balloon,Pressure BB Gun,0.663s,3,1,0.333,2,6,0.333,false
41,19:05:01.456,Balloon,Pressure BB Gun,0.493s,3,1,0.333,2,6,0.333,false
42,19:05:01.615,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
43,19:05:02.191,Balloon,Pressure BB Gun,0.3s,2,1,0.5,2,4,0.5,false
44,19:05:02.623,Balloon,Pressure BB Gun,0.193s,2,1,0.5,2,4,0.5,false
45,19:05:02.824,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
46,19:05:03.370,Balloon,Pressure BB Gun,0.232s,2,1,0.5,2,4,0.5,false
47,19:05:03.915,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
48,19:05:04.237,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
49,19:05:04.638,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
50,19:05:05.082,Balloon,Pressure BB Gun,0.199s,2,1,0.5,2,4,0.5,false
51,19:05:05.666,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
52,19:05:06.075,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
53,19:05:06.290,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
54,19:05:08.097,Balloon,Pressure BB Gun,1.477s,6,1,0.167,2,12,0.167,false
55,19:05:08.456,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
56,19:05:09.283,Balloon,Pressure BB Gun,0.165s,2,1,0.5,2,4,0.5,false
57,19:05:09.876,Balloon,Pressure BB Gun,0.461s,3,1,0.333,2,6,0.333,false
58,19:05:10.046,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
59,19:05:10.811,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
60,19:05:11.168,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
61,19:05:12.467,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
62,19:05:12.993,Balloon,Pressure BB Gun,0.168s,2,1,0.5,2,4,0.5,false
63,19:05:13.280,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
64,19:05:13.567,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
65,19:05:13.960,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
66,19:05:14.333,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
67,19:05:14.751,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
68,19:05:15.256,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
69,19:05:15.638,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
70,19:05:15.935,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
71,19:05:16.292,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
72,19:05:16.758,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
73,19:05:17.099,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
74,19:05:17.425,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
75,19:05:17.726,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
76,19:05:18.365,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
77,19:05:18.879,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
78,19:05:19.277,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
79,19:05:19.642,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
80,19:05:20.007,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
81,19:05:20.358,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
82,19:05:21.069,Balloon,Pressure BB Gun,0.239s,2,1,0.5,2,4,0.5,false
83,19:05:21.483,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
84,19:05:21.796,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
85,19:05:22.250,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
86,19:05:22.726,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
87,19:05:23.193,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
88,19:05:23.756,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
89,19:05:24.162,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
90,19:05:24.526,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
91,19:05:24.829,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
92,19:05:25.233,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
93,19:05:25.601,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
94,19:05:26.015,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
95,19:05:26.473,Balloon,Pressure BB Gun,0.098s,2,1,0.5,2,4,0.5,false
96,19:05:27.060,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
97,19:05:27.313,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
98,19:05:27.761,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
99,19:05:28.011,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
100,19:05:29.056,Balloon,Pressure BB Gun,0.672s,3,1,0.333,2,6,0.333,false
101,19:05:30.328,Balloon,Pressure BB Gun,0.805s,2,1,0.5,2,4,0.5,false
102,19:05:30.789,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
