Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:58:27.203,target,BB Gun,0s,1,1,1,1,1,1,false
2,22:58:28.172,target,BB Gun,0.78s,2,1,0.5,1,2,0.5,false
3,22:58:28.353,400ms,BB Gun,0s,1,1,1,1,1,1,false
4,22:58:29.234,target,BB Gun,0s,1,1,1,1,1,1,false
5,22:58:30.035,target,BB Gun,0s,1,1,1,1,1,1,false
6,22:58:30.934,target,BB Gun,0.699s,2,1,0.5,1,2,0.5,false
7,22:58:31.428,target,BB Gun,0.312s,2,1,0.5,1,2,0.5,false
8,22:58:32.860,target,BB Gun,1.019s,2,1,0.5,1,2,0.5,false
9,22:58:33.828,target,BB Gun,0.787s,2,1,0.5,1,2,0.5,false
10,22:58:33.960,400ms,BB Gun,0s,1,1,1,1,1,1,false
11,22:58:34.716,target,BB Gun,0s,1,1,1,1,1,1,false
12,22:58:35.604,target,BB Gun,0.712s,2,1,0.5,1,2,0.5,false
13,22:58:36.535,target,BB Gun,0.737s,2,1,0.5,1,2,0.5,false
14,22:58:36.691,400ms,BB Gun,0s,1,1,1,1,1,1,false
15,22:58:37.473,target,BB Gun,0s,1,1,1,1,1,1,false
16,22:58:38.447,target,BB Gun,0s,1,1,1,1,1,1,false
17,22:58:39.341,target,BB Gun,0s,1,1,1,1,1,1,false
18,22:58:40.229,target,BB Gun,0.706s,2,1,0.5,1,2,0.5,false
19,22:58:41.216,target,BB Gun,0s,1,1,1,1,1,1,false
20,22:58:41.385,400ms,BB Gun,0s,1,1,1,1,1,1,false
21,22:58:43.986,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,22:58:44.148,400ms,BB Gun,0s,1,1,1,1,1,1,false
23,22:58:44.836,target,BB Gun,0s,1,1,1,1,1,1,false
24,22:58:45.798,target,BB Gun,0.761s,2,1,0.5,1,2,0.5,false
25,22:58:46.779,target,BB Gun,0.781s,2,1,0.5,1,2,0.5,false
26,22:58:46.922,400ms,BB Gun,0s,1,1,1,1,1,1,false
27,22:58:49.448,target,BB Gun,1.787s,3,1,0.333,1,3,0.333,false
28,22:58:50.479,target,BB Gun,0s,1,1,1,1,1,1,false
29,22:58:51.072,target,BB Gun,0.399s,2,1,0.5,1,2,0.5,false
30,22:58:52.379,target,BB Gun,0s,1,1,1,1,1,1,false
31,22:58:53.392,target,BB Gun,0.843s,2,1,0.5,1,2,0.5,false
32,22:58:54.318,target,BB Gun,0.727s,2,1,0.5,1,2,0.5,false
33,22:58:54.480,400ms,BB Gun,0s,1,1,1,1,1,1,false
34,22:58:55.198,target,BB Gun,0s,1,1,1,1,1,1,false
35,22:58:55.374,400ms,BB Gun,0s,1,1,1,1,1,1,false
36,22:58:56.111,target,BB Gun,0s,1,1,1,1,1,1,false
37,22:58:57.061,target,BB Gun,0.769s,2,1,0.5,1,2,0.5,false
38,22:58:57.999,target,BB Gun,0.701s,2,1,0.5,1,2,0.5,false
39,22:58:58.955,target,BB Gun,0s,1,1,1,1,1,1,false
40,22:58:59.924,target,BB Gun,0.756s,2,1,0.5,1,2,0.5,false
41,22:59:00.155,400ms,BB Gun,0s,1,1,1,1,1,1,false
42,22:59:00.805,target,BB Gun,0s,1,1,1,1,1,1,false
43,22:59:01.762,target,BB Gun,0.732s,2,1,0.5,1,2,0.5,false
44,22:59:02.756,target,BB Gun,0s,1,1,1,1,1,1,false
45,22:59:03.698,target,BB Gun,0.743s,2,1,0.5,1,2,0.5,false
46,22:59:03.893,400ms,BB Gun,0s,1,1,1,1,1,1,false
47,22:59:04.599,target,BB Gun,0s,1,1,1,1,1,1,false
48,22:59:05.511,target,BB Gun,0.744s,2,1,0.5,1,2,0.5,false
49,22:59:06.505,target,BB Gun,0.787s,2,1,0.5,1,2,0.5,false
50,22:59:06.667,400ms,BB Gun,0s,1,1,1,1,1,1,false
51,22:59:07.518,target,BB Gun,0s,1,1,1,1,1,1,false
52,22:59:08.424,target,BB Gun,0.725s,2,1,0.5,1,2,0.5,false
53,22:59:09.356,target,BB Gun,0.726s,2,1,0.5,1,2,0.5,false
