Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,07:00:28.505,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.819s,461,217,0.471,200,420,0.476,false
2,07:00:30.045,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.282s,714,228,0.319,209,650,0.322,false
3,07:00:31.284,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.981s,549,222,0.404,203,500,0.406,false
4,07:00:32.405,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.864s,483,227,0.47,208,440,0.473,false
5,07:00:33.386,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.721s,406,224,0.552,205,370,0.554,false
6,07:00:34.643,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1s,560,222,0.396,203,510,0.398,false
7,07:00:35.235,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.557s,318,224,0.704,206,290,0.71,false
8,07:00:36.144,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.661s,369,225,0.61,205,336,0.61,false
9,07:00:37.245,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.84s,472,225,0.477,207,430,0.481,false
10,07:00:38.443,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.94s,527,226,0.429,206,480,0.429,false
11,07:00:39.544,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.84s,472,220,0.466,201,430,0.467,false
12,07:00:40.397,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.598s,340,224,0.659,204,310,0.658,false
13,07:00:40.917,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.46s,263,223,0.848,205,240,0.854,false
14,07:00:41.585,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.42s,241,226,0.938,209,220,0.95,false
15,07:00:42.596,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.782s,439,218,0.497,201,400,0.502,false
16,07:00:43.764,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.92s,516,218,0.422,200,470,0.426,false
17,07:00:44.826,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.8s,450,224,0.498,203,410,0.495,false
18,07:00:46.182,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.099s,615,218,0.354,200,560,0.357,false
19,07:00:48.003,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.56s,868,418,0.482,384,790,0.486,false
20,07:00:48.605,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.34s,197,24,0.122,23,180,0.128,false
21,07:00:50.015,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.162s,648,223,0.344,200,590,0.339,false
22,07:00:50.857,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.601s,340,227,0.668,208,310,0.671,false
23,07:00:51.505,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.399s,230,223,0.97,204,210,0.971,false
24,07:00:52.584,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.82s,461,220,0.477,202,420,0.481,false
25,07:00:53.563,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.719s,406,227,0.559,207,370,0.559,false
26,07:00:54.564,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.739s,417,219,0.525,201,380,0.529,false
27,07:00:55.856,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.08s,604,221,0.366,202,550,0.367,false
28,07:00:56.816,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.719s,406,219,0.539,200,370,0.541,false
29,07:00:57.495,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.639s,353,228,0.646,206,321,0.642,false
30,07:00:58.146,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.403s,228,223,0.978,203,208,0.976,false
31,07:00:59.046,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.641s,362,224,0.619,206,330,0.624,false
32,07:01:00.084,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.78s,439,227,0.517,207,400,0.517,false
33,07:01:01.305,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.962s,538,224,0.416,206,490,0.42,false
34,07:01:01.983,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.417s,241,221,0.917,202,220,0.918,false
35,07:01:02.963,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.719s,406,228,0.562,209,370,0.565,false
36,07:01:04.085,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.861s,483,222,0.46,204,440,0.464,false
37,07:01:05.056,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.722s,406,220,0.542,200,370,0.541,false
38,07:01:05.743,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.438s,248,226,0.911,207,226,0.916,false
39,07:01:07.183,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.178s,659,226,0.343,206,600,0.343,false
40,07:01:08.364,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.919s,516,218,0.422,201,470,0.428,false
41,07:01:09.335,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.802s,450,223,0.496,204,410,0.498,false
42,07:01:09.965,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.383s,219,219,1,200,200,1,false
43,07:01:10.804,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.581s,329,218,0.663,201,300,0.67,false
44,07:01:11.816,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.843s,472,223,0.472,203,430,0.472,false
45,07:01:12.726,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.661s,373,228,0.611,208,340,0.612,false
46,07:01:14.075,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.141s,637,422,0.662,388,580,0.669,false
47,07:01:14.125,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.02s,21,20,0.952,19,20,0.95,false
48,07:01:15.646,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.262s,703,219,0.312,201,640,0.314,false
49,07:01:16.946,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.042s,582,222,0.381,202,530,0.381,false
50,07:01:18.346,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.141s,637,224,0.352,205,580,0.353,false
51,07:01:19.485,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.88s,494,225,0.455,206,450,0.458,false
52,07:01:20.643,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.9s,505,222,0.44,204,460,0.443,false
53,07:01:21.745,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.841s,472,227,0.481,207,430,0.481,false
54,07:01:22.666,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.663s,373,218,0.584,200,340,0.588,false
