Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:31:57.112,Thin very long strafe,Track Master 100,7.056s,707,200,0.283,200,707,0.283,false
2,19:32:05.200,Thin very long strafe,Track Master 100,7.838s,526,200,0.38,200,526,0.38,false
3,19:32:12.938,Thin very long strafe,Track Master 100,7.486s,547,200,0.366,200,547,0.366,false
4,19:32:20.464,Thin very long strafe,Track Master 100,7.269s,561,200,0.357,200,561,0.357,false
5,19:32:28.563,Thin very long strafe,Track Master 100,7.846s,570,200,0.351,200,570,0.351,false
6,19:32:35.864,Thin very long strafe,Track Master 100,7.044s,514,200,0.389,200,514,0.389,false
7,19:32:42.371,Thin very long strafe,Track Master 100,6.253s,429,200,0.466,200,429,0.466,false
8,19:32:48.761,Thin very long strafe,Track Master 100,6.346s,475,200,0.421,200,475,0.421,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,4329,1600,1600.0,4329.0,

Kills:,8
Deaths:,0
Fight Time:,57.138
Avg TTK:,0
Damage Done:,1600.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,693.868042
Score:,1600.0
Scenario:,Thin Aiming Long
Hash:,3a5aabeed03bd10e4d437104ff1b425b
Game Version:,v2.6.3
Challenge Start:,19:31:48.752
Pause Count:,7
Pause Duration:,21

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.798462
Resolution Scale,100.0
