Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:06:42.227,target,pistol,0s,1,1,1,25,50,0.5,false
2,04:06:42.646,target,pistol,0.185s,2,1,0.5,25,100,0.25,false
3,04:06:42.821,target,pistol,0s,1,1,1,25,50,0.5,false
4,04:06:43.029,target,pistol,0s,1,1,1,25,50,0.5,false
5,04:06:43.255,target,pistol,0s,1,1,1,25,50,0.5,false
6,04:06:43.459,target,pistol,0s,1,1,1,25,50,0.5,false
7,04:06:43.694,target,pistol,0s,1,1,1,25,50,0.5,false
8,04:06:43.902,target,pistol,0s,1,1,1,25,50,0.5,false
9,04:06:44.333,target,pistol,0.226s,2,1,0.5,25,100,0.25,false
10,04:06:44.591,target,pistol,0s,1,1,1,25,50,0.5,false
11,04:06:44.775,target,pistol,0s,1,1,1,25,50,0.5,false
12,04:06:44.974,target,pistol,0s,1,1,1,25,50,0.5,false
13,04:06:45.205,target,pistol,0s,1,1,1,25,50,0.5,false
14,04:06:45.445,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,04:06:45.649,target,pistol,0s,1,1,1,25,50,0.5,false
16,04:06:45.891,target,pistol,0s,1,1,1,25,50,0.5,false
17,04:06:46.092,target,pistol,0s,1,1,1,25,50,0.5,false
18,04:06:46.259,target,pistol,0s,1,1,1,25,50,0.5,false
19,04:06:46.545,target,pistol,0s,1,1,1,25,50,0.5,false
20,04:06:46.740,target,pistol,0s,1,1,1,25,50,0.5,false
21,04:06:46.959,target,pistol,0s,1,1,1,25,50,0.5,false
22,04:06:47.176,target,pistol,0s,1,1,1,25,50,0.5,false
23,04:06:47.363,target,pistol,0s,1,1,1,25,50,0.5,false
24,04:06:47.617,target,pistol,0s,1,1,1,25,50,0.5,false
25,04:06:47.804,target,pistol,0s,1,1,1,25,50,0.5,false
26,04:06:48.347,target,pistol,0.298s,2,1,0.5,25,100,0.25,false
27,04:06:48.513,target,pistol,0.001s,1,1,1,25,50,0.5,false
28,04:06:48.687,target,pistol,0s,1,1,1,25,50,0.5,false
29,04:06:49.117,target,pistol,0.215s,2,1,0.5,25,100,0.25,false
30,04:06:49.539,target,pistol,0.221s,2,1,0.5,25,100,0.25,false
31,04:06:49.768,target,pistol,0.001s,1,1,1,25,50,0.5,false
32,04:06:50.479,target,pistol,0.46s,3,1,0.333,25,150,0.167,false
33,04:06:50.697,target,pistol,0s,1,1,1,25,50,0.5,false
34,04:06:50.923,target,pistol,0s,1,1,1,25,50,0.5,false
35,04:06:51.111,target,pistol,0s,1,1,1,25,50,0.5,false
36,04:06:51.557,target,pistol,0.224s,2,1,0.5,25,100,0.25,false
37,04:06:51.775,target,pistol,0s,1,1,1,25,50,0.5,false
38,04:06:51.970,target,pistol,0s,1,1,1,25,50,0.5,false
39,04:06:52.208,target,pistol,0s,1,1,1,25,50,0.5,false
40,04:06:52.392,target,pistol,0s,1,1,1,25,50,0.5,false
41,04:06:52.631,target,pistol,0s,1,1,1,25,50,0.5,false
42,04:06:52.843,target,pistol,0s,1,1,1,25,50,0.5,false
43,04:06:53.038,target,pistol,0s,1,1,1,25,50,0.5,false
44,04:06:53.276,target,pistol,0s,1,1,1,25,50,0.5,false
45,04:06:53.467,target,pistol,0s,1,1,1,25,50,0.5,false
46,04:06:53.682,target,pistol,0s,1,1,1,25,50,0.5,false
47,04:06:54.388,target,pistol,0.445s,3,1,0.333,25,150,0.167,false
48,04:06:54.596,target,pistol,0s,1,1,1,25,50,0.5,false
49,04:06:54.841,target,pistol,0s,1,1,1,25,50,0.5,false
50,04:06:55.022,target,pistol,0s,1,1,1,25,50,0.5,false
51,04:06:55.297,target,pistol,0s,1,1,1,25,50,0.5,false
52,04:06:55.523,target,pistol,0s,1,1,1,25,50,0.5,false
53,04:06:55.707,target,pistol,0s,1,1,1,25,50,0.5,false
54,04:06:55.912,target,pistol,0s,1,1,1,25,50,0.5,false
55,04:06:56.143,target,pistol,0s,1,1,1,25,50,0.5,false
56,04:06:56.334,target,pistol,0s,1,1,1,25,50,0.5,false
57,04:06:56.572,target,pistol,0s,1,1,1,25,50,0.5,false
58,04:06:56.784,target,pistol,0s,1,1,1,25,50,0.5,false
59,04:06:57.384,target,pistol,0.295s,2,1,0.5,25,100,0.25,false
60,04:06:57.573,target,pistol,0s,1,1,1,25,50,0.5,false
61,04:06:57.791,target,pistol,0s,1,1,1,25,50,0.5,false
62,04:06:57.983,target,pistol,0s,1,1,1,25,50,0.5,false
63,04:06:58.174,target,pistol,0s,1,1,1,25,50,0.5,false
64,04:06:58.386,target,pistol,0s,1,1,1,25,50,0.5,false
65,04:06:58.600,target,pistol,0s,1,1,1,25,50,0.5,false
66,04:06:58.812,target,pistol,0s,1,1,1,25,50,0.5,false
67,04:06:59.003,target,pistol,0s,1,1,1,25,50,0.5,false
68,04:06:59.178,target,pistol,0s,1,1,1,25,50,0.5,false
69,04:06:59.403,target,pistol,0s,1,1,1,25,50,0.5,false
70,04:06:59.618,target,pistol,0s,1,1,1,25,50,0.5,false
71,04:06:59.859,target,pistol,0s,1,1,1,25,50,0.5,false
72,04:07:00.061,target,pistol,0s,1,1,1,25,50,0.5,false
73,04:07:00.232,target,pistol,0s,1,1,1,25,50,0.5,false
74,04:07:00.439,target,pistol,0s,1,1,1,25,50,0.5,false
75,04:07:00.658,target,pistol,0s,1,1,1,25,50,0.5,false
76,04:07:00.853,target,pistol,0s,1,1,1,25,50,0.5,false
77,04:07:01.071,target,pistol,0s,1,1,1,25,50,0.5,false
78,04:07:01.562,target,pistol,0.272s,2,1,0.5,25,100,0.25,false
79,04:07:01.770,target,pistol,0s,1,1,1,25,50,0.5,false
80,04:07:02.040,target,pistol,0s,1,1,1,25,50,0.5,false
81,04:07:02.279,target,pistol,0s,1,1,1,25,50,0.5,false
82,04:07:02.564,target,pistol,0s,1,1,1,25,50,0.5,false
83,04:07:02.786,target,pistol,0s,1,1,1,25,50,0.5,false
84,04:07:03.005,target,pistol,0s,1,1,1,25,50,0.5,false
85,04:07:03.216,target,pistol,0s,1,1,1,25,50,0.5,false
86,04:07:03.591,target,pistol,0.158s,2,1,0.5,25,100,0.25,false
87,04:07:03.826,target,pistol,0s,1,1,1,25,50,0.5,false
