Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:50:32.420,TileFrenzy Cube,LG,0.491s,7,7,1,7,7,1,false
2,19:50:32.719,TileFrenzy Cube,LG,0s,1,1,1,1,1,1,false
3,19:50:33.271,TileFrenzy Cube,LG,0.253s,6,4,0.667,4,6,0.667,false
4,19:50:33.770,TileFrenzy Cube,LG,0.298s,7,4,0.571,4,7,0.571,false
5,19:50:34.269,TileFrenzy Cube,LG,0.352s,8,4,0.5,4,8,0.5,false
6,19:50:34.770,TileFrenzy Cube,LG,0.252s,6,4,0.667,4,6,0.667,false
7,19:50:35.372,TileFrenzy Cube,LG,0.4s,9,4,0.444,4,9,0.444,false
8,19:50:35.768,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
9,19:50:36.272,TileFrenzy Cube,LG,0.254s,6,4,0.667,4,6,0.667,false
10,19:50:37.122,TileFrenzy Cube,LG,0.7s,15,7,0.467,7,15,0.467,false
11,19:50:37.668,TileFrenzy Cube,LG,0.298s,7,2,0.286,2,7,0.286,false
12,19:50:38.220,TileFrenzy Cube,LG,0.298s,7,3,0.429,3,7,0.429,false
13,19:50:39.020,TileFrenzy Cube,LG,0.501s,11,4,0.364,4,11,0.364,false
14,19:50:39.419,TileFrenzy Cube,LG,0.151s,4,4,1,4,4,1,false
15,19:50:40.221,TileFrenzy Cube,LG,0.55s,12,7,0.583,7,12,0.583,false
16,19:50:40.617,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
17,19:50:41.071,TileFrenzy Cube,LG,0.247s,6,4,0.667,4,6,0.667,false
18,19:50:41.420,TileFrenzy Cube,LG,0.148s,4,4,1,4,4,1,false
19,19:50:41.467,TileFrenzy Cube,LG,0s,1,1,1,1,1,1,false
20,19:50:42.220,TileFrenzy Cube,LG,0.501s,11,4,0.364,4,11,0.364,false
21,19:50:42.771,TileFrenzy Cube,LG,0.252s,6,4,0.667,4,6,0.667,false
