Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:15:49.681,Shinji small Bot,pistol,0.3s,4,3,0.75,30,40,0.75,false
2,23:15:50.181,Shinji Bot,pistol,0.201s,3,3,1,30,30,1,false
3,23:15:50.979,Shinji small Bot,pistol,0.497s,6,3,0.5,30,60,0.5,false
4,23:15:51.580,Shinji Bot,pistol,0.299s,4,3,0.75,30,40,0.75,false
5,23:15:52.282,Shinji small Bot,pistol,0.404s,5,3,0.6,30,50,0.6,false
6,23:15:52.778,Shinji Bot,pistol,0.199s,3,3,1,30,30,1,false
7,23:15:53.332,Shinji Bot,pistol,0.3s,4,3,0.75,30,40,0.75,false
8,23:15:53.977,Shinji Bot,pistol,0.399s,5,3,0.6,30,50,0.6,false
9,23:15:54.482,Shinji small Bot,pistol,0.202s,3,3,1,30,30,1,false
10,23:15:54.831,Shinji Bot,pistol,0.199s,3,3,1,30,30,1,false
11,23:15:55.382,Shinji small Bot,pistol,0.302s,4,3,0.75,30,40,0.75,false
12,23:15:56.080,Shinji Bot,pistol,0.4s,5,3,0.6,30,50,0.6,false
13,23:15:56.732,Shinji Bot,pistol,0.399s,5,3,0.6,30,50,0.6,false
14,23:15:57.181,Shinji Bot,pistol,0.201s,3,3,1,30,30,1,false
15,23:15:57.779,Shinji small Bot,pistol,0.299s,4,3,0.75,30,40,0.75,false
16,23:15:59.296,Shinji Bot,pistol,1.217s,9,5,0.556,50,90,0.556,false
17,23:15:59.895,Shinji small Bot,pistol,0.3s,4,1,0.25,10,40,0.25,false
18,23:16:00.496,Shinji Bot,pistol,0.3s,4,3,0.75,30,40,0.75,false
19,23:16:00.946,Shinji Bot,pistol,0.202s,3,3,1,30,30,1,false
20,23:16:01.448,Shinji Bot,pistol,0.299s,4,4,1,40,40,1,false
21,23:16:01.798,Shinji Bot,pistol,0.101s,2,2,1,20,20,1,false
22,23:16:02.248,Shinji Bot,pistol,0.198s,3,3,1,30,30,1,false
23,23:16:02.694,Shinji Bot,pistol,0.197s,3,3,1,30,30,1,false
24,23:16:03.394,Shinji Bot,pistol,0.398s,5,3,0.6,30,50,0.6,false
25,23:16:04.097,Shinji Bot,pistol,0.4s,5,3,0.6,30,50,0.6,false
26,23:16:04.797,Shinji Bot,pistol,0.4s,5,3,0.6,30,50,0.6,false
27,23:16:05.395,Shinji Bot,pistol,0.299s,4,3,0.75,30,40,0.75,false
28,23:16:05.996,Shinji Bot,pistol,0.303s,4,3,0.75,30,40,0.75,false
29,23:16:07.807,Shinji small Bot,pistol,1.511s,12,5,0.417,50,120,0.417,false
30,23:16:08.308,Shinji small Bot,pistol,0.199s,3,1,0.333,10,30,0.333,false
