Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:50:11.918,target,pistol mini,0s,1,1,1,25,50,0.5,false
2,17:50:12.226,target,pistol mini,0s,1,1,1,25,50,0.5,false
3,17:50:12.890,target,pistol mini,0.237s,2,1,0.5,25,100,0.25,false
4,17:50:13.369,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
5,17:50:13.805,target,pistol mini,0s,1,1,1,25,50,0.5,false
6,17:50:14.191,target,pistol mini,0s,1,1,1,25,50,0.5,false
7,17:50:14.715,target,pistol mini,0s,1,1,1,25,50,0.5,false
8,17:50:15.062,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
9,17:50:15.340,target,pistol mini,0s,1,1,1,25,50,0.5,false
10,17:50:15.726,target,pistol mini,0s,1,1,1,25,50,0.5,false
11,17:50:16.163,target,pistol mini,0s,1,1,1,25,50,0.5,false
12,17:50:16.522,target,pistol mini,0s,1,1,1,25,50,0.5,false
13,17:50:16.899,target,pistol mini,0s,1,1,1,25,50,0.5,false
14,17:50:17.265,target,pistol mini,0s,1,1,1,25,50,0.5,false
15,17:50:17.600,target,pistol mini,0s,1,1,1,25,50,0.5,false
16,17:50:17.993,target,pistol mini,0s,1,1,1,25,50,0.5,false
17,17:50:18.609,target,pistol mini,0.263s,2,1,0.5,25,100,0.25,false
18,17:50:18.929,target,pistol mini,0s,1,1,1,25,50,0.5,false
19,17:50:19.223,target,pistol mini,0s,1,1,1,25,50,0.5,false
20,17:50:20.433,target,pistol mini,0.857s,3,1,0.333,25,150,0.167,false
21,17:50:20.819,target,pistol mini,0s,1,1,1,25,50,0.5,false
22,17:50:21.154,target,pistol mini,0s,1,1,1,25,50,0.5,false
23,17:50:21.460,target,pistol mini,0s,1,1,1,25,50,0.5,false
24,17:50:22.195,target,pistol mini,0.315s,2,1,0.5,25,100,0.25,false
25,17:50:22.904,target,pistol mini,0.33s,2,1,0.5,25,100,0.25,false
26,17:50:23.430,target,pistol mini,0.187s,2,1,0.5,25,100,0.25,false
27,17:50:23.797,target,pistol mini,0s,1,1,1,25,50,0.5,false
28,17:50:24.180,target,pistol mini,0s,1,1,1,25,50,0.5,false
29,17:50:24.528,target,pistol mini,0s,1,1,1,25,50,0.5,false
30,17:50:24.889,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
31,17:50:25.627,target,pistol mini,0.46s,2,1,0.5,25,100,0.25,false
32,17:50:26.336,target,pistol mini,0.396s,2,1,0.5,25,100,0.25,false
33,17:50:26.984,target,pistol mini,0.342s,2,1,0.5,25,100,0.25,false
34,17:50:27.349,target,pistol mini,0s,1,1,1,25,50,0.5,false
35,17:50:28.423,target,pistol mini,0.694s,3,1,0.333,25,150,0.167,false
36,17:50:28.864,target,pistol mini,0s,1,1,1,25,50,0.5,false
37,17:50:29.320,target,pistol mini,0s,1,1,1,25,50,0.5,false
38,17:50:29.740,target,pistol mini,0s,1,1,1,25,50,0.5,false
39,17:50:30.063,target,pistol mini,0s,1,1,1,25,50,0.5,false
40,17:50:30.332,target,pistol mini,0s,1,1,1,25,50,0.5,false
41,17:50:30.798,target,pistol mini,0s,1,1,1,25,50,0.5,false
42,17:50:32.106,target,pistol mini,0.874s,3,1,0.333,25,150,0.167,false
43,17:50:32.627,target,pistol mini,0s,1,1,1,25,50,0.5,false
44,17:50:33.798,target,pistol mini,0.752s,2,1,0.5,25,100,0.25,false
45,17:50:34.217,target,pistol mini,0s,1,1,1,25,50,0.5,false
46,17:50:34.795,target,pistol mini,0.195s,2,1,0.5,25,100,0.25,false
47,17:50:35.065,target,pistol mini,0.001s,1,1,1,25,50,0.5,false
48,17:50:35.400,target,pistol mini,0s,1,1,1,25,50,0.5,false
49,17:50:36.122,target,pistol mini,0.396s,2,1,0.5,25,100,0.25,false
50,17:50:36.850,target,pistol mini,0.473s,2,1,0.5,25,100,0.25,false
51,17:50:37.240,target,pistol mini,0s,1,1,1,25,50,0.5,false
52,17:50:37.689,target,pistol mini,0s,1,1,1,25,50,0.5,false
53,17:50:38.472,target,pistol mini,0.443s,2,1,0.5,25,100,0.25,false
54,17:50:39.343,target,pistol mini,0.501s,2,1,0.5,25,100,0.25,false
55,17:50:39.759,target,pistol mini,0s,1,1,1,25,50,0.5,false
56,17:50:40.155,target,pistol mini,0s,1,1,1,25,50,0.5,false
57,17:50:40.494,target,pistol mini,0s,1,1,1,25,50,0.5,false
58,17:50:40.948,target,pistol mini,0s,1,1,1,25,50,0.5,false
59,17:50:41.260,target,pistol mini,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol mini,79,59,1475.0,3950.0,

Kills:,59
Deaths:,0
Fight Time:,7.719
Avg TTK:,0
Damage Done:,1475.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,44.063293
Scenario:,Valorant One Taps
Hash:,89a167aac6cb82fff5009c38cddf9e3f
Game Version:,2.0.4.0
Challenge Start:,17:50:11.257

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.079956
Resolution Scale,100.0
