Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:43:17.771,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
2,17:43:20.005,Reflex Strafing Target R,pistol,1.18s,3,1,0.333,25,150,0.167,false
3,17:43:20.661,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
4,17:43:21.583,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
5,17:43:22.423,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
6,17:43:23.370,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
7,17:43:26.973,Reflex Strafing Target R,pistol,2.895s,7,1,0.143,25,350,0.071,false
8,17:43:27.585,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
9,17:43:28.326,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
10,17:43:29.128,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
11,17:43:29.955,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
12,17:43:30.786,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
13,17:43:31.639,Reflex Strafing Target L,pistol,0.25s,2,1,0.5,25,100,0.25,false
14,17:43:33.448,Reflex Strafing Target R,pistol,1.043s,3,1,0.333,25,150,0.167,false
15,17:43:34.268,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
16,17:43:35.246,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
17,17:43:36.045,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
18,17:43:36.833,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
19,17:43:38.993,Reflex Strafing Target L,pistol,1.219s,2,1,0.5,25,100,0.25,false
20,17:43:39.815,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
21,17:43:40.675,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
22,17:43:41.557,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
23,17:43:42.264,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
24,17:43:43.031,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
25,17:43:44.972,Reflex Strafing Target R,pistol,1.094s,3,1,0.333,25,150,0.167,false
26,17:43:45.686,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
27,17:43:46.791,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
28,17:43:48.651,Reflex Strafing Target L,pistol,1.017s,2,1,0.5,25,100,0.25,false
29,17:43:49.536,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
30,17:43:50.298,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
31,17:43:53.339,Reflex Strafing Target L,pistol,2.157s,5,1,0.2,25,250,0.1,false
32,17:43:54.072,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
33,17:43:54.894,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
34,17:43:55.922,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
35,17:43:56.813,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
36,17:43:57.621,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
37,17:43:58.381,Reflex Strafing Target R,pistol,0.001s,1,1,1,25,50,0.5,false
38,17:43:59.323,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
39,17:44:00.217,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
40,17:44:02.235,Reflex Strafing Target L,pistol,0.981s,2,1,0.5,25,100,0.25,false
41,17:44:04.204,Reflex Strafing Target L,pistol,1.053s,3,1,0.333,25,150,0.167,false
42,17:44:06.232,Reflex Strafing Target L,pistol,1.114s,2,1,0.5,25,100,0.25,false
43,17:44:07.021,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
44,17:44:07.897,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
45,17:44:08.817,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
46,17:44:09.807,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
47,17:44:10.750,Reflex Strafing Target L,pistol,0.001s,1,1,1,25,50,0.5,false
48,17:44:11.565,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
49,17:44:12.369,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false
50,17:44:13.155,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
51,17:44:13.997,Reflex Strafing Target R,pistol,0s,1,1,1,25,50,0.5,false
52,17:44:15.904,Reflex Strafing Target R,pistol,0.889s,2,1,0.5,25,100,0.25,false
53,17:44:16.741,Reflex Strafing Target L,pistol,0s,1,1,1,25,50,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,77,53,1325.0,3850.0,

Kills:,53
Deaths:,0
Fight Time:,14.896
Avg TTK:,1.13
Damage Done:,1325.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,53.0
Scenario:,Valorant Reflex Flick Strafing
Hash:,3dc9976006bebf70c2aee2f86cb93c5e
Game Version:,v2.8.6
Challenge Start:,17:43:17.104
Pause Count:,27
Pause Duration:,384

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.292389
Resolution Scale,100.0
