Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:11:29.420,target,BB Gun,0s,1,1,1,1,1,1,false
2,19:11:30.090,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,19:11:30.631,target,BB Gun,0s,1,1,1,1,1,1,false
4,19:11:31.339,target,BB Gun,0.222s,2,1,0.5,1,2,0.5,false
5,19:11:31.766,target,BB Gun,0s,1,1,1,1,1,1,false
6,19:11:32.221,target,BB Gun,0s,1,1,1,1,1,1,false
7,19:11:32.676,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,19:11:33.098,target,BB Gun,0s,1,1,1,1,1,1,false
9,19:11:33.762,target,BB Gun,0.174s,2,1,0.5,1,2,0.5,false
10,19:11:34.161,target,BB Gun,0s,1,1,1,1,1,1,false
11,19:11:34.656,target,BB Gun,0.001s,1,1,1,1,1,1,false
12,19:11:35.176,target,BB Gun,0s,1,1,1,1,1,1,false
13,19:11:35.595,target,BB Gun,0s,1,1,1,1,1,1,false
14,19:11:36.280,target,BB Gun,0s,1,1,1,1,1,1,false
15,19:11:36.738,target,BB Gun,0s,1,1,1,1,1,1,false
16,19:11:37.667,target,BB Gun,0.428s,2,1,0.5,1,2,0.5,false
17,19:11:38.100,target,BB Gun,0s,1,1,1,1,1,1,false
18,19:11:38.573,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,19:11:39.090,target,BB Gun,0s,1,1,1,1,1,1,false
20,19:11:39.475,target,BB Gun,0s,1,1,1,1,1,1,false
21,19:11:39.868,target,BB Gun,0s,1,1,1,1,1,1,false
22,19:11:40.300,target,BB Gun,0s,1,1,1,1,1,1,false
23,19:11:40.790,target,BB Gun,0s,1,1,1,1,1,1,false
24,19:11:41.344,target,BB Gun,0s,1,1,1,1,1,1,false
25,19:11:42.235,target,BB Gun,0.481s,2,1,0.5,1,2,0.5,false
26,19:11:42.659,target,BB Gun,0s,1,1,1,1,1,1,false
27,19:11:43.107,target,BB Gun,0s,1,1,1,1,1,1,false
28,19:11:43.539,target,BB Gun,0s,1,1,1,1,1,1,false
29,19:11:44.286,target,BB Gun,0s,1,1,1,1,1,1,false
30,19:11:44.700,target,BB Gun,0s,1,1,1,1,1,1,false
31,19:11:45.161,target,BB Gun,0s,1,1,1,1,1,1,false
32,19:11:45.583,target,BB Gun,0.001s,1,1,1,1,1,1,false
33,19:11:46.907,target,BB Gun,0.85s,3,1,0.333,1,3,0.333,false
34,19:11:47.360,target,BB Gun,0s,1,1,1,1,1,1,false
35,19:11:47.850,target,BB Gun,0s,1,1,1,1,1,1,false
36,19:11:48.504,target,BB Gun,0.001s,1,1,1,1,1,1,false
37,19:11:49.913,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,19:11:50.437,target,BB Gun,0s,1,1,1,1,1,1,false
39,19:11:50.972,target,BB Gun,0s,1,1,1,1,1,1,false
40,19:11:51.390,target,BB Gun,0s,1,1,1,1,1,1,false
41,19:11:51.957,target,BB Gun,0s,1,1,1,1,1,1,false
42,19:11:53.164,target,BB Gun,0.634s,2,1,0.5,1,2,0.5,false
43,19:11:53.539,target,BB Gun,0s,1,1,1,1,1,1,false
44,19:11:54.228,target,BB Gun,0s,1,1,1,1,1,1,false
45,19:11:55.101,target,BB Gun,0.395s,2,1,0.5,1,2,0.5,false
46,19:11:56.056,target,BB Gun,0.612s,2,1,0.5,1,2,0.5,false
47,19:11:56.507,target,BB Gun,0s,1,1,1,1,1,1,false
48,19:11:56.935,target,BB Gun,0s,1,1,1,1,1,1,false
49,19:11:57.764,target,BB Gun,0s,1,1,1,1,1,1,false
50,19:11:58.162,target,BB Gun,0s,1,1,1,1,1,1,false
51,19:11:58.626,target,BB Gun,0s,1,1,1,1,1,1,false
52,19:11:59.032,target,BB Gun,0s,1,1,1,1,1,1,false
53,19:11:59.821,target,BB Gun,0.411s,2,1,0.5,1,2,0.5,false
54,19:12:00.284,target,BB Gun,0s,1,1,1,1,1,1,false
55,19:12:01.184,target,BB Gun,0.468s,2,1,0.5,1,2,0.5,false
56,19:12:01.627,target,BB Gun,0s,1,1,1,1,1,1,false
57,19:12:02.385,target,BB Gun,0s,1,1,1,1,1,1,false
58,19:12:02.767,target,BB Gun,0s,1,1,1,1,1,1,false
59,19:12:03.232,target,BB Gun,0.001s,1,1,1,1,1,1,false
60,19:12:03.668,target,BB Gun,0s,1,1,1,1,1,1,false
61,19:12:04.151,target,BB Gun,0.001s,1,1,1,1,1,1,false
62,19:12:04.722,target,BB Gun,0s,1,1,1,1,1,1,false
63,19:12:05.162,target,BB Gun,0s,1,1,1,1,1,1,false
