Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,09:18:22.084,target,BB Gun,0s,1,1,1,1,1,1,false
2,09:18:22.651,target,BB Gun,0.001s,1,1,1,1,1,1,false
3,09:18:23.102,target,BB Gun,0s,1,1,1,1,1,1,false
4,09:18:24.722,target,BB Gun,0.987s,2,1,0.5,1,2,0.5,false
5,09:18:25.352,target,BB Gun,0s,1,1,1,1,1,1,false
6,09:18:26.838,target,BB Gun,0.881s,3,1,0.333,1,3,0.333,false
7,09:18:27.996,target,BB Gun,0.467s,2,1,0.5,1,2,0.5,false
8,09:18:28.500,target,BB Gun,0s,1,1,1,1,1,1,false
9,09:18:29.006,target,BB Gun,0.001s,1,1,1,1,1,1,false
10,09:18:29.599,target,BB Gun,0s,1,1,1,1,1,1,false
11,09:18:30.168,target,BB Gun,0s,1,1,1,1,1,1,false
12,09:18:30.653,target,BB Gun,0.001s,1,1,1,1,1,1,false
13,09:18:31.153,target,BB Gun,0s,1,1,1,1,1,1,false
14,09:18:31.919,target,BB Gun,0.238s,2,1,0.5,1,2,0.5,false
15,09:18:32.581,target,BB Gun,0s,1,1,1,1,1,1,false
16,09:18:33.199,target,BB Gun,0s,1,1,1,1,1,1,false
17,09:18:33.683,target,BB Gun,0s,1,1,1,1,1,1,false
18,09:18:34.333,target,BB Gun,0s,1,1,1,1,1,1,false
19,09:18:34.780,target,BB Gun,0s,1,1,1,1,1,1,false
20,09:18:35.459,target,BB Gun,0s,1,1,1,1,1,1,false
21,09:18:36.065,target,BB Gun,0.001s,1,1,1,1,1,1,false
22,09:18:37.532,target,BB Gun,0.868s,2,1,0.5,1,2,0.5,false
23,09:18:38.728,target,BB Gun,0.536s,2,1,0.5,1,2,0.5,false
24,09:18:39.335,target,BB Gun,0s,1,1,1,1,1,1,false
25,09:18:39.908,target,BB Gun,0s,1,1,1,1,1,1,false
26,09:18:40.584,target,BB Gun,0s,1,1,1,1,1,1,false
27,09:18:41.083,target,BB Gun,0.001s,1,1,1,1,1,1,false
28,09:18:41.766,target,BB Gun,0s,1,1,1,1,1,1,false
29,09:18:42.566,target,BB Gun,0s,1,1,1,1,1,1,false
30,09:18:43.122,target,BB Gun,0s,1,1,1,1,1,1,false
31,09:18:43.912,target,BB Gun,0s,1,1,1,1,1,1,false
32,09:18:44.327,target,BB Gun,0.001s,1,1,1,1,1,1,false
33,09:18:44.847,target,BB Gun,0s,1,1,1,1,1,1,false
34,09:18:45.399,target,BB Gun,0s,1,1,1,1,1,1,false
35,09:18:45.998,target,BB Gun,0s,1,1,1,1,1,1,false
36,09:18:46.772,target,BB Gun,0s,1,1,1,1,1,1,false
37,09:19:01.245,target,BB Gun,0s,1,1,1,1,1,1,false
38,09:19:02.047,target,BB Gun,0s,1,1,1,1,1,1,false
39,09:19:02.662,target,BB Gun,0.107s,2,1,0.5,1,2,0.5,false
40,09:19:03.558,target,BB Gun,0s,1,1,1,1,1,1,false
41,09:19:04.666,target,BB Gun,0.595s,2,1,0.5,1,2,0.5,false
42,09:19:05.138,target,BB Gun,0s,1,1,1,1,1,1,false
43,09:19:05.765,target,BB Gun,0s,1,1,1,1,1,1,false
44,09:19:06.444,target,BB Gun,0s,1,1,1,1,1,1,false
45,09:19:06.961,target,BB Gun,0s,1,1,1,1,1,1,false
46,09:19:07.464,target,BB Gun,0.001s,1,1,1,1,1,1,false
47,09:19:07.933,target,BB Gun,0s,1,1,1,1,1,1,false
48,09:19:08.547,target,BB Gun,0s,1,1,1,1,1,1,false
49,09:19:09.213,target,BB Gun,0s,1,1,1,1,1,1,false
50,09:19:09.832,target,BB Gun,0s,1,1,1,1,1,1,false
51,09:19:10.436,target,BB Gun,0s,1,1,1,1,1,1,false
52,09:19:10.882,target,BB Gun,0s,1,1,1,1,1,1,false
53,09:19:11.334,target,BB Gun,0.001s,1,1,1,1,1,1,false
54,09:19:11.881,target,BB Gun,0s,1,1,1,1,1,1,false
55,09:19:13.969,target,BB Gun,1.537s,3,1,0.333,1,3,0.333,false
56,09:19:15.296,target,BB Gun,0.717s,2,1,0.5,1,2,0.5,false
57,09:19:15.821,target,BB Gun,0s,1,1,1,1,1,1,false
58,09:19:16.402,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,09:19:17.106,target,BB Gun,0s,1,1,1,1,1,1,false
60,09:19:17.755,target,BB Gun,0s,1,1,1,1,1,1,false
61,09:19:18.213,target,BB Gun,0s,1,1,1,1,1,1,false
62,09:19:18.883,target,BB Gun,0s,1,1,1,1,1,1,false
63,09:19:20.065,target,BB Gun,0.72s,2,1,0.5,1,2,0.5,false
64,09:19:20.602,target,BB Gun,0s,1,1,1,1,1,1,false
65,09:19:21.160,target,BB Gun,0.001s,1,1,1,1,1,1,false
66,09:19:22.210,target,BB Gun,0.571s,2,1,0.5,1,2,0.5,false
67,09:19:23.398,target,BB Gun,0.644s,2,1,0.5,1,2,0.5,false
68,09:19:24.090,target,BB Gun,0s,1,1,1,1,1,1,false
69,09:19:24.684,target,BB Gun,0s,1,1,1,1,1,1,false
70,09:19:25.276,target,BB Gun,0s,1,1,1,1,1,1,false
71,09:19:25.819,target,BB Gun,0s,1,1,1,1,1,1,false
72,09:19:27.184,target,BB Gun,0.833s,2,1,0.5,1,2,0.5,false
73,09:19:27.857,target,BB Gun,0s,1,1,1,1,1,1,false
74,09:19:28.387,target,BB Gun,0s,1,1,1,1,1,1,false
75,09:19:29.381,target,BB Gun,0s,1,1,1,1,1,1,false
76,09:19:29.982,target,BB Gun,0s,1,1,1,1,1,1,false
77,09:19:30.495,target,BB Gun,0s,1,1,1,1,1,1,false
78,09:19:31.101,target,BB Gun,0s,1,1,1,1,1,1,false
79,09:19:31.680,target,BB Gun,0s,1,1,1,1,1,1,false
80,09:19:32.897,target,BB Gun,0.701s,2,1,0.5,1,2,0.5,false
81,09:19:33.913,target,BB Gun,0.001s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,98,81,81.0,98.0,

Kills:,81
Deaths:,0
Fight Time:,10.413
Avg TTK:,0.74
Damage Done:,81.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,81.0
Scenario:,Wide Wall 4 Targets Small
Hash:,924b9dde33f4a9614440a9c8323d0a6d
Game Version:,v2.8.6
Challenge Start:,09:19:00.248
Pause Count:,7
Pause Duration:,46

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,288.769653
Resolution Scale,100.0
