Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:03:52.465,Quaker Bot Long Strafes L,pistol,0s,1,1,1,100,200,0.5,false
2,23:03:52.848,Quaker Bot Long Strafes R,pistol,0.001s,1,1,1,100,200,0.5,false
3,23:03:53.661,Quaker Bot Long Strafes,pistol,0.395s,2,1,0.5,100,400,0.25,false
4,23:03:54.399,Quaker Bot Long Strafes L,pistol,0.366s,2,1,0.5,100,400,0.25,false
5,23:03:55.630,Quaker Bot Long Strafes R,pistol,0.839s,3,1,0.333,100,600,0.167,false
6,23:03:56.035,Quaker Bot Long Strafes R,pistol,0s,1,1,1,100,200,0.5,false
7,23:03:56.447,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
8,23:03:57.219,Quaker Bot Long Strafes,pistol,0.402s,2,1,0.5,100,400,0.25,false
9,23:03:58.009,Quaker Bot Long Strafes L,pistol,0.375s,2,1,0.5,100,400,0.25,false
10,23:03:58.475,Quaker Bot Long Strafes R,pistol,0s,1,1,1,100,200,0.5,false
11,23:03:58.875,Quaker Bot Long Strafes L,pistol,0s,1,1,1,100,200,0.5,false
12,23:03:59.260,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
13,23:03:59.974,Quaker Bot Long Strafes,pistol,0.333s,2,1,0.5,100,400,0.25,false
14,23:04:00.329,Quaker Bot Long Strafes R,pistol,0s,1,1,1,100,200,0.5,false
15,23:04:00.723,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
16,23:04:01.523,Quaker Bot Long Strafes R,pistol,0.413s,2,1,0.5,100,400,0.25,false
17,23:04:02.243,Quaker Bot Long Strafes,pistol,0.364s,2,1,0.5,100,400,0.25,false
18,23:04:03.180,Quaker Bot Long Strafes,pistol,0.587s,2,1,0.5,100,400,0.25,false
19,23:04:03.657,Quaker Bot Long Strafes L,pistol,0s,1,1,1,100,200,0.5,false
20,23:04:04.085,Quaker Bot Long Strafes L,pistol,0.001s,1,1,1,100,200,0.5,false
21,23:04:04.507,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
22,23:04:04.903,Quaker Bot Long Strafes L,pistol,0s,1,1,1,100,200,0.5,false
23,23:04:05.306,Quaker Bot Long Strafes R,pistol,0s,1,1,1,100,200,0.5,false
24,23:04:05.657,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
25,23:04:06.107,Quaker Bot Long Strafes L,pistol,0s,1,1,1,100,200,0.5,false
26,23:04:06.528,Quaker Bot Long Strafes L,pistol,0.001s,1,1,1,100,200,0.5,false
27,23:04:06.959,Quaker Bot Long Strafes R,pistol,0s,1,1,1,100,200,0.5,false
28,23:04:07.335,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
