Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:43:24.351,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
2,04:43:24.835,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
3,04:43:25.222,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,100,1,false
4,04:43:25.671,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
5,04:43:26.073,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
6,04:43:26.432,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,100,1,false
7,04:43:26.830,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
8,04:43:27.258,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
9,04:43:27.738,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
10,04:43:28.132,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
11,04:43:29.085,Quaker Bot Long Strafes,pistol,0.49s,2,1,0.5,100,200,0.5,false
12,04:43:29.394,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
13,04:43:29.804,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,100,1,false
14,04:43:30.206,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
15,04:43:30.677,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
16,04:43:31.071,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,100,1,false
17,04:43:31.421,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
18,04:43:31.804,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
19,04:43:32.195,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
20,04:43:32.474,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,100,1,false
21,04:43:32.819,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
22,04:43:33.194,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
23,04:43:33.475,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
24,04:43:33.834,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
25,04:43:34.155,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
26,04:43:34.481,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
27,04:43:34.795,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
28,04:43:35.264,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
29,04:43:36.048,Quaker Bot Long Strafes,pistol,0.36s,2,1,0.5,100,200,0.5,false
30,04:43:36.328,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
31,04:43:36.731,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
32,04:43:37.108,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
33,04:43:37.438,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,100,1,false
