Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:23:34.105,Quaker Bot Long Strafes,MGV2,0.313s,8,6,0.75,6,16,0.375,false
2,17:23:36.131,Quaker Bot Long Strafes,MGV2,1.759s,40,11,0.275,11,80,0.138,false
3,17:23:36.627,Quaker Bot Long Strafes,MGV2,0.226s,6,1,0.167,1,12,0.083,false
4,17:23:38.064,Quaker Bot Long Strafes,MGV2,1.169s,27,11,0.407,11,54,0.204,false
5,17:23:38.381,Quaker Bot Long Strafes,MGV2,0.045s,2,1,0.5,1,4,0.25,false
6,17:23:38.967,Quaker Bot Long Strafes,MGV2,0.317s,8,6,0.75,6,16,0.375,false
7,17:23:39.437,Quaker Bot Long Strafes,MGV2,0.358s,9,6,0.667,6,18,0.333,false
8,17:23:39.886,Quaker Bot Long Strafes,MGV2,0.314s,8,6,0.75,6,16,0.375,false
9,17:23:40.357,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
10,17:23:41.236,Quaker Bot Long Strafes,MGV2,0.675s,16,6,0.375,6,32,0.188,false
11,17:23:41.707,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
12,17:23:42.317,Quaker Bot Long Strafes,MGV2,0.452s,11,6,0.545,6,22,0.273,false
13,17:23:42.792,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
14,17:23:44.231,Quaker Bot Long Strafes,MGV2,1.17s,27,11,0.407,11,54,0.204,false
15,17:23:44.545,Quaker Bot Long Strafes,MGV2,0.046s,2,1,0.5,1,4,0.25,false
16,17:23:44.972,Quaker Bot Long Strafes,MGV2,0.222s,6,6,1,6,12,0.5,false
17,17:23:45.447,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
18,17:23:46.028,Quaker Bot Long Strafes,MGV2,0.313s,8,6,0.75,6,16,0.375,false
19,17:23:46.840,Quaker Bot Long Strafes,MGV2,0.539s,13,6,0.462,6,26,0.231,false
20,17:23:47.986,Quaker Bot Long Strafes,MGV2,0.947s,22,11,0.5,11,44,0.25,false
21,17:23:48.057,Quaker Bot Long Strafes,MGV2,0s,1,1,1,1,2,0.5,false
22,17:23:50.081,Quaker Bot Long Strafes,MGV2,1.755s,40,8,0.2,8,80,0.1,false
23,17:23:50.687,Quaker Bot Long Strafes,MGV2,0.36s,9,4,0.444,4,18,0.222,false
24,17:23:51.162,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
25,17:23:51.812,Quaker Bot Long Strafes,MGV2,0.403s,10,6,0.6,6,20,0.3,false
26,17:23:52.285,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
27,17:23:52.918,Quaker Bot Long Strafes,MGV2,0.362s,9,6,0.667,6,18,0.333,false
28,17:23:53.457,Quaker Bot Long Strafes,MGV2,0.269s,7,6,0.857,6,14,0.429,false
29,17:23:53.952,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
30,17:23:54.331,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
31,17:23:54.851,Quaker Bot Long Strafes,MGV2,0.27s,7,6,0.857,6,14,0.429,false
32,17:23:55.432,Quaker Bot Long Strafes,MGV2,0.315s,8,6,0.75,6,16,0.375,false
33,17:23:55.953,Quaker Bot Long Strafes,MGV2,0.361s,9,6,0.667,6,18,0.333,false
34,17:23:56.560,Quaker Bot Long Strafes,MGV2,0.358s,9,6,0.667,6,18,0.333,false
35,17:23:57.797,Quaker Bot Long Strafes,MGV2,1.033s,24,11,0.458,11,48,0.229,false
36,17:23:57.865,Quaker Bot Long Strafes,MGV2,0s,1,1,1,1,2,0.5,false
37,17:23:58.808,Quaker Bot Long Strafes,MGV2,0.673s,16,6,0.375,6,32,0.188,false
38,17:23:59.351,Quaker Bot Long Strafes,MGV2,0.27s,7,6,0.857,6,14,0.429,false
39,17:23:59.844,Quaker Bot Long Strafes,MGV2,0.225s,6,6,1,6,12,0.5,false
40,17:24:00.271,Quaker Bot Long Strafes,MGV2,0.269s,7,6,0.857,6,14,0.429,false
41,17:24:00.745,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
42,17:24:01.287,Quaker Bot Long Strafes,MGV2,0.272s,7,6,0.857,6,14,0.429,false
43,17:24:01.711,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
44,17:24:02.186,Quaker Bot Long Strafes,MGV2,0.226s,6,6,1,6,12,0.5,false
45,17:24:02.726,Quaker Bot Long Strafes,MGV2,0.272s,7,6,0.857,6,14,0.429,false
46,17:24:03.309,Quaker Bot Long Strafes,MGV2,0.316s,8,6,0.75,6,16,0.375,false
47,17:24:04.233,Quaker Bot Long Strafes,MGV2,0.673s,16,10,0.625,10,32,0.312,false
48,17:24:04.523,Quaker Bot Long Strafes,MGV2,0.043s,2,2,1,2,4,0.5,false
49,17:24:05.201,Quaker Bot Long Strafes,MGV2,0.406s,10,6,0.6,6,20,0.3,false
50,17:24:05.671,Quaker Bot Long Strafes,MGV2,0.362s,9,6,0.667,6,18,0.333,false
51,17:24:07.812,Quaker Bot Long Strafes,MGV2,1.893s,43,14,0.326,14,86,0.163,false
52,17:24:08.352,Quaker Bot Long Strafes,MGV2,0.271s,7,3,0.429,3,14,0.214,false
