Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:44:38.630,Pigeon,LG,2.704s,51,20,0.392,120,306,0.392,false
2,02:44:41.658,Pigeon,LG,2.707s,51,20,0.392,120,306,0.392,false
3,02:44:45.389,Pigeon,LG,3.41s,64,20,0.312,120,384,0.312,false
4,02:44:48.637,Pigeon,LG,2.922s,55,20,0.364,120,330,0.364,false
5,02:44:52.320,Pigeon,LG,3.355s,63,20,0.317,120,378,0.317,false
6,02:44:56.571,Pigeon,LG,3.929s,73,20,0.274,120,438,0.274,false
7,02:44:59.223,Pigeon,LG,2.329s,44,20,0.455,120,264,0.455,false
8,02:45:02.037,Pigeon,LG,2.491s,47,20,0.426,120,282,0.426,false
9,02:45:06.059,Pigeon,LG,3.678s,69,20,0.29,120,414,0.29,false
10,02:45:10.117,Pigeon,LG,3.733s,70,20,0.286,120,420,0.286,false
11,02:45:12.660,Pigeon,LG,2.221s,42,20,0.476,120,252,0.476,false
12,02:45:15.314,Pigeon,LG,2.328s,44,20,0.455,120,264,0.455,false
13,02:45:18.502,Pigeon,LG,2.867s,54,20,0.37,120,324,0.37,false
14,02:45:21.481,Pigeon,LG,2.652s,50,20,0.4,120,300,0.4,false
15,02:45:24.785,Pigeon,LG,2.976s,56,20,0.357,120,336,0.357,false
16,02:45:27.380,Pigeon,LG,2.272s,43,20,0.465,120,258,0.465,false
17,02:45:29.760,Pigeon,LG,2.057s,39,20,0.513,120,234,0.513,false
18,02:45:34.306,Pigeon,LG,4.221s,79,20,0.253,120,474,0.253,false
19,02:45:37.500,Pigeon,LG,2.865s,54,20,0.37,120,324,0.37,false
20,02:45:40.801,Pigeon,LG,2.976s,56,20,0.357,120,336,0.357,false
21,02:45:44.317,Pigeon,LG,3.192s,60,20,0.333,120,360,0.333,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1191,425,2550.0,7146.0,

Kills:,21
Deaths:,0
Fight Time:,61.884998
Avg TTK:,3.954
Damage Done:,2550.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,fuglaab180t
Hash:,d34e45dd8eeddb71fbbf8fb7f1830f86
Game Version:,v2.8.5
Challenge Start:,02:44:35.166
Pause Count:,8
Pause Duration:,122

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,343.086426
Resolution Scale,100.0
