Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:17:11.156,Quaker Bot Long Strafes,MGV2,1.088s,27,18,0.667,1.802,2.703,0.667,false
2,20:17:11.780,Quaker Bot Long Strafes,MGV2,0.06s,3,2,0.667,0.2,0.3,0.667,false
3,20:17:13.610,Quaker Bot Long Strafes,MGV2,1.225s,32,18,0.562,1.802,3.203,0.562,false
4,20:17:14.093,Quaker Bot Long Strafes,MGV2,0.121s,5,2,0.4,0.2,0.501,0.4,false
5,20:17:15.165,Quaker Bot Long Strafes,MGV2,0.279s,10,10,1,1.001,1.001,1,false
6,20:17:17.954,Quaker Bot Long Strafes,MGV2,2.149s,56,21,0.375,2.102,5.606,0.375,false
7,20:17:18.623,Quaker Bot Long Strafes,MGV2,0.521s,14,10,0.714,1.001,1.401,0.714,false
8,20:17:19.932,Quaker Bot Long Strafes,MGV2,0.927s,31,7,0.226,0.701,3.103,0.226,false
9,20:17:20.382,Quaker Bot Long Strafes,MGV2,0.03s,2,2,1,0.2,0.2,1,false
10,20:17:21.158,Quaker Bot Long Strafes,MGV2,0.527s,18,10,0.556,1.001,1.802,0.556,false
11,20:17:23.935,Quaker Bot Long Strafes,MGV2,2.117s,54,19,0.352,1.902,5.405,0.352,false
12,20:17:24.665,Quaker Bot Long Strafes,MGV2,0.09s,4,1,0.25,0.1,0.4,0.25,false
13,20:17:25.936,Quaker Bot Long Strafes,MGV2,0.742s,25,10,0.4,1.001,2.503,0.4,false
14,20:17:26.979,Quaker Bot Long Strafes,MGV2,0.558s,19,10,0.526,1.001,1.902,0.526,false
15,20:17:27.524,Quaker Bot Long Strafes,MGV2,0.275s,10,10,1,1.001,1.001,1,false
16,20:17:28.361,Quaker Bot Long Strafes,MGV2,0.277s,10,10,1,1.001,1.001,1,false
17,20:17:29.006,Quaker Bot Long Strafes,MGV2,0.402s,14,10,0.714,1.001,1.401,0.714,false
18,20:17:30.082,Quaker Bot Long Strafes,MGV2,0.618s,21,10,0.476,1.001,2.102,0.476,false
19,20:17:30.716,Quaker Bot Long Strafes,MGV2,0.369s,13,10,0.769,1.001,1.301,0.769,false
20,20:17:33.000,Quaker Bot Long Strafes,MGV2,1.673s,39,19,0.487,1.902,3.904,0.487,false
21,20:17:33.732,Quaker Bot Long Strafes,MGV2,0.214s,8,1,0.125,0.1,0.801,0.125,false
22,20:17:34.443,Quaker Bot Long Strafes,MGV2,0.517s,13,10,0.769,1.001,1.301,0.769,false
23,20:17:36.655,Quaker Bot Long Strafes,MGV2,1.825s,43,19,0.442,1.902,4.304,0.442,false
24,20:17:37.320,Quaker Bot Long Strafes,MGV2,0.03s,2,1,0.5,0.1,0.2,0.5,false
25,20:17:37.958,Quaker Bot Long Strafes,MGV2,0.369s,13,10,0.769,1.001,1.301,0.769,false
26,20:17:38.494,Quaker Bot Long Strafes,MGV2,0.278s,10,10,1,1.001,1.001,1,false
27,20:17:40.128,Quaker Bot Long Strafes,MGV2,1.451s,39,19,0.487,1.902,3.904,0.487,false
28,20:17:40.839,Quaker Bot Long Strafes,MGV2,0.34s,12,10,0.833,1.001,1.201,0.833,false
29,20:17:42.074,Quaker Bot Long Strafes,MGV2,1.098s,29,10,0.345,1.001,2.903,0.345,false
30,20:17:42.585,Quaker Bot Long Strafes,MGV2,0.309s,11,10,0.909,1.001,1.101,0.909,false
31,20:17:43.358,Quaker Bot Long Strafes,MGV2,0.155s,6,1,0.167,0.1,0.601,0.167,false
32,20:17:44.440,Quaker Bot Long Strafes,MGV2,0.824s,18,10,0.556,1.001,1.802,0.556,false
