Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:08:08.110,Quaker Bot Long Strafes 5000,pistol,0.001s,1,1,1,100,200,0.5,false
2,23:08:08.445,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
3,23:08:08.805,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
4,23:08:09.270,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
5,23:08:09.577,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
6,23:08:09.944,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
7,23:08:10.273,Quaker Bot Long Strafes 3000,pistol,0.001s,1,1,1,100,200,0.5,false
8,23:08:10.578,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
9,23:08:11.278,Quaker Bot Long Strafes 2000,pistol,0.369s,2,1,0.5,100,400,0.25,false
10,23:08:11.920,Quaker Bot Long Strafes 5000,pistol,0.309s,2,1,0.5,100,400,0.25,false
11,23:08:12.306,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
12,23:08:12.639,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
13,23:08:12.922,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
14,23:08:13.291,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
15,23:08:13.672,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
16,23:08:13.950,Quaker Bot Long Strafes 5000,pistol,0.001s,1,1,1,100,200,0.5,false
17,23:08:14.254,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
18,23:08:14.579,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
19,23:08:14.863,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
20,23:08:15.183,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
21,23:08:15.467,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
22,23:08:15.823,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
23,23:08:16.115,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
24,23:08:16.491,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
25,23:08:16.812,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
26,23:08:17.524,Quaker Bot Long Strafes,pistol,0.335s,2,1,0.5,100,400,0.25,false
27,23:08:17.880,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
28,23:08:18.204,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
29,23:08:18.505,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
30,23:08:18.793,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
31,23:08:19.105,Quaker Bot Long Strafes 1000,pistol,0.001s,1,1,1,100,200,0.5,false
32,23:08:19.416,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
33,23:08:19.717,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
34,23:08:19.984,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
35,23:08:20.644,Quaker Bot Long Strafes 3000,pistol,0.377s,2,1,0.5,100,400,0.25,false
36,23:08:20.961,Quaker Bot Long Strafes 2000,pistol,0.001s,1,1,1,100,200,0.5,false
37,23:08:21.265,Quaker Bot Long Strafes,pistol,0.001s,1,1,1,100,200,0.5,false
38,23:08:21.559,Quaker Bot Long Strafes 5000,pistol,0s,1,1,1,100,200,0.5,false
39,23:08:21.854,Quaker Bot Long Strafes 2000,pistol,0.001s,1,1,1,100,200,0.5,false
40,23:08:22.165,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
41,23:08:22.419,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
42,23:08:22.745,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
43,23:08:22.995,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
44,23:08:23.255,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
45,23:08:23.575,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
46,23:08:24.284,Quaker Bot Long Strafes 5000,pistol,0.323s,2,1,0.5,100,400,0.25,false
47,23:08:24.610,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
48,23:08:24.925,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
49,23:08:25.171,Quaker Bot Long Strafes 2000,pistol,0.001s,1,1,1,100,200,0.5,false
50,23:08:25.472,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
51,23:08:25.766,Quaker Bot Long Strafes 1000,pistol,0.001s,1,1,1,100,200,0.5,false
52,23:08:26.066,Quaker Bot Long Strafes 1000,pistol,0s,1,1,1,100,200,0.5,false
53,23:08:26.408,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
54,23:08:26.696,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
55,23:08:26.958,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
56,23:08:27.286,Quaker Bot Long Strafes 4000,pistol,0s,1,1,1,100,200,0.5,false
57,23:08:28.016,Quaker Bot Long Strafes 3000,pistol,0.364s,2,1,0.5,100,400,0.25,false
58,23:08:28.422,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
59,23:08:28.634,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
60,23:08:28.984,Quaker Bot Long Strafes 2000,pistol,0s,1,1,1,100,200,0.5,false
61,23:08:29.290,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
62,23:08:29.562,Quaker Bot Long Strafes 3000,pistol,0s,1,1,1,100,200,0.5,false
63,23:08:29.916,Quaker Bot Long Strafes,pistol,0s,1,1,1,100,200,0.5,false
