Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:58:44.178,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
2,01:58:44.846,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
3,01:58:45.505,Quaker Bot Long Strafes,MG,0.422s,70,40,0.571,80,140,0.571,false
4,01:58:45.967,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
5,01:58:46.487,Quaker Bot Long Strafes,MG,0.352s,60,40,0.667,80,120,0.667,false
6,01:58:46.906,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
7,01:58:47.465,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
8,01:58:47.925,Quaker Bot Long Strafes,MG,0.215s,40,40,1,80,80,1,false
9,01:58:49.047,Quaker Bot Long Strafes,MG,0.843s,130,60,0.462,120,260,0.462,false
10,01:58:49.605,Quaker Bot Long Strafes,MG,0.28s,50,20,0.4,40,100,0.4,false
11,01:58:50.307,Quaker Bot Long Strafes,MG,0.42s,70,40,0.571,80,140,0.571,false
12,01:58:50.865,Quaker Bot Long Strafes,MG,0.281s,50,40,0.8,80,100,0.8,false
13,01:58:52.156,Quaker Bot Long Strafes,MG,1.053s,160,70,0.438,140,320,0.438,false
14,01:58:52.577,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
15,01:58:53.036,Quaker Bot Long Strafes,MG,0.212s,40,40,1,80,80,1,false
16,01:58:53.386,Quaker Bot Long Strafes,MG,0.072s,20,10,0.5,20,40,0.5,false
17,01:58:54.156,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
18,01:58:54.606,Quaker Bot Long Strafes,MG,0.283s,50,40,0.8,80,100,0.8,false
19,01:58:55.026,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
20,01:58:55.485,Quaker Bot Long Strafes,MG,0.212s,40,40,1,80,80,1,false
21,01:58:56.955,Quaker Bot Long Strafes,MG,1.192s,180,70,0.389,140,360,0.389,false
22,01:58:57.235,Quaker Bot Long Strafes,MG,0.001s,10,10,1,20,20,1,false
23,01:58:58.247,Quaker Bot Long Strafes,MG,0.771s,120,70,0.583,140,240,0.583,false
24,01:58:58.283,Quaker Bot Long Strafes,MG,0.001s,10,10,1,20,20,1,false
25,01:58:59.334,Quaker Bot Long Strafes,MG,0.769s,120,40,0.333,80,240,0.333,false
26,01:59:00.035,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
27,01:59:00.945,Quaker Bot Long Strafes,MG,0.632s,100,70,0.7,140,200,0.7,false
28,01:59:01.294,Quaker Bot Long Strafes,MG,0.072s,20,10,0.5,20,40,0.5,false
29,01:59:02.066,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
30,01:59:02.765,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
31,01:59:03.355,Quaker Bot Long Strafes,MG,0.352s,60,40,0.667,80,120,0.667,false
32,01:59:03.708,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
33,01:59:04.235,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
34,01:59:04.863,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
35,01:59:05.496,Quaker Bot Long Strafes,MG,0.352s,60,40,0.667,80,120,0.667,false
36,01:59:06.196,Quaker Bot Long Strafes,MG,0.423s,70,40,0.571,80,140,0.571,false
37,01:59:06.895,Quaker Bot Long Strafes,MG,0.422s,70,40,0.571,80,140,0.571,false
38,01:59:07.455,Quaker Bot Long Strafes,MG,0.283s,50,40,0.8,80,100,0.8,false
39,01:59:08.224,Quaker Bot Long Strafes,MG,0.492s,80,40,0.5,80,160,0.5,false
40,01:59:08.926,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
41,01:59:09.485,Quaker Bot Long Strafes,MG,0.281s,50,40,0.8,80,100,0.8,false
42,01:59:10.288,Quaker Bot Long Strafes,MG,0.559s,90,40,0.444,80,180,0.444,false
43,01:59:10.745,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
44,01:59:11.476,Quaker Bot Long Strafes,MG,0.488s,80,40,0.5,80,160,0.5,false
45,01:59:12.077,Quaker Bot Long Strafes,MG,0.354s,60,40,0.667,80,120,0.667,false
46,01:59:12.637,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
47,01:59:13.195,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
48,01:59:13.755,Quaker Bot Long Strafes,MG,0.282s,50,40,0.8,80,100,0.8,false
49,01:59:14.387,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,80,120,0.667,false
50,01:59:15.014,Quaker Bot Long Strafes,MG,0.352s,60,40,0.667,80,120,0.667,false
51,01:59:16.346,Quaker Bot Long Strafes,MG,1.05s,160,70,0.438,140,320,0.438,false
52,01:59:16.695,Quaker Bot Long Strafes,MG,0.071s,20,10,0.5,20,40,0.5,false
53,01:59:17.392,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
54,01:59:18.265,Quaker Bot Long Strafes,MG,0.632s,100,40,0.4,80,200,0.4,false
55,01:59:18.796,Quaker Bot Long Strafes,MG,0.283s,50,40,0.8,80,100,0.8,false
56,01:59:19.424,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,80,120,0.667,false
57,01:59:20.125,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
58,01:59:20.756,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
59,01:59:22.296,Quaker Bot Long Strafes,MG,1.262s,190,70,0.368,140,380,0.368,false
60,01:59:22.786,Quaker Bot Long Strafes,MG,0.214s,40,10,0.25,20,80,0.25,false
61,01:59:23.587,Quaker Bot Long Strafes,MG,0.562s,90,40,0.444,80,180,0.444,false
62,01:59:24.046,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
63,01:59:24.496,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
64,01:59:24.956,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
65,01:59:25.514,Quaker Bot Long Strafes,MG,0.281s,50,40,0.8,80,100,0.8,false
66,01:59:26.074,Quaker Bot Long Strafes,MG,0.282s,50,40,0.8,80,100,0.8,false
67,01:59:26.637,Quaker Bot Long Strafes,MG,0.284s,50,40,0.8,80,100,0.8,false
68,01:59:27.788,Quaker Bot Long Strafes,MG,0.913s,140,70,0.5,140,280,0.5,false
69,01:59:27.826,Quaker Bot Long Strafes,MG,0.001s,10,10,1,20,20,1,false
70,01:59:28.838,Quaker Bot Long Strafes,MG,0.773s,120,40,0.333,80,240,0.333,false
71,01:59:29.296,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
72,01:59:30.065,Quaker Bot Long Strafes,MG,0.49s,80,40,0.5,80,160,0.5,false
73,01:59:30.974,Quaker Bot Long Strafes,MG,0.631s,100,40,0.4,80,200,0.4,false
74,01:59:31.566,Quaker Bot Long Strafes,MG,0.422s,70,40,0.571,80,140,0.571,false
75,01:59:31.916,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
76,01:59:32.376,Quaker Bot Long Strafes,MG,0.212s,40,40,1,80,80,1,false
77,01:59:32.866,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
78,01:59:33.357,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
79,01:59:33.984,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
80,01:59:34.476,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
81,01:59:35.137,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
82,01:59:35.595,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
83,01:59:36.295,Quaker Bot Long Strafes,MG,0.423s,70,40,0.571,80,140,0.571,false
84,01:59:36.995,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
85,01:59:37.486,Quaker Bot Long Strafes,MG,0.212s,40,40,1,80,80,1,false
86,01:59:38.117,Quaker Bot Long Strafes,MG,0.353s,60,40,0.667,80,120,0.667,false
87,01:59:38.746,Quaker Bot Long Strafes,MG,0.352s,60,40,0.667,80,120,0.667,false
88,01:59:39.234,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
89,01:59:40.005,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
90,01:59:40.597,Quaker Bot Long Strafes,MG,0.354s,60,40,0.667,80,120,0.667,false
91,01:59:41.057,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
92,01:59:41.507,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
93,01:59:41.927,Quaker Bot Long Strafes,MG,0.213s,40,40,1,80,80,1,false
94,01:59:42.385,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
95,01:59:43.157,Quaker Bot Long Strafes,MG,0.494s,80,40,0.5,80,160,0.5,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,6050,3820,7640.0,12100.0,

Kills:,95
Deaths:,0
Fight Time:,35.495998
Avg TTK:,0.631
Damage Done:,7640.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,7640.0
Scenario:,patCircleSwitch NR Static
Hash:,727485de6d4ae925263c7a2cae52b280
Game Version:,v2.8.6
Challenge Start:,01:58:43.485
Pause Count:,5
Pause Duration:,130

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,296.775238
Resolution Scale,100.0
