Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:54:30.550,Quaker Bot Long Strafes,MG,0.677s,60,50,0.833,100,120,0.833,false
2,01:54:31.040,Quaker Bot Long Strafes,MG,0.21s,40,30,0.75,60,80,0.75,false
3,01:54:31.738,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
4,01:54:32.930,Quaker Bot Long Strafes,MG,0.91s,140,70,0.5,140,280,0.5,false
5,01:54:33.492,Quaker Bot Long Strafes,MG,0.279s,50,10,0.2,20,100,0.2,false
6,01:54:34.262,Quaker Bot Long Strafes,MG,0.492s,80,40,0.5,80,160,0.5,false
7,01:54:34.752,Quaker Bot Long Strafes,MG,0.212s,40,40,1,80,80,1,false
8,01:54:35.272,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
9,01:54:35.832,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,80,120,0.667,false
10,01:54:36.571,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
11,01:54:37.583,Quaker Bot Long Strafes,MG,0.772s,120,70,0.583,140,240,0.583,false
12,01:54:37.617,Quaker Bot Long Strafes,MG,0.002s,10,10,1,20,20,1,false
13,01:54:38.741,Quaker Bot Long Strafes,MG,0.841s,130,40,0.308,80,260,0.308,false
14,01:54:39.822,Quaker Bot Long Strafes,MG,0.914s,140,70,0.5,140,280,0.5,false
15,01:54:40.350,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
16,01:54:40.982,Quaker Bot Long Strafes,MG,0.35s,60,10,0.167,20,120,0.167,false
17,01:54:41.542,Quaker Bot Long Strafes,MG,0.282s,50,40,0.8,80,100,0.8,false
18,01:54:42.310,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
19,01:54:43.923,Quaker Bot Long Strafes,MG,1.332s,200,70,0.35,140,400,0.35,false
20,01:54:44.343,Quaker Bot Long Strafes,MG,0.142s,30,10,0.333,20,60,0.333,false
21,01:54:44.974,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
22,01:54:46.790,Quaker Bot Long Strafes,MG,1.54s,230,70,0.304,140,460,0.304,false
23,01:54:47.142,Quaker Bot Long Strafes,MG,0.071s,20,10,0.5,20,40,0.5,false
24,01:54:47.910,Quaker Bot Long Strafes,MG,0.491s,80,40,0.5,80,160,0.5,false
