Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,04:14:03.649,Quaker Bot Long Strafes,MG,0.696s,80,40,0.5,80,160,0.5,false
2,04:14:04.600,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
3,04:14:05.183,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
4,04:14:06.018,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
5,04:14:06.670,Quaker Bot Long Strafes,MG,0.278s,50,50,1,80,100,0.8,false
6,04:14:07.271,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
7,04:14:08.000,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
8,04:14:08.547,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
9,04:14:09.366,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
10,04:14:09.840,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
11,04:14:11.340,Quaker Bot Long Strafes,MG,1.148s,120,70,0.583,140,240,0.583,false
12,04:14:11.796,Quaker Bot Long Strafes,MG,0.067s,20,10,0.5,20,40,0.5,false
13,04:14:12.534,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
14,04:14:13.427,Quaker Bot Long Strafes,MG,0.628s,100,40,0.4,80,200,0.4,false
15,04:14:14.012,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
16,04:14:14.518,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
17,04:14:16.049,Quaker Bot Long Strafes,MG,1.148s,140,70,0.5,120,280,0.429,false
18,04:14:16.559,Quaker Bot Long Strafes,MG,0.137s,30,20,0.667,40,60,0.667,false
19,04:14:17.113,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
20,04:14:18.601,Quaker Bot Long Strafes,MG,1.129s,120,70,0.583,140,240,0.583,false
21,04:14:19.251,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
22,04:14:19.809,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
23,04:14:20.242,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
24,04:14:20.856,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
25,04:14:21.336,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
26,04:14:21.484,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
27,04:14:22.220,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
28,04:14:22.717,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
