Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:01:07.214,Quaker Bot Long Strafes,MG,0.349s,6,4,0.667,1,1.5,0.667,false
2,20:01:07.825,Quaker Bot Long Strafes,MG,0.206s,4,4,1,1,1,1,false
3,20:01:08.548,Quaker Bot Long Strafes,MG,0.276s,5,4,0.8,1,1.25,0.8,false
4,20:01:09.515,Quaker Bot Long Strafes,MG,0.347s,6,4,0.667,1,1.5,0.667,false
5,20:01:10.105,Quaker Bot Long Strafes,MG,0.276s,5,4,0.8,1,1.25,0.8,false
6,20:01:10.584,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
7,20:01:11.759,Quaker Bot Long Strafes,MG,0.974s,13,6,0.462,1.5,3.25,0.462,false
8,20:01:12.801,Quaker Bot Long Strafes,MG,0.661s,7,5,0.714,1.25,1.75,0.714,false
9,20:01:13.548,Quaker Bot Long Strafes,MG,0.275s,5,1,0.2,0.25,1.25,0.2,false
10,20:01:14.378,Quaker Bot Long Strafes,MG,0.349s,6,4,0.667,1,1.5,0.667,false
11,20:01:14.904,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
12,20:01:15.593,Quaker Bot Long Strafes,MG,0.419s,7,4,0.571,1,1.75,0.571,false
13,20:01:16.204,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
14,20:01:16.732,Quaker Bot Long Strafes,MG,0.207s,4,4,1,1,1,1,false
15,20:01:17.266,Quaker Bot Long Strafes,MG,0.21s,4,4,1,1,1,1,false
16,20:01:17.735,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
17,20:01:18.293,Quaker Bot Long Strafes,MG,0.277s,5,4,0.8,1,1.25,0.8,false
18,20:01:18.846,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
19,20:01:19.359,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
20,20:01:20.440,Quaker Bot Long Strafes,MG,0.809s,9,7,0.778,1.75,2.25,0.778,false
21,20:01:21.033,Quaker Bot Long Strafes,MG,0.067s,2,1,0.5,0.25,0.5,0.5,false
22,20:01:22.166,Quaker Bot Long Strafes,MG,0.848s,10,7,0.7,1.75,2.5,0.7,false
23,20:01:22.365,Quaker Bot Long Strafes,MG,0.001s,1,1,1,0.25,0.25,1,false
24,20:01:23.227,Quaker Bot Long Strafes,MG,0.709s,7,4,0.571,1,1.75,0.571,false
25,20:01:24.702,Quaker Bot Long Strafes,MG,0.868s,6,4,0.667,1,1.5,0.667,false
26,20:01:25.548,Quaker Bot Long Strafes,MG,0.277s,5,4,0.8,1,1.25,0.8,false
27,20:01:27.056,Quaker Bot Long Strafes,MG,1.139s,14,7,0.5,1.75,3.5,0.5,false
28,20:01:27.700,Quaker Bot Long Strafes,MG,0.279s,5,4,0.8,1,1.25,0.8,false
29,20:01:28.413,Quaker Bot Long Strafes,MG,0.209s,4,1,0.25,0.25,1,0.25,false
30,20:01:29.043,Quaker Bot Long Strafes,MG,0.277s,5,4,0.8,1,1.25,0.8,false
31,20:01:29.744,Quaker Bot Long Strafes,MG,0.209s,4,4,1,1,1,1,false
32,20:01:30.589,Quaker Bot Long Strafes,MG,0.35s,6,4,0.667,1,1.5,0.667,false
33,20:01:32.067,Quaker Bot Long Strafes,MG,1.152s,14,6,0.429,1.5,3.5,0.429,false
34,20:01:32.574,Quaker Bot Long Strafes,MG,0.138s,3,2,0.667,0.5,0.75,0.667,false
35,20:01:33.366,Quaker Bot Long Strafes,MG,0.419s,7,4,0.571,1,1.75,0.571,false
36,20:01:33.732,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
37,20:01:34.762,Quaker Bot Long Strafes,MG,0.278s,5,4,0.8,1,1.25,0.8,false
38,20:01:35.488,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
39,20:01:36.273,Quaker Bot Long Strafes,MG,0.208s,4,4,1,1,1,1,false
40,20:01:36.831,Quaker Bot Long Strafes,MG,0.278s,5,4,0.8,1,1.25,0.8,false
