Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:57:37.382,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
2,19:57:37.990,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
3,19:57:38.598,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
4,19:57:39.839,Quaker Bot Long Strafes,MG,0.929s,80,40,0.5,80,160,0.5,false
5,19:57:40.558,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
6,19:57:41.335,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,70,120,0.583,false
7,19:57:42.105,Quaker Bot Long Strafes,MG,0.489s,80,40,0.5,80,160,0.5,false
8,19:57:42.682,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
9,19:57:43.195,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
10,19:57:43.702,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
11,19:57:44.079,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
12,19:57:44.727,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
13,19:57:45.414,Quaker Bot Long Strafes,MG,0.49s,80,40,0.5,80,160,0.5,false
14,19:57:45.892,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
15,19:57:46.541,Quaker Bot Long Strafes,MG,0.346s,60,60,1,80,120,0.667,false
16,19:57:46.980,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
17,19:57:47.446,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
18,19:57:47.908,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
19,19:57:48.426,Quaker Bot Long Strafes,MG,0.348s,60,50,0.833,80,120,0.667,false
20,19:57:49.065,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,70,120,0.583,false
21,19:57:49.764,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
22,19:57:50.595,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
23,19:57:51.304,Quaker Bot Long Strafes,MG,0.418s,70,70,1,80,140,0.571,false
24,19:57:52.162,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
25,19:57:52.689,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
26,19:57:53.507,Quaker Bot Long Strafes,MG,0.487s,80,40,0.5,80,160,0.5,false
27,19:57:54.382,Quaker Bot Long Strafes,MG,0.276s,50,50,1,80,100,0.8,false
28,19:57:55.140,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
29,19:57:55.889,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
30,19:57:56.406,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
31,19:57:56.871,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
32,19:57:57.541,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
33,19:57:58.050,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
34,19:57:58.629,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
35,19:57:59.178,Quaker Bot Long Strafes,MG,0.423s,70,40,0.571,80,140,0.571,false
36,19:57:59.964,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
37,19:58:00.563,Quaker Bot Long Strafes,MG,0.415s,70,40,0.571,80,140,0.571,false
38,19:58:01.174,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
39,19:58:01.704,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
40,19:58:02.407,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
41,19:58:02.907,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
42,19:58:03.332,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
43,19:58:04.047,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
44,19:58:04.711,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
45,19:58:05.796,Quaker Bot Long Strafes,MG,0.865s,110,70,0.636,140,220,0.636,false
46,19:58:06.007,Quaker Bot Long Strafes,MG,0.001s,10,10,1,10,20,0.5,false
47,19:58:06.854,Quaker Bot Long Strafes,MG,0.561s,70,40,0.571,70,140,0.5,false
48,19:58:07.606,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
49,19:58:08.365,Quaker Bot Long Strafes,MG,0.21s,40,40,1,80,80,1,false
50,19:58:08.866,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
51,19:58:09.428,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
52,19:58:10.196,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
53,19:58:10.698,Quaker Bot Long Strafes,MG,0.207s,40,40,1,70,80,0.875,false
54,19:58:11.479,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
55,19:58:11.938,Quaker Bot Long Strafes,MG,0.209s,40,40,1,70,80,0.875,false
56,19:58:12.933,Quaker Bot Long Strafes,MG,0.281s,50,40,0.8,80,100,0.8,false
57,19:58:13.545,Quaker Bot Long Strafes,MG,0.207s,40,40,1,70,80,0.875,false
58,19:58:13.926,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
59,19:58:14.467,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
60,19:58:14.987,Quaker Bot Long Strafes,MG,0.206s,40,40,1,70,80,0.875,false
61,19:58:16.080,Quaker Bot Long Strafes,MG,0.792s,80,50,0.625,70,160,0.438,false
62,19:58:16.721,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
63,19:58:17.710,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
64,19:58:18.425,Quaker Bot Long Strafes,MG,0.558s,90,40,0.444,70,180,0.389,false
65,19:58:19.085,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
66,19:58:19.561,Quaker Bot Long Strafes,MG,0.351s,60,40,0.667,80,120,0.667,false
67,19:58:20.678,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
68,19:58:21.375,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
69,19:58:22.146,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
70,19:58:22.954,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
71,19:58:23.613,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
72,19:58:24.192,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
73,19:58:25.012,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
74,19:58:25.660,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
75,19:58:26.226,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
76,19:58:26.919,Quaker Bot Long Strafes,MG,0.209s,40,40,1,70,80,0.875,false
77,19:58:27.545,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
78,19:58:28.270,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
79,19:58:28.778,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,80,100,0.8,false
80,19:58:29.779,Quaker Bot Long Strafes,MG,0.73s,90,70,0.778,140,180,0.778,false
81,19:58:30.291,Quaker Bot Long Strafes,MG,0.068s,20,10,0.5,20,40,0.5,false
82,19:58:31.267,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
83,19:58:31.618,Quaker Bot Long Strafes,MG,0.211s,40,40,1,80,80,1,false
84,19:58:32.901,Quaker Bot Long Strafes,MG,0.739s,100,80,0.8,140,200,0.7,false
85,19:58:33.298,Quaker Bot Long Strafes,MG,0.001s,10,10,1,10,20,0.5,false
86,19:58:33.781,Quaker Bot Long Strafes,MG,0.375s,50,40,0.8,80,100,0.8,false
87,19:58:34.464,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
88,19:58:35.022,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
89,19:58:35.501,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
90,19:58:36.000,Quaker Bot Long Strafes,MG,0.279s,50,50,1,70,100,0.7,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,4630,3700,7070.0,9260.0,

Kills:,90
Deaths:,0
Fight Time:,27.23
Avg TTK:,0
Damage Done:,7070.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,12.985413
Score:,7070.0
Scenario:,patTargetSwitch easy
Hash:,974bc09cbcfde82d261bd4e94d89fb0d
Game Version:,2.0.4.0
Challenge Start:,19:57:36.248

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
FOV:,103.0
Hide Gun:,false
Crosshair:,dot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,292.765503
Resolution Scale,100.0
