Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:44:18.868,target,LG,0.52s,46,20,0.435,1,2.3,0.435,false
2,02:44:19.812,target,LG,0.742s,36,20,0.556,1,1.8,0.556,false
3,02:44:20.544,target,LG,0.463s,41,20,0.488,1,2.05,0.488,false
4,02:44:21.206,target,LG,0.322s,29,20,0.69,1,1.45,0.69,false
5,02:44:21.890,target,LG,0.275s,25,20,0.8,1,1.25,0.8,false
6,02:44:23.132,target,LG,0.936s,82,20,0.244,1,4.1,0.244,false
7,02:44:23.760,target,LG,0.386s,27,20,0.741,1,1.35,0.741,false
8,02:44:24.394,target,LG,0.218s,20,20,1,1,1,1,false
9,02:44:25.331,target,LG,0.497s,44,20,0.455,1,2.2,0.455,false
10,02:44:26.032,target,LG,0.275s,25,20,0.8,1,1.25,0.8,false
11,02:44:26.726,target,LG,0.568s,35,20,0.571,1,1.75,0.571,false
12,02:44:27.868,target,LG,0.426s,38,20,0.526,1,1.9,0.526,false
13,02:44:28.697,target,LG,0.321s,29,20,0.69,1,1.45,0.69,false
14,02:44:29.248,target,LG,0.288s,26,20,0.769,1,1.3,0.769,false
15,02:44:30.333,target,LG,0.728s,64,20,0.312,1,3.2,0.313,false
16,02:44:31.148,target,LG,0.51s,45,20,0.444,1,2.25,0.444,false
17,02:44:32.081,target,LG,0.322s,29,20,0.69,1,1.45,0.69,false
18,02:44:33.360,target,LG,0.728s,64,20,0.312,1,3.2,0.313,false
19,02:44:34.156,target,LG,0.264s,24,20,0.833,1,1.2,0.833,false
20,02:44:34.965,target,LG,0.45s,40,20,0.5,1,2,0.5,false
21,02:44:35.880,target,LG,0.829s,63,20,0.317,1,3.15,0.317,false
22,02:44:36.665,target,LG,0.462s,41,20,0.488,1,2.05,0.488,false
23,02:44:37.377,target,LG,0.346s,31,20,0.645,1,1.55,0.645,false
24,02:44:38.196,target,LG,0.218s,20,20,1,1,1,1,false
25,02:44:38.935,target,LG,0.392s,35,20,0.571,1,1.75,0.571,false
26,02:44:39.825,target,LG,0.567s,50,20,0.4,1,2.5,0.4,false
27,02:44:40.913,target,LG,0.416s,37,25,0.676,1.25,1.85,0.676,false
28,02:44:41.672,target,LG,0.463s,41,20,0.488,1,2.05,0.488,false
29,02:44:42.265,target,LG,0.392s,35,20,0.571,1,1.75,0.571,false
30,02:44:42.881,target,LG,0.252s,23,20,0.87,1,1.15,0.87,false
31,02:44:43.704,target,LG,0.473s,42,20,0.476,1,2.1,0.476,false
32,02:44:44.862,target,LG,0.68s,60,22,0.367,1.1,3,0.367,false
33,02:44:45.923,target,LG,0.694s,61,18,0.295,0.9,3.05,0.295,false
34,02:44:46.805,target,LG,0.519s,46,20,0.435,1,2.3,0.435,false
35,02:44:47.651,target,LG,0.472s,42,20,0.476,1,2.1,0.476,false
36,02:44:48.326,target,LG,0.241s,22,20,0.909,1,1.1,0.909,false
37,02:44:48.913,target,LG,0.287s,26,20,0.769,1,1.3,0.769,false
38,02:44:49.568,target,LG,0.217s,20,15,0.75,0.75,1,0.75,false
39,02:44:50.401,target,LG,0.382s,34,20,0.588,1,1.7,0.588,false
40,02:44:51.210,target,LG,0.463s,41,20,0.488,1,2.05,0.488,false
41,02:44:52.033,target,LG,0.588s,44,20,0.455,1,2.2,0.455,false
42,02:44:52.594,target,LG,0.218s,20,20,1,1,1,1,false
43,02:44:54.236,target,LG,1.382s,103,39,0.379,1.95,5.15,0.379,false
44,02:44:54.759,target,LG,0.033s,4,1,0.25,0.05,0.2,0.25,false
45,02:44:56.142,target,LG,1.299s,55,20,0.364,1,2.75,0.364,false
46,02:44:56.938,target,LG,0.404s,36,20,0.556,1,1.8,0.556,false
47,02:44:57.578,target,LG,0.344s,31,20,0.645,1,1.55,0.645,false
48,02:44:58.471,target,LG,0.483s,43,20,0.465,1,2.15,0.465,false
49,02:44:59.619,target,LG,1.067s,67,36,0.537,1.8,3.35,0.537,false
50,02:45:00.026,target,LG,0.033s,4,4,1,0.2,0.2,1,false
51,02:45:00.843,target,LG,0.338s,25,20,0.8,1,1.25,0.8,false
52,02:45:01.652,target,LG,0.496s,44,20,0.455,1,2.2,0.455,false
53,02:45:02.701,target,LG,0.436s,39,20,0.513,1,1.95,0.513,false
54,02:45:03.317,target,LG,0.265s,24,20,0.833,1,1.2,0.833,false
55,02:45:04.048,target,LG,0.37s,33,20,0.606,1,1.65,0.606,false
56,02:45:04.877,target,LG,0.496s,44,20,0.455,1,2.2,0.455,false
57,02:45:05.593,target,LG,0.416s,37,20,0.541,1,1.85,0.541,false
58,02:45:07.010,target,LG,0.868s,76,20,0.263,1,3.8,0.263,false
59,02:45:07.915,target,LG,0.66s,58,20,0.345,1,2.9,0.345,false
60,02:45:09.696,target,LG,1.464s,99,34,0.343,1.7,4.95,0.343,false
61,02:45:10.290,target,LG,0.184s,17,6,0.353,0.3,0.85,0.353,false
62,02:45:11.593,target,LG,0.752s,66,20,0.303,1,3.3,0.303,false
63,02:45:12.603,target,LG,0.59s,52,20,0.385,1,2.6,0.385,false
64,02:45:13.878,target,LG,0.53s,47,20,0.426,1,2.35,0.426,false
65,02:45:14.574,target,LG,0.544s,36,20,0.556,1,1.8,0.556,false
66,02:45:15.460,target,LG,0.521s,46,27,0.587,1.35,2.3,0.587,false
67,02:45:16.235,target,LG,0.195s,18,13,0.722,0.65,0.9,0.722,false
68,02:45:17.299,target,LG,0.613s,54,20,0.37,1,2.7,0.37,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,2761,1360,67.99955,138.053818,

Kills:,68
Deaths:,0
Fight Time:,33.592999
Avg TTK:,0
Damage Done:,67.99955
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,67.99955
Scenario:,psalmTS Voltaic
Hash:,b9da24e75c131ca668a942cda501b4a5
Game Version:,v2.6.3
Challenge Start:,02:44:17.411
Pause Count:,36
Pause Duration:,218

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.680573
Resolution Scale,100.0
