Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:05:51.941,regen_dot,Poke-Drill,1.167s,118,81,0.686,81,118,0.686,false
2,21:05:55.436,regen_dot,Poke-Drill,3.244s,293,128,0.437,128,293,0.437,false
3,21:05:57.128,regen_dot,Poke-Drill,1.442s,68,50,0.735,50,68,0.735,false
4,21:05:58.990,regen_dot,Poke-Drill,1.177s,119,88,0.739,88,119,0.739,false
5,21:06:02.784,regen_dot,Poke-Drill,3.072s,274,124,0.453,124,274,0.453,false
6,21:06:05.656,regen_dot,Poke-Drill,2.049s,206,118,0.573,118,206,0.573,false
7,21:06:08.120,regen_dot,Poke-Drill,2.206s,175,108,0.617,108,175,0.617,false
8,21:06:10.131,regen_dot,Poke-Drill,1.759s,155,81,0.523,81,155,0.523,false
9,21:06:11.608,regen_dot,Poke-Drill,0.889s,90,61,0.678,61,90,0.678,false
10,21:06:18.335,regen_dot,Poke-Drill,6.314s,582,363,0.624,363,582,0.624,false
11,21:06:19.990,regen_dot,Poke-Drill,1.403s,123,61,0.496,61,123,0.496,false
12,21:06:21.608,regen_dot,Poke-Drill,1.367s,117,80,0.684,80,117,0.684,false
13,21:06:24.108,regen_dot,Poke-Drill,2.249s,214,109,0.509,109,214,0.509,false
14,21:06:26.699,regen_dot,Poke-Drill,2.339s,216,96,0.444,96,216,0.444,false
15,21:06:30.585,regen_dot,Poke-Drill,3.633s,285,168,0.589,168,285,0.589,false
16,21:06:31.615,regen_dot,Poke-Drill,0.78s,55,50,0.909,50,55,0.909,false
17,21:06:33.211,regen_dot,Poke-Drill,1.346s,92,70,0.761,70,92,0.761,false
18,21:06:35.729,regen_dot,Poke-Drill,2.109s,212,119,0.561,119,212,0.561,false
19,21:06:37.222,regen_dot,Poke-Drill,0.868s,88,55,0.625,55,88,0.625,false
20,21:06:45.342,regen_dot,Poke-Drill,7.86s,759,316,0.416,316,759,0.416,false
21,21:06:48.722,regen_dot,Poke-Drill,3.122s,257,134,0.521,134,257,0.521,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4592,2503,2503.0,4592.0,

Kills:,21
Deaths:,0
Fight Time:,50.395
Avg TTK:,0
Damage Done:,2503.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,21.0
Scenario:,tamTargetSwitch Smooth
Hash:,ebaed4d804f7bb0b1fa3961826398e1f
Game Version:,v2.6.4
Challenge Start:,21:05:49.877
Pause Count:,1
Pause Duration:,701

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,297.235291
Resolution Scale,100.0
