Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:33:31.126,regen_dot,Poke-Drill,3.366s,338,188,0.556,188,338,0.556,false
2,00:33:33.770,regen_dot,Poke-Drill,2.393s,201,128,0.637,128,201,0.637,false
3,00:33:36.688,regen_dot,Poke-Drill,2.659s,206,139,0.675,139,206,0.675,false
4,00:33:39.182,regen_dot,Poke-Drill,2.258s,180,113,0.628,113,180,0.628,false
5,00:33:42.240,regen_dot,Poke-Drill,2.594s,182,84,0.462,84,182,0.462,false
6,00:33:45.833,regen_dot,Poke-Drill,2.909s,292,157,0.538,157,292,0.538,false
7,00:33:47.325,regen_dot,Poke-Drill,1.234s,103,62,0.602,62,103,0.602,false
8,00:33:50.308,regen_dot,Poke-Drill,2.733s,212,114,0.538,114,212,0.538,false
9,00:33:52.059,regen_dot,Poke-Drill,1.268s,128,70,0.547,70,128,0.547,false
10,00:33:55.392,regen_dot,Poke-Drill,3.079s,249,110,0.442,110,249,0.442,false
11,00:33:59.706,regen_dot,Poke-Drill,4.057s,320,165,0.516,165,320,0.516,false
12,00:34:13.531,regen_dot,Poke-Drill,13.575s,838,376,0.449,376,838,0.449,false
13,00:34:16.591,regen_dot,Poke-Drill,2.798s,246,146,0.593,146,246,0.593,false
14,00:34:18.143,regen_dot,Poke-Drill,1.293s,102,61,0.598,61,102,0.598,false
15,00:34:21.613,regen_dot,Poke-Drill,3.211s,257,156,0.607,156,257,0.607,false
16,00:34:24.750,regen_dot,Poke-Drill,2.88s,269,150,0.558,150,269,0.558,false
17,00:34:26.014,regen_dot,Poke-Drill,1.007s,68,50,0.735,50,68,0.735,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Poke-Drill,4197,2269,2269.0,4197.0,

Kills:,17
Deaths:,0
Fight Time:,53.313999
Avg TTK:,3.524
Damage Done:,2269.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,17.0
Scenario:,tamTargetSwitch Smooth
Hash:,ebaed4d804f7bb0b1fa3961826398e1f
Game Version:,v2.7.0
Challenge Start:,00:33:26.190
Pause Count:,22
Pause Duration:,349

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,400
FOV:,103.0
FOVScale:,Valorant
Hide Gun:,false
Crosshair:,PopDot.png
Crosshair Scale:,1.0
Crosshair Color:,00FF00
Resolution,1920x1080
Avg FPS,290.922546
Resolution Scale,100.0
