Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:41:07.521,Pasu Semi Dodge,pistol,0.655s,3,2,0.667,20,60,0.333,false
2,23:41:08.268,Pasu Semi Dodge,pistol,0.32s,2,2,1,20,40,0.5,false
3,23:41:09.555,Pasu Semi Dodge,pistol,0.903s,4,2,0.5,20,80,0.25,false
4,23:41:10.299,Pasu Semi Dodge,pistol,0.316s,2,2,1,20,40,0.5,false
5,23:41:10.997,Pasu Semi Dodge,pistol,0.306s,2,2,1,20,40,0.5,false
6,23:41:12.421,Pasu Semi Dodge,pistol,1.061s,4,2,0.5,20,80,0.25,false
7,23:41:13.155,Pasu Semi Dodge,pistol,0.301s,2,2,1,20,40,0.5,false
8,23:41:13.925,Pasu Semi Dodge,pistol,0.292s,2,2,1,20,40,0.5,false
9,23:41:14.731,Pasu Semi Dodge,pistol,0.353s,2,2,1,20,40,0.5,false
10,23:41:15.496,Pasu Semi Dodge,pistol,0.345s,2,2,1,20,40,0.5,false
11,23:41:16.963,Pasu Semi Dodge,pistol,1.026s,4,2,0.5,20,80,0.25,false
12,23:41:17.729,Pasu Semi Dodge,pistol,0.307s,2,2,1,20,40,0.5,false
13,23:41:18.578,Pasu Semi Dodge,pistol,0.365s,2,2,1,20,40,0.5,false
14,23:41:19.721,Pasu Semi Dodge,pistol,0.772s,3,2,0.667,20,60,0.333,false
15,23:41:20.588,Pasu Semi Dodge,pistol,0.373s,2,2,1,20,40,0.5,false
16,23:41:21.778,Pasu Semi Dodge,pistol,0.804s,3,2,0.667,20,60,0.333,false
17,23:41:22.926,Pasu Semi Dodge,pistol,0.723s,3,2,0.667,20,60,0.333,false
18,23:41:24.248,Pasu Semi Dodge,pistol,0.955s,4,2,0.5,20,80,0.25,false
19,23:41:24.943,Pasu Semi Dodge,pistol,0.256s,2,2,1,20,40,0.5,false
20,23:41:25.940,Pasu Semi Dodge,pistol,0.563s,3,2,0.667,20,60,0.333,false
21,23:41:26.625,Pasu Semi Dodge,pistol,0.35s,2,2,1,20,40,0.5,false
22,23:41:28.296,Pasu Semi Dodge,pistol,1.186s,4,2,0.5,20,80,0.25,false
23,23:41:31.380,Pasu Semi Dodge,pistol,2.701s,6,3,0.5,30,120,0.25,false
24,23:41:31.852,Pasu Semi Dodge,pistol,0s,1,1,1,10,20,0.5,false
25,23:41:35.213,Pasu Semi Dodge,pistol,2.751s,6,3,0.5,30,120,0.25,false
26,23:41:35.647,Pasu Semi Dodge,pistol,0s,1,1,1,10,20,0.5,false
27,23:41:36.392,Pasu Semi Dodge,pistol,0.321s,2,2,1,20,40,0.5,false
28,23:41:37.646,Pasu Semi Dodge,pistol,0.773s,3,2,0.667,20,60,0.333,false
29,23:41:38.561,Pasu Semi Dodge,pistol,0.56s,3,2,0.667,20,60,0.333,false
30,23:41:39.347,Pasu Semi Dodge,pistol,0.369s,2,2,1,20,40,0.5,false
31,23:41:40.174,Pasu Semi Dodge,pistol,0.35s,2,2,1,20,40,0.5,false
32,23:41:40.935,Pasu Semi Dodge,pistol,0.351s,2,2,1,20,40,0.5,false
33,23:41:41.688,Pasu Semi Dodge,pistol,0.345s,2,2,1,20,40,0.5,false
34,23:41:43.023,Pasu Semi Dodge,pistol,0.916s,4,2,0.5,20,80,0.25,false
35,23:41:43.832,Pasu Semi Dodge,pistol,0.332s,2,2,1,20,40,0.5,false
36,23:41:45.050,Pasu Semi Dodge,pistol,0.887s,4,2,0.5,20,80,0.25,false
37,23:41:46.084,Pasu Semi Dodge,pistol,0.317s,2,2,1,20,40,0.5,false
38,23:41:46.804,Pasu Semi Dodge,pistol,0.324s,2,2,1,20,40,0.5,false
39,23:41:47.982,Pasu Semi Dodge,pistol,0.791s,3,2,0.667,20,60,0.333,false
40,23:41:49.058,Pasu Semi Dodge,pistol,0.733s,3,2,0.667,20,60,0.333,false
41,23:41:49.736,Pasu Semi Dodge,pistol,0.305s,2,2,1,20,40,0.5,false
42,23:41:50.953,Pasu Semi Dodge,pistol,0.637s,3,2,0.667,20,60,0.333,false
43,23:41:52.133,Pasu Semi Dodge,pistol,0.675s,3,2,0.667,20,60,0.333,false
44,23:41:53.003,Pasu Semi Dodge,pistol,0.389s,2,2,1,20,40,0.5,false
45,23:41:53.706,Pasu Semi Dodge,pistol,0.326s,2,2,1,20,40,0.5,false
46,23:41:54.422,Pasu Semi Dodge,pistol,0.304s,2,2,1,20,40,0.5,false
47,23:41:55.486,Pasu Semi Dodge,pistol,0.581s,3,2,0.667,20,60,0.333,false
48,23:41:56.978,Pasu Semi Dodge,pistol,1.077s,4,2,0.5,20,80,0.25,false
49,23:41:57.806,Pasu Semi Dodge,pistol,0.353s,2,2,1,20,40,0.5,false
50,23:41:58.645,Pasu Semi Dodge,pistol,0.466s,2,2,1,20,40,0.5,false
51,23:41:59.716,Pasu Semi Dodge,pistol,0.606s,3,2,0.667,20,60,0.333,false
52,23:42:00.491,Pasu Semi Dodge,pistol,0.339s,2,2,1,20,40,0.5,false
53,23:42:03.343,Pasu Semi Dodge,pistol,2.439s,5,3,0.6,30,100,0.3,false
54,23:42:04.912,Pasu Semi Dodge,pistol,1.055s,4,1,0.25,10,80,0.125,false
55,23:42:06.126,Pasu Semi Dodge,pistol,0.626s,3,2,0.667,20,60,0.333,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,153,111,1110.0,3060.0,

Kills:,55
Deaths:,0
Fight Time:,35.530998
Avg TTK:,1.392
Damage Done:,1110.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,3
Distance Traveled:,0.0
Score:,110.0
Scenario:,tamspeed 2bpes 2-clicks
Hash:,d38228ef74bf19b11e8f250dc26fa397
Game Version:,v2.8.6
Challenge Start:,23:41:06.150
Pause Count:,35
Pause Duration:,109

Input Lag:,0
Max FPS (config):,298.0
Sens Scale:,Quake/Source
Horiz Sens:,1.0
Vert Sens:,1.0
DPI:,800
FOV:,103.0
FOVScale:,Valorant
