Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:49:07.043,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
2,02:49:07.724,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
3,02:49:08.295,Quaker Bot Long Strafes,LG,0.257s,27,20,0.741,100,135,0.741,false
4,02:49:08.870,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
5,02:49:09.474,Quaker Bot Long Strafes,LG,0.319s,33,20,0.606,100,165,0.606,false
6,02:49:10.250,Quaker Bot Long Strafes,LG,0.32s,33,20,0.606,100,165,0.606,false
7,02:49:10.713,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
8,02:49:11.183,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
9,02:49:11.832,Quaker Bot Long Strafes,LG,0.198s,21,20,0.952,100,105,0.952,false
10,02:49:12.503,Quaker Bot Long Strafes,LG,0.349s,36,20,0.556,100,180,0.556,false
11,02:49:13.121,Quaker Bot Long Strafes,LG,0.257s,27,20,0.741,100,135,0.741,false
12,02:49:13.756,Quaker Bot Long Strafes,LG,0.229s,24,20,0.833,100,120,0.833,false
13,02:49:14.313,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
14,02:49:14.837,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
15,02:49:15.344,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
16,02:49:15.938,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
17,02:49:16.625,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
18,02:49:17.455,Quaker Bot Long Strafes,LG,0.368s,38,20,0.526,100,190,0.526,false
19,02:49:18.068,Quaker Bot Long Strafes,LG,0.218s,23,20,0.87,100,115,0.87,false
20,02:49:18.656,Quaker Bot Long Strafes,LG,0.259s,27,20,0.741,100,135,0.741,false
21,02:49:19.260,Quaker Bot Long Strafes,LG,0.308s,32,20,0.625,100,160,0.625,false
22,02:49:19.764,Quaker Bot Long Strafes,LG,0.269s,28,20,0.714,100,140,0.714,false
23,02:49:20.311,Quaker Bot Long Strafes,LG,0.309s,32,20,0.625,100,160,0.625,false
24,02:49:20.831,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
25,02:49:21.203,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
26,02:49:21.678,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
27,02:49:22.300,Quaker Bot Long Strafes,LG,0.249s,26,20,0.769,100,130,0.769,false
28,02:49:22.813,Quaker Bot Long Strafes,LG,0.199s,21,20,0.952,100,105,0.952,false
29,02:49:23.297,Quaker Bot Long Strafes,LG,0.268s,28,20,0.714,100,140,0.714,false
30,02:49:24.093,Quaker Bot Long Strafes,LG,0.429s,44,20,0.455,100,220,0.455,false
