Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,17:12:11.310,Quaker Bot Long Strafes,LG,0.659s,67,20,0.299,100,335,0.299,false
2,17:12:12.019,Quaker Bot Long Strafes,LG,0.451s,46,20,0.435,100,230,0.435,false
3,17:12:12.888,Quaker Bot Long Strafes,LG,0.61s,62,20,0.323,100,310,0.323,false
4,17:12:13.770,Quaker Bot Long Strafes,LG,0.63s,64,20,0.312,100,320,0.312,false
5,17:12:14.829,Quaker Bot Long Strafes,LG,0.799s,81,20,0.247,100,405,0.247,false
6,17:12:15.658,Quaker Bot Long Strafes,LG,0.57s,58,20,0.345,100,290,0.345,false
7,17:12:16.242,Quaker Bot Long Strafes,LG,0.323s,33,20,0.606,100,165,0.606,false
8,17:12:26.051,Quaker Bot Long Strafes,LG,9.55s,126,20,0.159,100,630,0.159,false
9,17:12:26.829,Quaker Bot Long Strafes,LG,0.528s,54,20,0.37,100,270,0.37,false
10,17:12:27.802,Quaker Bot Long Strafes,LG,0.721s,73,20,0.274,100,365,0.274,false
11,17:12:29.122,Quaker Bot Long Strafes,LG,1.06s,107,38,0.355,190,535,0.355,false
12,17:12:29.602,Quaker Bot Long Strafes,LG,0.221s,23,2,0.087,10,115,0.087,false
13,17:12:30.741,Quaker Bot Long Strafes,LG,0.879s,89,20,0.225,100,445,0.225,false
14,17:12:31.451,Quaker Bot Long Strafes,LG,0.45s,46,20,0.435,100,230,0.435,false
15,17:12:32.294,Quaker Bot Long Strafes,LG,0.584s,59,20,0.339,100,295,0.339,false
16,17:12:32.982,Quaker Bot Long Strafes,LG,0.428s,44,20,0.455,100,220,0.455,false
17,17:12:34.113,Quaker Bot Long Strafes,LG,0.872s,88,20,0.227,100,440,0.227,false
18,17:12:34.761,Quaker Bot Long Strafes,LG,0.391s,40,20,0.5,100,200,0.5,false
19,17:12:35.698,Quaker Bot Long Strafes,LG,0.679s,69,20,0.29,100,345,0.29,false
20,17:12:36.451,Quaker Bot Long Strafes,LG,0.501s,51,20,0.392,100,255,0.392,false
21,17:12:37.192,Quaker Bot Long Strafes,LG,0.483s,49,20,0.408,100,245,0.408,false
22,17:12:38.101,Quaker Bot Long Strafes,LG,0.65s,66,20,0.303,100,330,0.303,false
23,17:12:39.360,Quaker Bot Long Strafes,LG,1s,101,20,0.198,100,505,0.198,false
24,17:12:40.202,Quaker Bot Long Strafes,LG,0.588s,60,20,0.333,100,300,0.333,false
25,17:12:41.163,Quaker Bot Long Strafes,LG,0.703s,71,20,0.282,100,355,0.282,false
26,17:12:41.821,Quaker Bot Long Strafes,LG,0.4s,41,20,0.488,100,205,0.488,false
27,17:12:42.718,Quaker Bot Long Strafes,LG,0.649s,66,20,0.303,100,330,0.303,false
28,17:12:43.310,Quaker Bot Long Strafes,LG,0.34s,35,20,0.571,100,175,0.571,false
29,17:12:43.788,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
30,17:12:44.423,Quaker Bot Long Strafes,LG,0.442s,45,20,0.444,100,225,0.444,false
31,17:12:45.040,Quaker Bot Long Strafes,LG,0.368s,38,20,0.526,100,190,0.526,false
32,17:12:45.782,Quaker Bot Long Strafes,LG,0.49s,50,20,0.4,100,250,0.4,false
33,17:12:46.852,Quaker Bot Long Strafes,LG,0.812s,82,20,0.244,100,410,0.244,false
34,17:12:47.517,Quaker Bot Long Strafes,LG,0.409s,42,20,0.476,100,210,0.476,false
35,17:12:48.340,Quaker Bot Long Strafes,LG,0.571s,58,20,0.345,100,290,0.345,false
36,17:12:49.399,Quaker Bot Long Strafes,LG,0.808s,82,20,0.244,100,410,0.244,false
37,17:12:50.064,Quaker Bot Long Strafes,LG,0.418s,43,20,0.465,100,215,0.465,false
38,17:12:50.750,Quaker Bot Long Strafes,LG,0.439s,45,20,0.444,100,225,0.444,false
39,17:12:51.586,Quaker Bot Long Strafes,LG,0.649s,66,20,0.303,100,330,0.303,false
40,17:13:37.923,Quaker Bot Long Strafes,LG,0.417s,43,20,0.465,100,215,0.465,false
41,17:13:39.033,Quaker Bot Long Strafes,LG,0.217s,23,20,0.87,100,115,0.87,false
42,17:13:40.082,Quaker Bot Long Strafes,LG,0.805s,75,20,0.267,100,375,0.267,false
43,17:13:40.645,Quaker Bot Long Strafes,LG,0.347s,36,20,0.556,100,180,0.556,false
44,17:13:41.272,Quaker Bot Long Strafes,LG,0.379s,39,20,0.513,100,195,0.513,false
45,17:13:42.213,Quaker Bot Long Strafes,LG,0.689s,70,20,0.286,100,350,0.286,false
46,17:13:42.973,Quaker Bot Long Strafes,LG,0.5s,51,20,0.392,100,255,0.392,false
47,17:13:43.651,Quaker Bot Long Strafes,LG,0.419s,43,20,0.465,100,215,0.465,false
48,17:13:44.412,Quaker Bot Long Strafes,LG,0.509s,52,20,0.385,100,260,0.385,false
49,17:13:44.863,Quaker Bot Long Strafes,LG,0.191s,20,20,1,100,100,1,false
50,17:13:45.583,Quaker Bot Long Strafes,LG,0.461s,47,20,0.426,100,235,0.426,false
51,17:13:47.191,Quaker Bot Long Strafes,LG,1.35s,136,32,0.235,160,680,0.235,false
52,17:13:47.824,Quaker Bot Long Strafes,LG,0.381s,39,8,0.205,40,195,0.205,false
53,17:13:49.230,Quaker Bot Long Strafes,LG,1.148s,116,36,0.31,180,580,0.31,false
54,17:13:49.790,Quaker Bot Long Strafes,LG,0.311s,32,20,0.625,100,160,0.625,false
55,17:13:50.803,Quaker Bot Long Strafes,LG,0.76s,77,20,0.26,100,385,0.26,false
