Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:00:59.290,Quaker Bot Long Strafes,LG,0.215s,23,20,0.87,100,115,0.87,false
2,01:00:59.967,Quaker Bot Long Strafes,LG,0.244s,26,20,0.769,100,130,0.769,false
3,01:01:00.507,Quaker Bot Long Strafes,LG,0.278s,29,20,0.69,100,145,0.69,false
4,01:01:01.098,Quaker Bot Long Strafes,LG,0.238s,25,20,0.8,100,125,0.8,false
5,01:01:01.718,Quaker Bot Long Strafes,LG,0.205s,22,20,0.909,100,110,0.909,false
6,01:01:02.342,Quaker Bot Long Strafes,LG,0.241s,25,20,0.8,100,125,0.8,false
7,01:01:02.868,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
8,01:01:04.142,Quaker Bot Long Strafes,LG,0.895s,59,35,0.593,175,295,0.593,false
9,01:01:04.753,Quaker Bot Long Strafes,LG,0.107s,12,5,0.417,25,60,0.417,false
10,01:01:05.614,Quaker Bot Long Strafes,LG,0.185s,20,20,1,100,100,1,false
11,01:01:06.694,Quaker Bot Long Strafes,LG,0.778s,49,38,0.776,190,245,0.776,false
12,01:01:07.271,Quaker Bot Long Strafes,LG,0.058s,7,2,0.286,10,35,0.286,false
13,01:01:07.760,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
14,01:01:08.529,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
15,01:01:09.228,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
16,01:01:10.117,Quaker Bot Long Strafes,LG,0.306s,32,20,0.625,100,160,0.625,false
17,01:01:10.629,Quaker Bot Long Strafes,LG,0.206s,22,20,0.909,100,110,0.909,false
18,01:01:11.276,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
19,01:01:11.848,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
20,01:01:12.811,Quaker Bot Long Strafes,LG,0.367s,38,20,0.526,100,190,0.526,false
21,01:01:13.522,Quaker Bot Long Strafes,LG,0.185s,20,20,1,100,100,1,false
22,01:01:14.619,Quaker Bot Long Strafes,LG,0.437s,45,20,0.444,100,225,0.444,false
23,01:01:15.034,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
24,01:01:15.552,Quaker Bot Long Strafes,LG,0.19s,20,20,1,100,100,1,false
25,01:01:16.136,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
26,01:01:16.831,Quaker Bot Long Strafes,LG,0.354s,37,20,0.541,100,185,0.541,false
27,01:01:17.472,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
28,01:01:18.089,Quaker Bot Long Strafes,LG,0.219s,23,20,0.87,100,115,0.87,false
29,01:01:18.847,Quaker Bot Long Strafes,LG,0.261s,27,20,0.741,100,135,0.741,false
30,01:01:19.725,Quaker Bot Long Strafes,LG,0.279s,29,20,0.69,100,145,0.69,false
31,01:01:20.391,Quaker Bot Long Strafes,LG,0.239s,25,20,0.8,100,125,0.8,false
32,01:01:21.248,Quaker Bot Long Strafes,LG,0.408s,42,20,0.476,100,210,0.476,false
33,01:01:22.316,Quaker Bot Long Strafes,LG,0.216s,23,20,0.87,100,115,0.87,false
34,01:01:24.189,Quaker Bot Long Strafes,LG,1.023s,82,39,0.476,195,410,0.476,false
35,01:01:24.799,Quaker Bot Long Strafes,LG,0.247s,26,20,0.769,100,130,0.769,false
36,01:01:25.031,Quaker Bot Long Strafes,LG,0.192s,20,20,1,100,100,1,false
37,01:01:25.948,Quaker Bot Long Strafes,LG,0.683s,20,1,0.05,5,100,0.05,false
38,01:01:26.440,Quaker Bot Long Strafes,LG,0.185s,20,20,1,100,100,1,false
39,01:01:27.582,Quaker Bot Long Strafes,LG,0.746s,76,23,0.303,115,380,0.303,false
40,01:01:28.503,Quaker Bot Long Strafes,LG,0.697s,56,32,0.571,160,280,0.571,false
41,01:01:28.869,Quaker Bot Long Strafes,LG,0.065s,8,8,1,40,40,1,false
42,01:01:29.416,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
43,01:01:29.857,Quaker Bot Long Strafes,LG,0.19s,20,20,1,100,100,1,false
44,01:01:30.547,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
45,01:01:31.276,Quaker Bot Long Strafes,LG,0.26s,27,20,0.741,100,135,0.741,false
46,01:01:31.859,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
47,01:01:32.417,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
48,01:01:33.354,Quaker Bot Long Strafes,LG,0.316s,33,17,0.515,85,165,0.515,false
49,01:01:34.059,Quaker Bot Long Strafes,LG,0.216s,23,23,1,115,115,1,false
50,01:01:34.402,Quaker Bot Long Strafes,LG,0.16s,17,17,1,85,85,1,false
