Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,01:55:33.267,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
2,01:55:33.816,Quaker Bot Long Strafes,LG,0.341s,35,20,0.571,100,175,0.571,false
3,01:55:34.520,Quaker Bot Long Strafes,LG,0.51s,52,20,0.385,100,260,0.385,false
4,01:55:34.908,Quaker Bot Long Strafes,LG,0.247s,26,20,0.769,100,130,0.769,false
5,01:55:35.338,Quaker Bot Long Strafes,LG,0.288s,30,20,0.667,100,150,0.667,false
6,01:55:35.708,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
7,01:55:36.167,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
8,01:55:37.156,Quaker Bot Long Strafes,LG,0.74s,75,35,0.467,175,375,0.467,false
9,01:55:37.609,Quaker Bot Long Strafes,LG,0.208s,22,5,0.227,25,110,0.227,false
10,01:55:38.079,Quaker Bot Long Strafes,LG,0.299s,31,20,0.645,100,155,0.645,false
11,01:55:38.765,Quaker Bot Long Strafes,LG,0.438s,45,20,0.444,100,225,0.444,false
12,01:55:39.273,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
13,01:55:40.156,Quaker Bot Long Strafes,LG,0.632s,64,20,0.312,100,320,0.312,false
14,01:55:40.837,Quaker Bot Long Strafes,LG,0.49s,50,20,0.4,100,250,0.4,false
15,01:55:41.228,Quaker Bot Long Strafes,LG,0.19s,20,20,1,100,100,1,false
16,01:55:41.607,Quaker Bot Long Strafes,LG,0.191s,20,20,1,100,100,1,false
17,01:55:42.184,Quaker Bot Long Strafes,LG,0.329s,34,20,0.588,100,170,0.588,false
18,01:55:42.765,Quaker Bot Long Strafes,LG,0.329s,34,20,0.588,100,170,0.588,false
19,01:55:43.519,Quaker Bot Long Strafes,LG,0.569s,58,20,0.345,100,290,0.345,false
20,01:55:43.988,Quaker Bot Long Strafes,LG,0.279s,29,20,0.69,100,145,0.69,false
21,01:55:44.788,Quaker Bot Long Strafes,LG,0.55s,56,20,0.357,100,280,0.357,false
22,01:55:45.588,Quaker Bot Long Strafes,LG,0.541s,55,20,0.364,100,275,0.364,false
23,01:55:46.189,Quaker Bot Long Strafes,LG,0.48s,49,20,0.408,100,245,0.408,false
24,01:55:46.696,Quaker Bot Long Strafes,LG,0.258s,27,20,0.741,100,135,0.741,false
25,01:55:47.270,Quaker Bot Long Strafes,LG,0.349s,36,20,0.556,100,180,0.556,false
26,01:55:47.717,Quaker Bot Long Strafes,LG,0.228s,24,20,0.833,100,120,0.833,false
27,01:55:48.629,Quaker Bot Long Strafes,LG,0.781s,79,31,0.392,155,395,0.392,false
28,01:55:49.098,Quaker Bot Long Strafes,LG,0.309s,32,9,0.281,45,160,0.281,false
29,01:55:49.534,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
30,01:55:50.139,Quaker Bot Long Strafes,LG,0.42s,43,20,0.465,100,215,0.465,false
31,01:55:50.498,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
32,01:55:50.939,Quaker Bot Long Strafes,LG,0.192s,20,20,1,100,100,1,false
33,01:55:51.445,Quaker Bot Long Strafes,LG,0.248s,26,20,0.769,100,130,0.769,false
34,01:55:52.157,Quaker Bot Long Strafes,LG,0.46s,47,20,0.426,100,235,0.426,false
35,01:55:52.687,Quaker Bot Long Strafes,LG,0.301s,31,20,0.645,100,155,0.645,false
36,01:55:53.127,Quaker Bot Long Strafes,LG,0.192s,20,20,1,100,100,1,false
37,01:55:53.798,Quaker Bot Long Strafes,LG,0.47s,48,20,0.417,100,240,0.417,false
38,01:55:54.197,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
39,01:55:55.338,Quaker Bot Long Strafes,LG,0.891s,90,20,0.222,100,450,0.222,false
40,01:55:56.178,Quaker Bot Long Strafes,LG,0.629s,64,20,0.312,100,320,0.312,false
41,01:55:56.749,Quaker Bot Long Strafes,LG,0.42s,43,20,0.465,100,215,0.465,false
42,01:55:57.089,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
43,01:55:57.525,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
44,01:55:58.298,Quaker Bot Long Strafes,LG,0.608s,62,39,0.629,195,310,0.629,false
45,01:55:58.385,Quaker Bot Long Strafes,LG,0.001s,1,1,1,5,5,1,false
46,01:55:59.268,Quaker Bot Long Strafes,LG,0.641s,65,20,0.308,100,325,0.308,false
47,01:55:59.825,Quaker Bot Long Strafes,LG,0.309s,32,20,0.625,100,160,0.625,false
48,01:56:00.315,Quaker Bot Long Strafes,LG,0.238s,25,20,0.8,100,125,0.8,false
49,01:56:01.108,Quaker Bot Long Strafes,LG,0.54s,55,20,0.364,100,275,0.364,false
50,01:56:01.749,Quaker Bot Long Strafes,LG,0.409s,42,20,0.476,100,210,0.476,false
51,01:56:02.408,Quaker Bot Long Strafes,LG,0.41s,42,20,0.476,100,210,0.476,false
52,01:56:03.059,Quaker Bot Long Strafes,LG,0.399s,41,20,0.488,100,205,0.488,false
53,01:56:03.857,Quaker Bot Long Strafes,LG,0.62s,63,36,0.571,180,315,0.571,false
54,01:56:03.927,Quaker Bot Long Strafes,LG,0.03s,4,4,1,20,20,1,false
55,01:56:04.765,Quaker Bot Long Strafes,LG,0.58s,59,20,0.339,100,295,0.339,false
56,01:56:05.428,Quaker Bot Long Strafes,LG,0.492s,50,20,0.4,100,250,0.4,false
57,01:56:05.867,Quaker Bot Long Strafes,LG,0.191s,20,20,1,100,100,1,false
58,01:56:06.726,Quaker Bot Long Strafes,LG,0.611s,62,20,0.323,100,310,0.323,false
59,01:56:07.166,Quaker Bot Long Strafes,LG,0.191s,20,20,1,100,100,1,false
60,01:56:07.686,Quaker Bot Long Strafes,LG,0.263s,27,20,0.741,100,135,0.741,false
