Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:30:35.046,XenOrb_bot,LG,0.18s,5,5,1,30,30,1,false
2,22:30:35.590,XenOrb_bot,LG,0.276s,7,5,0.714,30,42,0.714,false
3,22:30:36.661,XenOrb_bot,LG,0.987s,20,9,0.45,54,120,0.45,false
4,22:30:37.128,XenOrb_bot,LG,0.181s,5,1,0.2,6,30,0.2,false
5,22:30:37.591,XenOrb_bot,LG,0.319s,8,5,0.625,30,48,0.625,false
6,22:30:38.400,XenOrb_bot,LG,0.413s,10,5,0.5,30,60,0.5,false
7,22:30:38.810,XenOrb_bot,LG,0.181s,5,5,1,30,30,1,false
8,22:30:39.374,XenOrb_bot,LG,0.366s,9,5,0.556,30,54,0.556,false
9,22:30:40.157,XenOrb_bot,LG,0.597s,14,5,0.357,30,84,0.357,false
10,22:30:41.224,XenOrb_bot,LG,0.8s,17,9,0.529,54,102,0.529,false
11,22:30:41.735,XenOrb_bot,LG,0.228s,6,1,0.167,6,36,0.167,false
12,22:30:42.910,XenOrb_bot,LG,1.027s,20,8,0.4,48,120,0.4,false
13,22:30:43.415,XenOrb_bot,LG,0.228s,6,2,0.333,12,36,0.333,false
14,22:30:44.006,XenOrb_bot,LG,0.389s,9,5,0.556,30,54,0.556,false
15,22:30:44.806,XenOrb_bot,LG,0.181s,5,5,1,30,30,1,false
16,22:30:45.340,XenOrb_bot,LG,0.318s,8,5,0.625,30,48,0.625,false
17,22:30:45.975,XenOrb_bot,LG,0.473s,11,5,0.455,30,66,0.455,false
18,22:30:46.701,XenOrb_bot,LG,0.365s,9,5,0.556,30,54,0.556,false
19,22:30:47.298,XenOrb_bot,LG,0.365s,9,5,0.556,30,54,0.556,false
20,22:30:47.904,XenOrb_bot,LG,0.365s,9,5,0.556,30,54,0.556,false
21,22:30:48.522,XenOrb_bot,LG,0.459s,11,5,0.455,30,66,0.455,false
22,22:30:49.761,XenOrb_bot,LG,1.151s,24,8,0.333,48,144,0.333,false
23,22:30:50.218,XenOrb_bot,LG,0.318s,8,5,0.625,30,48,0.625,false
24,22:30:50.725,XenOrb_bot,LG,0.275s,7,5,0.714,30,42,0.714,false
25,22:30:51.220,XenOrb_bot,LG,0.181s,5,5,1,30,30,1,false
26,22:30:52.106,XenOrb_bot,LG,0.276s,7,2,0.286,12,42,0.286,false
27,22:30:53.219,XenOrb_bot,LG,0.904s,14,9,0.643,54,84,0.643,false
28,22:30:53.783,XenOrb_bot,LG,0.365s,9,5,0.556,30,54,0.556,false
29,22:30:54.559,XenOrb_bot,LG,0.227s,6,5,0.833,30,36,0.833,false
30,22:30:55.130,XenOrb_bot,LG,0.366s,9,5,0.556,30,54,0.556,false
31,22:30:56.088,XenOrb_bot,LG,0.779s,17,7,0.412,42,102,0.412,false
32,22:30:56.531,XenOrb_bot,LG,0.181s,5,3,0.6,18,30,0.6,false
33,22:30:57.156,XenOrb_bot,LG,0.182s,5,5,1,30,30,1,false
34,22:30:57.974,XenOrb_bot,LG,0.459s,11,5,0.455,30,66,0.455,false
