Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:20:34:117,target,pistol,0.001s,1,1,1,25,50,0.5,false
2,21:20:34:842,target,pistol,0s,1,1,1,25,50,0.5,false
3,21:20:35:487,target,pistol,0s,1,1,1,25,50,0.5,false
4,21:20:36:142,target,pistol,0s,1,1,1,25,50,0.5,false
5,21:20:37:547,target,pistol,0.82s,2,1,0.5,25,100,0.25,false
6,21:20:38:211,target,pistol,0s,1,1,1,25,50,0.5,false
7,21:20:38:877,target,pistol,0s,1,1,1,25,50,0.5,false
8,21:20:39:517,target,pistol,0s,1,1,1,25,50,0.5,false
9,21:20:40:272,target,pistol,0.001s,1,1,1,25,50,0.5,false
10,21:20:41:037,target,pistol,0s,1,1,1,25,50,0.5,false
11,21:20:41:733,target,pistol,0s,1,1,1,25,50,0.5,false
12,21:20:43:223,target,pistol,0.846s,2,1,0.5,25,100,0.25,false
13,21:20:43:848,target,pistol,0s,1,1,1,25,50,0.5,false
14,21:20:44:503,target,pistol,0.001s,1,1,1,25,50,0.5,false
15,21:20:45:173,target,pistol,0s,1,1,1,25,50,0.5,false
16,21:20:46:388,target,pistol,0s,1,1,1,25,50,0.5,false
17,21:20:47:109,target,pistol,0.001s,1,1,1,25,50,0.5,false
18,21:20:49:053,target,pistol,1.16s,3,1,0.333,25,150,0.167,false
19,21:20:50:413,target,pistol,0.83s,2,1,0.5,25,100,0.25,false
20,21:20:51:093,target,pistol,0s,1,1,1,25,50,0.5,false
21,21:20:51:928,target,pistol,0s,1,1,1,25,50,0.5,false
22,21:20:52:494,target,pistol,0.001s,1,1,1,25,50,0.5,false
23,21:20:53:069,target,pistol,0s,1,1,1,25,50,0.5,false
24,21:20:53:868,target,pistol,0s,1,1,1,25,50,0.5,false
25,21:20:54:449,target,pistol,0s,1,1,1,25,50,0.5,false
26,21:20:55:139,target,pistol,0s,1,1,1,25,50,0.5,false
27,21:20:55:969,target,pistol,0s,1,1,1,25,50,0.5,false
28,21:20:56:433,target,pistol,0s,1,1,1,25,50,0.5,false
29,21:20:56:999,target,pistol,0s,1,1,1,25,50,0.5,false
30,21:20:59:299,target,pistol,1.68s,4,1,0.25,25,200,0.125,false
31,21:20:59:924,target,pistol,0s,1,1,1,25,50,0.5,false
32,21:21:01:174,target,pistol,0.595s,2,1,0.5,25,100,0.25,false
33,21:21:01:804,target,pistol,0.001s,1,1,1,25,50,0.5,false
34,21:21:02:609,target,pistol,0s,1,1,1,25,50,0.5,false
35,21:21:04:145,target,pistol,0.771s,2,1,0.5,25,100,0.25,false
36,21:21:04:910,target,pistol,0s,1,1,1,25,50,0.5,false
37,21:21:05:456,target,pistol,0s,1,1,1,25,50,0.5,false
38,21:21:06:304,target,pistol,0s,1,1,1,25,50,0.5,false
39,21:21:06:920,target,pistol,0s,1,1,1,25,50,0.5,false
40,21:21:07:550,target,pistol,0s,1,1,1,25,50,0.5,false
41,21:21:08:865,target,pistol,0.67s,2,1,0.5,25,100,0.25,false
42,21:21:09:470,target,pistol,0s,1,1,1,25,50,0.5,false
43,21:21:10:100,target,pistol,0s,1,1,1,25,50,0.5,false
44,21:21:10:690,target,pistol,0s,1,1,1,25,50,0.5,false
