Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:46:21:148,target,BB Gun,0s,1,1,1,1,1,1,false
2,15:46:21:613,target,BB Gun,0s,1,1,1,1,1,1,false
3,15:46:22:097,target,BB Gun,0s,1,1,1,1,1,1,false
4,15:46:22:558,target,BB Gun,0s,1,1,1,1,1,1,false
5,15:46:23:559,target,BB Gun,0.501s,2,1,0.5,1,2,0.5,false
6,15:46:24:594,target,BB Gun,0.55s,2,1,0.5,1,2,0.5,false
7,15:46:25:094,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,15:46:25:494,target,BB Gun,0s,1,1,1,1,1,1,false
9,15:46:26:569,target,BB Gun,0.549s,2,1,0.5,1,2,0.5,false
10,15:46:27:174,target,BB Gun,0s,1,1,1,1,1,1,false
11,15:46:27:745,target,BB Gun,0s,1,1,1,1,1,1,false
12,15:46:28:149,target,BB Gun,0s,1,1,1,1,1,1,false
13,15:46:28:620,target,BB Gun,0s,1,1,1,1,1,1,false
14,15:46:29:249,target,BB Gun,0s,1,1,1,1,1,1,false
15,15:46:29:889,target,BB Gun,0s,1,1,1,1,1,1,false
16,15:46:30:400,target,BB Gun,0s,1,1,1,1,1,1,false
17,15:46:30:840,target,BB Gun,0s,1,1,1,1,1,1,false
18,15:46:31:295,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,15:46:31:740,target,BB Gun,0s,1,1,1,1,1,1,false
20,15:46:32:349,target,BB Gun,0s,1,1,1,1,1,1,false
21,15:46:32:950,target,BB Gun,0s,1,1,1,1,1,1,false
22,15:46:33:596,target,BB Gun,0.001s,1,1,1,1,1,1,false
23,15:46:34:096,target,BB Gun,0s,1,1,1,1,1,1,false
24,15:46:34:707,target,BB Gun,0.001s,1,1,1,1,1,1,false
25,15:46:35:282,target,BB Gun,0.001s,1,1,1,1,1,1,false
26,15:46:35:802,target,BB Gun,0s,1,1,1,1,1,1,false
27,15:46:36:922,target,BB Gun,0s,1,1,1,1,1,1,false
28,15:46:38:113,target,BB Gun,0s,1,1,1,1,1,1,false
29,15:46:38:624,target,BB Gun,0.001s,1,1,1,1,1,1,false
30,15:46:39:088,target,BB Gun,0s,1,1,1,1,1,1,false
31,15:46:39:803,target,BB Gun,0s,1,1,1,1,1,1,false
32,15:46:40:298,target,BB Gun,0s,1,1,1,1,1,1,false
33,15:46:40:694,target,BB Gun,0s,1,1,1,1,1,1,false
34,15:46:41:165,target,BB Gun,0s,1,1,1,1,1,1,false
35,15:46:41:638,target,BB Gun,0s,1,1,1,1,1,1,false
36,15:46:42:844,target,BB Gun,0.725s,2,1,0.5,1,2,0.5,false
37,15:46:43:323,target,BB Gun,0s,1,1,1,1,1,1,false
38,15:46:44:129,target,BB Gun,0.33s,2,1,0.5,1,2,0.5,false
39,15:46:44:739,target,BB Gun,0s,1,1,1,1,1,1,false
40,15:46:45:290,target,BB Gun,0.001s,1,1,1,1,1,1,false
41,15:46:45:769,target,BB Gun,0s,1,1,1,1,1,1,false
42,15:46:46:289,target,BB Gun,0s,1,1,1,1,1,1,false
43,15:46:46:931,target,BB Gun,0s,1,1,1,1,1,1,false
44,15:46:47:487,target,BB Gun,0s,1,1,1,1,1,1,false
45,15:46:47:982,target,BB Gun,0s,1,1,1,1,1,1,false
46,15:46:48:392,target,BB Gun,0s,1,1,1,1,1,1,false
47,15:46:48:858,target,BB Gun,0s,1,1,1,1,1,1,false
48,15:46:49:383,target,BB Gun,0s,1,1,1,1,1,1,false
49,15:46:50:487,target,BB Gun,0.584s,2,1,0.5,1,2,0.5,false
50,15:46:51:008,target,BB Gun,0s,1,1,1,1,1,1,false
51,15:46:51:583,target,BB Gun,0s,1,1,1,1,1,1,false
52,15:46:52:038,target,BB Gun,0s,1,1,1,1,1,1,false
53,15:46:52:573,target,BB Gun,0s,1,1,1,1,1,1,false
54,15:46:53:018,target,BB Gun,0s,1,1,1,1,1,1,false
55,15:46:53:488,target,BB Gun,0s,1,1,1,1,1,1,false
56,15:46:53:858,target,BB Gun,0s,1,1,1,1,1,1,false
57,15:46:54:413,target,BB Gun,0s,1,1,1,1,1,1,false
58,15:46:55:013,target,BB Gun,0.001s,1,1,1,1,1,1,false
59,15:46:56:018,target,BB Gun,0.555s,2,1,0.5,1,2,0.5,false
60,15:46:56:509,target,BB Gun,0s,1,1,1,1,1,1,false
61,15:46:56:964,target,BB Gun,0s,1,1,1,1,1,1,false
62,15:46:57:408,target,BB Gun,0s,1,1,1,1,1,1,false
63,15:46:57:919,target,BB Gun,0s,1,1,1,1,1,1,false
64,15:46:58:344,target,BB Gun,0s,1,1,1,1,1,1,false
65,15:46:58:839,target,BB Gun,0s,1,1,1,1,1,1,false
