Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:22:47:680,target,pistol,0s,1,1,1,25,50,0.5,false
2,23:22:48:062,target,pistol,0s,1,1,1,25,50,0.5,false
3,23:22:48:320,target,pistol,0s,1,1,1,25,50,0.5,false
4,23:22:48:794,target,pistol,0.214s,2,1,0.5,25,100,0.25,false
5,23:22:49:014,target,pistol,0s,1,1,1,25,50,0.5,false
6,23:22:49:749,target,pistol,0.343s,2,1,0.5,25,100,0.25,false
7,23:22:50:260,target,pistol,0s,1,1,1,25,50,0.5,false
8,23:22:50:626,target,pistol,0s,1,1,1,25,50,0.5,false
9,23:22:50:984,target,pistol,0s,1,1,1,25,50,0.5,false
10,23:22:51:404,target,pistol,0s,1,1,1,25,50,0.5,false
11,23:22:51:660,target,pistol,0s,1,1,1,25,50,0.5,false
12,23:22:51:949,target,pistol,0s,1,1,1,25,50,0.5,false
13,23:22:52:204,target,pistol,0s,1,1,1,25,50,0.5,false
14,23:22:52:567,target,pistol,0s,1,1,1,25,50,0.5,false
15,23:22:52:808,target,pistol,0s,1,1,1,25,50,0.5,false
16,23:22:53:178,target,pistol,0s,1,1,1,25,50,0.5,false
17,23:22:53:518,target,pistol,0s,1,1,1,25,50,0.5,false
18,23:22:54:202,target,pistol,0.23s,2,1,0.5,25,100,0.25,false
19,23:22:54:546,target,pistol,0s,1,1,1,25,50,0.5,false
20,23:22:54:856,target,pistol,0.001s,1,1,1,25,50,0.5,false
21,23:22:55:278,target,pistol,0s,1,1,1,25,50,0.5,false
22,23:22:55:611,target,pistol,0s,1,1,1,25,50,0.5,false
23,23:22:56:366,target,pistol,0.394s,2,1,0.5,25,100,0.25,false
24,23:22:56:686,target,pistol,0s,1,1,1,25,50,0.5,false
25,23:22:56:981,target,pistol,0.001s,1,1,1,25,50,0.5,false
26,23:22:57:308,target,pistol,0s,1,1,1,25,50,0.5,false
27,23:22:57:618,target,pistol,0s,1,1,1,25,50,0.5,false
28,23:22:57:916,target,pistol,0s,1,1,1,25,50,0.5,false
29,23:22:58:267,target,pistol,0s,1,1,1,25,50,0.5,false
30,23:22:58:602,target,pistol,0s,1,1,1,25,50,0.5,false
31,23:22:58:938,target,pistol,0s,1,1,1,25,50,0.5,false
32,23:22:59:279,target,pistol,0.001s,1,1,1,25,50,0.5,false
33,23:22:59:642,target,pistol,0.23s,2,1,0.5,25,100,0.25,false
34,23:23:00:207,target,pistol,0.209s,2,1,0.5,25,100,0.25,false
35,23:23:00:533,target,pistol,0s,1,1,1,25,50,0.5,false
36,23:23:00:834,target,pistol,0s,1,1,1,25,50,0.5,false
37,23:23:01:182,target,pistol,0s,1,1,1,25,50,0.5,false
38,23:23:01:591,target,pistol,0s,1,1,1,25,50,0.5,false
39,23:23:02:261,target,pistol,0s,1,1,1,25,50,0.5,false
40,23:23:02:541,target,pistol,0s,1,1,1,25,50,0.5,false
41,23:23:02:816,target,pistol,0s,1,1,1,25,50,0.5,false
42,23:23:03:190,target,pistol,0s,1,1,1,25,50,0.5,false
43,23:23:03:514,target,pistol,0s,1,1,1,25,50,0.5,false
44,23:23:03:819,target,pistol,0s,1,1,1,25,50,0.5,false
45,23:23:04:566,target,pistol,0s,1,1,1,25,50,0.5,false
46,23:23:04:857,target,pistol,0s,1,1,1,25,50,0.5,false
47,23:23:05:304,target,pistol,0s,1,1,1,25,50,0.5,false
48,23:23:05:585,target,pistol,0s,1,1,1,25,50,0.5,false
49,23:23:05:895,target,pistol,0s,1,1,1,25,50,0.5,false
50,23:23:06:322,target,pistol,0s,1,1,1,25,50,0.5,false
