Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:58:34:849,test,pistol,0.321s,2,1,0.5,1000,4000,0.25,false
2,08:58:35:392,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
3,08:58:39:279,test,pistol,2.848s,5,1,0.2,1000,10000,0.1,false
4,08:58:39:786,test,pistol,0s,1,1,1,1000,2000,0.5,false
5,08:58:40:987,test,pistol,0.529s,2,1,0.5,1000,4000,0.25,false
6,08:58:41:431,test,pistol,0s,1,1,1,1000,2000,0.5,false
7,08:58:41:849,test,pistol,0s,1,1,1,1000,2000,0.5,false
8,08:58:42:446,test,pistol,0s,1,1,1,1000,2000,0.5,false
9,08:58:42:984,test,pistol,0s,1,1,1,1000,2000,0.5,false
10,08:58:43:832,test,pistol,0s,1,1,1,1000,2000,0.5,false
11,08:58:44:456,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
12,08:58:45:076,test,pistol,0s,1,1,1,1000,2000,0.5,false
13,08:58:46:443,test,pistol,0.389s,2,1,0.5,1000,4000,0.25,false
14,08:58:46:954,test,pistol,0s,1,1,1,1000,2000,0.5,false
15,08:58:47:418,test,pistol,0s,1,1,1,1000,2000,0.5,false
16,08:58:48:690,test,pistol,0.698s,2,1,0.5,1000,4000,0.25,false
17,08:58:49:913,test,pistol,0.765s,2,1,0.5,1000,4000,0.25,false
18,08:58:50:426,test,pistol,0s,1,1,1,1000,2000,0.5,false
19,08:58:51:127,test,pistol,0s,1,1,1,1000,2000,0.5,false
20,08:58:51:786,test,pistol,0s,1,1,1,1000,2000,0.5,false
21,08:58:52:255,test,pistol,0s,1,1,1,1000,2000,0.5,false
22,08:58:52:708,test,pistol,0s,1,1,1,1000,2000,0.5,false
23,08:58:53:890,test,pistol,0.741s,2,1,0.5,1000,4000,0.25,false
24,08:58:54:518,test,pistol,0s,1,1,1,1000,2000,0.5,false
25,08:58:55:066,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
26,08:58:55:890,test,pistol,0.355s,2,1,0.5,1000,4000,0.25,false
27,08:58:56:426,test,pistol,0s,1,1,1,1000,2000,0.5,false
28,08:58:57:022,test,pistol,0s,1,1,1,1000,2000,0.5,false
29,08:58:57:552,test,pistol,0s,1,1,1,1000,2000,0.5,false
30,08:59:01:045,test,pistol,2.791s,4,1,0.25,1000,8000,0.125,false
31,08:59:01:880,test,pistol,0.301s,2,1,0.5,1000,4000,0.25,false
32,08:59:03:711,test,pistol,0.965s,3,1,0.333,1000,6000,0.167,false
33,08:59:04:703,test,pistol,0s,1,1,1,1000,2000,0.5,false
34,08:59:06:073,test,pistol,0.519s,2,1,0.5,1000,4000,0.25,false
35,08:59:06:520,test,pistol,0s,1,1,1,1000,2000,0.5,false
36,08:59:07:251,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
37,08:59:08:155,test,pistol,0.403s,2,1,0.5,1000,4000,0.25,false
38,08:59:09:152,test,pistol,0s,1,1,1,1000,2000,0.5,false
39,08:59:10:141,test,pistol,0.378s,2,1,0.5,1000,4000,0.25,false
40,08:59:11:590,test,pistol,0.953s,3,1,0.333,1000,6000,0.167,false
41,08:59:12:129,test,pistol,0s,1,1,1,1000,2000,0.5,false
42,08:59:13:072,test,pistol,0.25s,2,1,0.5,1000,4000,0.25,false
43,08:59:13:525,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
44,08:59:14:136,test,pistol,0s,1,1,1,1000,2000,0.5,false
45,08:59:16:270,test,pistol,1.136s,3,1,0.333,1000,6000,0.167,false
46,08:59:16:824,test,pistol,0.001s,1,1,1,1000,2000,0.5,false
47,08:59:17:875,test,pistol,0.493s,2,1,0.5,1000,4000,0.25,false
48,08:59:19:435,test,pistol,0.78s,3,1,0.333,1000,6000,0.167,false
49,08:59:20:869,test,pistol,0.698s,2,1,0.5,1000,4000,0.25,false
50,08:59:21:442,test,pistol,0s,1,1,1,1000,2000,0.5,false
51,08:59:22:108,test,pistol,0s,1,1,1,1000,2000,0.5,false
52,08:59:22:703,test,pistol,0s,1,1,1,1000,2000,0.5,false
53,08:59:23:425,test,pistol,0s,1,1,1,1000,2000,0.5,false
54,08:59:24:084,test,pistol,0s,1,1,1,1000,2000,0.5,false
55,08:59:25:571,test,pistol,0.996s,3,1,0.333,1000,6000,0.167,false
56,08:59:26:217,test,pistol,0s,1,1,1,1000,2000,0.5,false
57,08:59:27:172,test,pistol,0.349s,2,1,0.5,1000,4000,0.25,false
58,08:59:28:492,test,pistol,0.283s,2,1,0.5,1000,4000,0.25,false
59,08:59:28:998,test,pistol,0s,1,1,1,1000,2000,0.5,false
60,08:59:29:799,test,pistol,0s,1,1,1,1000,2000,0.5,false
61,08:59:30:308,test,pistol,0s,1,1,1,1000,2000,0.5,false
62,08:59:30:915,test,pistol,0s,1,1,1,1000,2000,0.5,false
63,08:59:32:310,test,pistol,0.354s,2,1,0.5,1000,4000,0.25,false
64,08:59:32:944,test,pistol,0s,1,1,1,1000,2000,0.5,false
65,08:59:33:492,test,pistol,0s,1,1,1,1000,2000,0.5,false
66,08:59:34:088,test,pistol,0s,1,1,1,1000,2000,0.5,false
67,08:59:34:931,test,pistol,0.35s,2,1,0.5,1000,4000,0.25,false
68,08:59:36:557,test,pistol,0.914s,3,1,0.333,1000,6000,0.167,false
69,08:59:37:384,test,pistol,0s,1,1,1,1000,2000,0.5,false
70,08:59:37:900,test,pistol,0s,1,1,1,1000,2000,0.5,false
