Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,13:34:41:358,target,BB Gun,0s,1,1,1,1,1,1,false
2,13:34:41:760,target,BB Gun,0s,1,1,1,1,1,1,false
3,13:34:42:131,target,BB Gun,0s,1,1,1,1,1,1,false
4,13:34:42:666,target,BB Gun,0s,1,1,1,1,1,1,false
5,13:34:43:044,target,BB Gun,0s,1,1,1,1,1,1,false
6,13:34:43:386,target,BB Gun,0s,1,1,1,1,1,1,false
7,13:34:43:777,target,BB Gun,0s,1,1,1,1,1,1,false
8,13:34:44:274,target,BB Gun,0s,1,1,1,1,1,1,false
9,13:34:44:628,target,BB Gun,0s,1,1,1,1,1,1,false
10,13:34:44:962,target,BB Gun,0s,1,1,1,1,1,1,false
11,13:34:45:412,target,BB Gun,0s,1,1,1,1,1,1,false
12,13:34:45:767,target,BB Gun,0s,1,1,1,1,1,1,false
13,13:34:46:387,target,BB Gun,0s,1,1,1,1,1,1,false
14,13:34:46:769,target,BB Gun,0s,1,1,1,1,1,1,false
15,13:34:47:106,target,BB Gun,0s,1,1,1,1,1,1,false
16,13:34:47:508,target,BB Gun,0s,1,1,1,1,1,1,false
17,13:34:48:014,target,BB Gun,0s,1,1,1,1,1,1,false
18,13:34:48:426,target,BB Gun,0s,1,1,1,1,1,1,false
19,13:34:48:756,target,BB Gun,0s,1,1,1,1,1,1,false
20,13:34:49:196,target,BB Gun,0s,1,1,1,1,1,1,false
21,13:34:49:810,target,BB Gun,0s,1,1,1,1,1,1,false
22,13:34:50:462,target,BB Gun,0s,1,1,1,1,1,1,false
23,13:34:50:842,target,BB Gun,0s,1,1,1,1,1,1,false
24,13:34:51:330,target,BB Gun,0s,1,1,1,1,1,1,false
25,13:34:51:596,target,BB Gun,0s,1,1,1,1,1,1,false
26,13:34:51:920,target,BB Gun,0s,1,1,1,1,1,1,false
27,13:34:52:503,target,BB Gun,0s,1,1,1,1,1,1,false
28,13:34:52:972,target,BB Gun,0s,1,1,1,1,1,1,false
29,13:34:53:327,target,BB Gun,0s,1,1,1,1,1,1,false
30,13:34:53:729,target,BB Gun,0s,1,1,1,1,1,1,false
31,13:34:54:063,target,BB Gun,0s,1,1,1,1,1,1,false
32,13:34:54:372,target,BB Gun,0s,1,1,1,1,1,1,false
33,13:34:54:813,target,BB Gun,0s,1,1,1,1,1,1,false
34,13:34:55:156,target,BB Gun,0s,1,1,1,1,1,1,false
35,13:34:55:523,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,13:34:55:872,target,BB Gun,0s,1,1,1,1,1,1,false
37,13:34:56:234,target,BB Gun,0s,1,1,1,1,1,1,false
38,13:34:56:702,target,BB Gun,0.001s,1,1,1,1,1,1,false
39,13:34:57:263,target,BB Gun,0s,1,1,1,1,1,1,false
40,13:34:57:700,target,BB Gun,0s,1,1,1,1,1,1,false
41,13:34:58:220,target,BB Gun,0s,1,1,1,1,1,1,false
42,13:34:58:702,target,BB Gun,0s,1,1,1,1,1,1,false
43,13:34:59:095,target,BB Gun,0s,1,1,1,1,1,1,false
44,13:34:59:560,target,BB Gun,0s,1,1,1,1,1,1,false
45,13:34:59:987,target,BB Gun,0s,1,1,1,1,1,1,false
46,13:35:00:391,target,BB Gun,0s,1,1,1,1,1,1,false
47,13:35:00:820,target,BB Gun,0s,1,1,1,1,1,1,false
48,13:35:01:243,target,BB Gun,0s,1,1,1,1,1,1,false
49,13:35:01:738,target,BB Gun,0.001s,1,1,1,1,1,1,false
50,13:35:02:091,target,BB Gun,0s,1,1,1,1,1,1,false
51,13:35:02:608,target,BB Gun,0s,1,1,1,1,1,1,false
52,13:35:03:035,target,BB Gun,0s,1,1,1,1,1,1,false
53,13:35:03:515,target,BB Gun,0.001s,1,1,1,1,1,1,false
54,13:35:04:060,target,BB Gun,0s,1,1,1,1,1,1,false
55,13:35:04:473,target,BB Gun,0s,1,1,1,1,1,1,false
56,13:35:04:883,target,BB Gun,0s,1,1,1,1,1,1,false
57,13:35:05:347,target,BB Gun,0s,1,1,1,1,1,1,false
58,13:35:05:734,target,BB Gun,0s,1,1,1,1,1,1,false
59,13:35:06:115,target,BB Gun,0s,1,1,1,1,1,1,false
60,13:35:06:481,target,BB Gun,0.001s,1,1,1,1,1,1,false
61,13:35:06:918,target,BB Gun,0s,1,1,1,1,1,1,false
62,13:35:07:540,target,BB Gun,0s,1,1,1,1,1,1,false
63,13:35:07:898,target,BB Gun,0s,1,1,1,1,1,1,false
64,13:35:08:226,target,BB Gun,0s,1,1,1,1,1,1,false
65,13:35:08:577,target,BB Gun,0s,1,1,1,1,1,1,false
66,13:35:08:959,target,BB Gun,0.001s,1,1,1,1,1,1,false
67,13:35:09:341,target,BB Gun,0s,1,1,1,1,1,1,false
68,13:35:09:694,target,BB Gun,0s,1,1,1,1,1,1,false
69,13:35:10:134,target,BB Gun,0s,1,1,1,1,1,1,false
70,13:35:10:543,target,BB Gun,0s,1,1,1,1,1,1,false
71,13:35:10:892,target,BB Gun,0.001s,1,1,1,1,1,1,false
72,13:35:11:550,target,BB Gun,0.265s,2,1,0.5,1,2,0.5,false
73,13:35:11:934,target,BB Gun,0.001s,1,1,1,1,1,1,false
74,13:35:12:396,target,BB Gun,0s,1,1,1,1,1,1,false
75,13:35:12:757,target,BB Gun,0s,1,1,1,1,1,1,false
76,13:35:13:137,target,BB Gun,0s,1,1,1,1,1,1,false
77,13:35:13:533,target,BB Gun,0s,1,1,1,1,1,1,false
78,13:35:13:923,target,BB Gun,0s,1,1,1,1,1,1,false
79,13:35:14:390,target,BB Gun,0s,1,1,1,1,1,1,false
80,13:35:14:747,target,BB Gun,0s,1,1,1,1,1,1,false
81,13:35:15:179,target,BB Gun,0s,1,1,1,1,1,1,false
82,13:35:15:549,target,BB Gun,0s,1,1,1,1,1,1,false
83,13:35:15:904,target,BB Gun,0s,1,1,1,1,1,1,false
84,13:35:16:303,target,BB Gun,0s,1,1,1,1,1,1,false
85,13:35:16:679,target,BB Gun,0s,1,1,1,1,1,1,false
86,13:35:17:038,target,BB Gun,0s,1,1,1,1,1,1,false
87,13:35:17:412,target,BB Gun,0s,1,1,1,1,1,1,false
88,13:35:18:143,target,BB Gun,0s,1,1,1,1,1,1,false
89,13:35:18:496,target,BB Gun,0s,1,1,1,1,1,1,false
90,13:35:18:875,target,BB Gun,0s,1,1,1,1,1,1,false
91,13:35:19:449,target,BB Gun,0s,1,1,1,1,1,1,false
92,13:35:19:852,target,BB Gun,0s,1,1,1,1,1,1,false
93,13:35:20:182,target,BB Gun,0s,1,1,1,1,1,1,false
94,13:35:20:496,target,BB Gun,0.001s,1,1,1,1,1,1,false
95,13:35:20:885,target,BB Gun,0s,1,1,1,1,1,1,false
96,13:35:21:253,target,BB Gun,0s,1,1,1,1,1,1,false
97,13:35:21:637,target,BB Gun,0s,1,1,1,1,1,1,false
98,13:35:22:018,target,BB Gun,0.001s,1,1,1,1,1,1,false
99,13:35:22:349,target,BB Gun,0.001s,1,1,1,1,1,1,false
100,13:35:22:661,target,BB Gun,0s,1,1,1,1,1,1,false
101,13:35:22:996,target,BB Gun,0s,1,1,1,1,1,1,false
