Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,06:44:03:856,target,pistol,0s,1,1,1,25,50,0.5,false
2,06:44:04:048,target,pistol,0s,1,1,1,25,50,0.5,false
3,06:44:04:331,target,pistol,0.001s,1,1,1,25,50,0.5,false
4,06:44:04:808,target,pistol,0.212s,2,1,0.5,25,100,0.25,false
5,06:44:05:036,target,pistol,0.001s,1,1,1,25,50,0.5,false
6,06:44:05:282,target,pistol,0s,1,1,1,25,50,0.5,false
7,06:44:05:484,target,pistol,0s,1,1,1,25,50,0.5,false
8,06:44:05:741,target,pistol,0s,1,1,1,25,50,0.5,false
9,06:44:05:971,target,pistol,0.001s,1,1,1,25,50,0.5,false
10,06:44:06:420,target,pistol,0.001s,1,1,1,25,50,0.5,false
11,06:44:06:640,target,pistol,0s,1,1,1,25,50,0.5,false
12,06:44:06:902,target,pistol,0s,1,1,1,25,50,0.5,false
13,06:44:07:151,target,pistol,0.001s,1,1,1,25,50,0.5,false
14,06:44:07:395,target,pistol,0s,1,1,1,25,50,0.5,false
15,06:44:07:601,target,pistol,0s,1,1,1,25,50,0.5,false
16,06:44:07:851,target,pistol,0s,1,1,1,25,50,0.5,false
17,06:44:08:049,target,pistol,0s,1,1,1,25,50,0.5,false
18,06:44:08:561,target,pistol,0s,1,1,1,25,50,0.5,false
19,06:44:08:891,target,pistol,0s,1,1,1,25,50,0.5,false
20,06:44:09:098,target,pistol,0s,1,1,1,25,50,0.5,false
21,06:44:09:287,target,pistol,0s,1,1,1,25,50,0.5,false
22,06:44:09:530,target,pistol,0s,1,1,1,25,50,0.5,false
23,06:44:09:772,target,pistol,0s,1,1,1,25,50,0.5,false
24,06:44:09:967,target,pistol,0s,1,1,1,25,50,0.5,false
25,06:44:10:205,target,pistol,0s,1,1,1,25,50,0.5,false
26,06:44:10:397,target,pistol,0s,1,1,1,25,50,0.5,false
27,06:44:10:634,target,pistol,0s,1,1,1,25,50,0.5,false
28,06:44:10:836,target,pistol,0s,1,1,1,25,50,0.5,false
29,06:44:11:034,target,pistol,0s,1,1,1,25,50,0.5,false
30,06:44:11:269,target,pistol,0s,1,1,1,25,50,0.5,false
31,06:44:11:482,target,pistol,0s,1,1,1,25,50,0.5,false
32,06:44:11:699,target,pistol,0s,1,1,1,25,50,0.5,false
33,06:44:12:212,target,pistol,0.289s,2,1,0.5,25,100,0.25,false
34,06:44:12:383,target,pistol,0s,1,1,1,25,50,0.5,false
35,06:44:12:616,target,pistol,0s,1,1,1,25,50,0.5,false
36,06:44:12:826,target,pistol,0s,1,1,1,25,50,0.5,false
37,06:44:13:291,target,pistol,0.211s,2,1,0.5,25,100,0.25,false
38,06:44:13:524,target,pistol,0s,1,1,1,25,50,0.5,false
39,06:44:13:740,target,pistol,0s,1,1,1,25,50,0.5,false
40,06:44:13:970,target,pistol,0s,1,1,1,25,50,0.5,false
41,06:44:14:203,target,pistol,0s,1,1,1,25,50,0.5,false
42,06:44:14:486,target,pistol,0.001s,1,1,1,25,50,0.5,false
43,06:44:14:861,target,pistol,0s,1,1,1,25,50,0.5,false
44,06:44:15:050,target,pistol,0s,1,1,1,25,50,0.5,false
45,06:44:15:273,target,pistol,0s,1,1,1,25,50,0.5,false
46,06:44:15:526,target,pistol,0s,1,1,1,25,50,0.5,false
47,06:44:15:767,target,pistol,0s,1,1,1,25,50,0.5,false
48,06:44:15:969,target,pistol,0s,1,1,1,25,50,0.5,false
49,06:44:16:235,target,pistol,0.001s,1,1,1,25,50,0.5,false
50,06:44:16:467,target,pistol,0s,1,1,1,25,50,0.5,false
51,06:44:16:679,target,pistol,0.001s,1,1,1,25,50,0.5,false
52,06:44:16:878,target,pistol,0s,1,1,1,25,50,0.5,false
53,06:44:17:082,target,pistol,0s,1,1,1,25,50,0.5,false
54,06:44:17:301,target,pistol,0s,1,1,1,25,50,0.5,false
55,06:44:17:529,target,pistol,0s,1,1,1,25,50,0.5,false
56,06:44:17:748,target,pistol,0s,1,1,1,25,50,0.5,false
57,06:44:18:007,target,pistol,0.001s,1,1,1,25,50,0.5,false
58,06:44:18:203,target,pistol,0.001s,1,1,1,25,50,0.5,false
59,06:44:18:414,target,pistol,0s,1,1,1,25,50,0.5,false
60,06:44:18:598,target,pistol,0s,1,1,1,25,50,0.5,false
61,06:44:18:780,target,pistol,0s,1,1,1,25,50,0.5,false
62,06:44:19:017,target,pistol,0s,1,1,1,25,50,0.5,false
63,06:44:19:220,target,pistol,0s,1,1,1,25,50,0.5,false
64,06:44:19:694,target,pistol,0s,1,1,1,25,50,0.5,false
65,06:44:19:889,target,pistol,0s,1,1,1,25,50,0.5,false
66,06:44:20:086,target,pistol,0s,1,1,1,25,50,0.5,false
67,06:44:20:351,target,pistol,0s,1,1,1,25,50,0.5,false
68,06:44:20:560,target,pistol,0.001s,1,1,1,25,50,0.5,false
69,06:44:20:984,target,pistol,0s,1,1,1,25,50,0.5,false
70,06:44:21:210,target,pistol,0s,1,1,1,25,50,0.5,false
71,06:44:21:466,target,pistol,0s,1,1,1,25,50,0.5,false
72,06:44:21:673,target,pistol,0s,1,1,1,25,50,0.5,false
73,06:44:21:960,target,pistol,0s,1,1,1,25,50,0.5,false
74,06:44:22:176,target,pistol,0s,1,1,1,25,50,0.5,false
75,06:44:22:394,target,pistol,0s,1,1,1,25,50,0.5,false
76,06:44:22:601,target,pistol,0s,1,1,1,25,50,0.5,false
77,06:44:22:849,target,pistol,0s,1,1,1,25,50,0.5,false
78,06:44:23:224,target,pistol,0s,1,1,1,25,50,0.5,false
79,06:44:23:437,target,pistol,0s,1,1,1,25,50,0.5,false
80,06:44:23:670,target,pistol,0s,1,1,1,25,50,0.5,false
81,06:44:23:913,target,pistol,0s,1,1,1,25,50,0.5,false
82,06:44:24:105,target,pistol,0s,1,1,1,25,50,0.5,false
83,06:44:24:338,target,pistol,0.001s,1,1,1,25,50,0.5,false
84,06:44:24:542,target,pistol,0s,1,1,1,25,50,0.5,false
85,06:44:24:766,target,pistol,0s,1,1,1,25,50,0.5,false
86,06:44:25:002,target,pistol,0s,1,1,1,25,50,0.5,false
87,06:44:25:282,target,pistol,0s,1,1,1,25,50,0.5,false
88,06:44:25:596,target,pistol,0s,1,1,1,25,50,0.5,false
89,06:44:25:932,target,pistol,0s,1,1,1,25,50,0.5,false
90,06:44:26:170,target,pistol,0s,1,1,1,25,50,0.5,false
91,06:44:26:408,target,pistol,0s,1,1,1,25,50,0.5,false
92,06:44:26:624,target,pistol,0s,1,1,1,25,50,0.5,false
93,06:44:26:869,target,pistol,0s,1,1,1,25,50,0.5,false
94,06:44:27:063,target,pistol,0s,1,1,1,25,50,0.5,false
95,06:44:27:299,target,pistol,0.001s,1,1,1,25,50,0.5,false
96,06:44:27:541,target,pistol,0s,1,1,1,25,50,0.5,false
97,06:44:27:764,target,pistol,0s,1,1,1,25,50,0.5,false
98,06:44:27:961,target,pistol,0s,1,1,1,25,50,0.5,false
99,06:44:28:202,target,pistol,0s,1,1,1,25,50,0.5,false
100,06:44:28:400,target,pistol,0s,1,1,1,25,50,0.5,false
101,06:44:28:624,target,pistol,0s,1,1,1,25,50,0.5,false
102,06:44:28:921,target,pistol,0s,1,1,1,25,50,0.5,false
103,06:44:29:118,target,pistol,0s,1,1,1,25,50,0.5,false
104,06:44:29:334,target,pistol,0s,1,1,1,25,50,0.5,false
105,06:44:29:574,target,pistol,0s,1,1,1,25,50,0.5,false
106,06:44:29:764,target,pistol,0s,1,1,1,25,50,0.5,false
107,06:44:29:998,target,pistol,0s,1,1,1,25,50,0.5,false
108,06:44:30:220,target,pistol,0.001s,1,1,1,25,50,0.5,false
109,06:44:30:436,target,pistol,0s,1,1,1,25,50,0.5,false
110,06:44:30:795,target,pistol,0s,1,1,1,25,50,0.5,false
111,06:44:31:016,target,pistol,0.001s,1,1,1,25,50,0.5,false
112,06:44:31:300,target,pistol,0s,1,1,1,25,50,0.5,false
113,06:44:31:609,target,pistol,0s,1,1,1,25,50,0.5,false
114,06:44:31:829,target,pistol,0s,1,1,1,25,50,0.5,false
115,06:44:32:049,target,pistol,0s,1,1,1,25,50,0.5,false
116,06:44:32:310,target,pistol,0.001s,1,1,1,25,50,0.5,false
117,06:44:32:604,target,pistol,0s,1,1,1,25,50,0.5,false
118,06:44:32:864,target,pistol,0s,1,1,1,25,50,0.5,false
119,06:44:33:051,target,pistol,0.001s,1,1,1,25,50,0.5,false
120,06:44:33:347,target,pistol,0s,1,1,1,25,50,0.5,false
121,06:44:33:551,target,pistol,0.001s,1,1,1,25,50,0.5,false
122,06:44:33:897,target,pistol,0s,1,1,1,25,50,0.5,false
123,06:44:34:129,target,pistol,0s,1,1,1,25,50,0.5,false
124,06:44:34:532,target,pistol,0s,1,1,1,25,50,0.5,false
125,06:44:34:735,target,pistol,0s,1,1,1,25,50,0.5,false
126,06:44:34:961,target,pistol,0s,1,1,1,25,50,0.5,false
127,06:44:35:128,target,pistol,0s,1,1,1,25,50,0.5,false
128,06:44:35:370,target,pistol,0s,1,1,1,25,50,0.5,false
129,06:44:35:644,target,pistol,0s,1,1,1,25,50,0.5,false
130,06:44:35:851,target,pistol,0s,1,1,1,25,50,0.5,false
131,06:44:36:039,target,pistol,0s,1,1,1,25,50,0.5,false
132,06:44:36:273,target,pistol,0s,1,1,1,25,50,0.5,false
133,06:44:36:468,target,pistol,0s,1,1,1,25,50,0.5,false
134,06:44:36:730,target,pistol,0s,1,1,1,25,50,0.5,false
135,06:44:37:289,target,pistol,0.324s,2,1,0.5,25,100,0.25,false
136,06:44:37:596,target,pistol,0s,1,1,1,25,50,0.5,false
137,06:44:37:852,target,pistol,0s,1,1,1,25,50,0.5,false
138,06:44:38:101,target,pistol,0s,1,1,1,25,50,0.5,false
139,06:44:38:328,target,pistol,0.001s,1,1,1,25,50,0.5,false
140,06:44:38:744,target,pistol,0.185s,2,1,0.5,25,100,0.25,false
141,06:44:39:023,target,pistol,0s,1,1,1,25,50,0.5,false
142,06:44:39:239,target,pistol,0s,1,1,1,25,50,0.5,false
143,06:44:39:459,target,pistol,0s,1,1,1,25,50,0.5,false
144,06:44:39:653,target,pistol,0s,1,1,1,25,50,0.5,false
145,06:44:39:869,target,pistol,0s,1,1,1,25,50,0.5,false
146,06:44:40:102,target,pistol,0s,1,1,1,25,50,0.5,false
147,06:44:40:335,target,pistol,0s,1,1,1,25,50,0.5,false
148,06:44:40:578,target,pistol,0s,1,1,1,25,50,0.5,false
149,06:44:40:802,target,pistol,0s,1,1,1,25,50,0.5,false
150,06:44:41:039,target,pistol,0s,1,1,1,25,50,0.5,false
151,06:44:41:274,target,pistol,0s,1,1,1,25,50,0.5,false
152,06:44:42:089,target,pistol,0.637s,3,1,0.333,25,150,0.167,false
153,06:44:42:300,target,pistol,0s,1,1,1,25,50,0.5,false
154,06:44:42:497,target,pistol,0s,1,1,1,25,50,0.5,false
155,06:44:42:703,target,pistol,0s,1,1,1,25,50,0.5,false
156,06:44:42:961,target,pistol,0s,1,1,1,25,50,0.5,false
157,06:44:43:173,target,pistol,0s,1,1,1,25,50,0.5,false
158,06:44:43:443,target,pistol,0s,1,1,1,25,50,0.5,false
159,06:44:43:645,target,pistol,0s,1,1,1,25,50,0.5,false
160,06:44:43:893,target,pistol,0.001s,1,1,1,25,50,0.5,false
161,06:44:44:201,target,pistol,0s,1,1,1,25,50,0.5,false
162,06:44:44:445,target,pistol,0s,1,1,1,25,50,0.5,false
163,06:44:44:706,target,pistol,0s,1,1,1,25,50,0.5,false
164,06:44:44:917,target,pistol,0s,1,1,1,25,50,0.5,false
165,06:44:45:174,target,pistol,0s,1,1,1,25,50,0.5,false
166,06:44:45:425,target,pistol,0.001s,1,1,1,25,50,0.5,false
167,06:44:45:747,target,pistol,0s,1,1,1,25,50,0.5,false
168,06:44:45:993,target,pistol,0s,1,1,1,25,50,0.5,false
169,06:44:46:232,target,pistol,0s,1,1,1,25,50,0.5,false
170,06:44:46:571,target,pistol,0s,1,1,1,25,50,0.5,false
171,06:44:46:776,target,pistol,0s,1,1,1,25,50,0.5,false
172,06:44:47:007,target,pistol,0s,1,1,1,25,50,0.5,false
173,06:44:47:254,target,pistol,0s,1,1,1,25,50,0.5,false
174,06:44:47:435,target,pistol,0s,1,1,1,25,50,0.5,false
175,06:44:47:648,target,pistol,0s,1,1,1,25,50,0.5,false
176,06:44:47:929,target,pistol,0s,1,1,1,25,50,0.5,false
177,06:44:48:186,target,pistol,0s,1,1,1,25,50,0.5,false
178,06:44:48:385,target,pistol,0s,1,1,1,25,50,0.5,false
179,06:44:48:603,target,pistol,0.001s,1,1,1,25,50,0.5,false
