Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:20:25:900,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
2,22:20:26:800,TileFrenzy Sphere,16ML9 - 080,0.474s,2,1,0.5,1,2,0.5,false
3,22:20:27:096,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
4,22:20:27:445,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
5,22:20:27:855,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
6,22:20:28:276,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
7,22:20:28:671,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
8,22:20:29:110,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
9,22:20:29:450,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
10,22:20:29:966,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
11,22:20:30:380,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
12,22:20:30:806,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
13,22:20:31:211,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
14,22:20:31:565,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
15,22:20:31:956,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
16,22:20:32:340,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
17,22:20:32:690,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
18,22:20:33:031,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
19,22:20:33:431,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
20,22:20:33:922,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
21,22:20:34:321,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
22,22:20:34:690,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
23,22:20:35:121,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
24,22:20:35:566,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
25,22:20:36:040,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
26,22:20:36:766,TileFrenzy Sphere,16ML9 - 080,0.405s,2,1,0.5,1,2,0.5,false
27,22:20:37:130,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
28,22:20:37:591,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
29,22:20:38:100,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
30,22:20:38:536,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
31,22:20:39:026,TileFrenzy Sphere,16ML9 - 080,0.001s,1,1,1,1,1,1,false
32,22:20:39:501,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
33,22:20:39:986,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
34,22:20:40:396,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
35,22:20:40:791,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
36,22:20:41:226,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
37,22:20:41:646,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
38,22:20:41:967,TileFrenzy Sphere,16ML9 - 080,0s,1,1,1,1,1,1,false
