Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:13:30:590,Quaker Bot Fast Strafes,LG,6.849s,150,50,0.333,300,900,0.333,false
2,20:13:37:666,Quaker Bot Fast Strafes,LG,5.059s,111,50,0.45,300,666,0.45,false
3,20:13:49:351,Quaker Bot Fast Strafes,LG,11.411s,215,50,0.233,300,1290,0.233,false
4,20:13:58:299,Quaker Bot Fast Strafes,LG,6.847s,150,50,0.333,300,900,0.333,false
5,20:14:08:309,Quaker Bot Fast Strafes,LG,8s,175,50,0.286,300,1050,0.286,false
6,20:14:19:832,Quaker Bot Fast Strafes,LG,9.609s,210,50,0.238,300,1260,0.238,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1043,308,1848.0,6258.0,

Kills:,6
Deaths:,0
Fight Time:,47.775002
Avg TTK:,7.963
Damage Done:,1848.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,1637.154297
Scenario:,Cata IC Fast Strafes
Hash:,ae0024fa5045348cf5200beda4716333
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,2.0
Vert Sens:,2.0
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
