Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:03:58:256,air_close_short,LG,15.316s,1533,553,0.361,721.112,1999.002,0.361,false
2,00:04:14:177,air1_far_short,LG,14.193s,1421,553,0.389,721.112,1852.959,0.389,false
3,00:04:40:024,Bot Profile,LG,25.594s,2479,553,0.223,721.112,3232.544,0.223,false
4,00:04:56:760,air1F_close_long,LG,16.538s,1548,553,0.357,721.112,2018.561,0.357,false
5,00:05:09:622,air1F_far_long,LG,11.843s,1186,553,0.466,721.112,1546.53,0.466,false
6,00:05:30:242,air1F_close_short,LG,20.361s,1939,553,0.285,721.112,2528.408,0.285,false
7,00:05:46:938,air1F_far_short,LG,15.355s,1537,553,0.36,721.112,2004.218,0.36,false
8,00:06:14:255,air1_UFO,LG,27.296s,2631,553,0.21,721.112,3430.745,0.21,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,14275,4425,5770.353516,18614.482422,

Kills:,8
Deaths:,0
Fight Time:,146.496002
Avg TTK:,18.312
Damage Done:,5770.353516
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,847.404175
Scenario:,Ground Plaza Easy
Hash:,9e1dbc9b183966e69b73aca2836c8165
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
