Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:53:49:692,air_close_short,LG,13.304s,1332,553,0.415,721.112,1736.907,0.415,false
2,20:54:03:832,air1_far_short,LG,12.81s,1282,553,0.431,721.112,1671.709,0.431,false
3,20:54:33:197,Bot Profile,LG,29.114s,2808,553,0.197,721.112,3661.545,0.197,false
4,20:54:51:321,air1F_close_long,LG,17.874s,1672,553,0.331,721.112,2180.252,0.331,false
5,20:55:03:423,air1F_far_long,LG,11.846s,1091,553,0.507,721.112,1422.654,0.507,false
6,20:55:22:177,air1F_close_short,LG,18.58s,1796,553,0.308,721.112,2341.942,0.308,false
7,20:55:39:342,air1F_far_short,LG,16.139s,1615,553,0.342,721.112,2105.927,0.342,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,14610,4424,5769.049316,19051.552734,

Kills:,8
Deaths:,0
Fight Time:,150.412994
Avg TTK:,18.802
Damage Done:,5769.049316
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,845.110535
Scenario:,Ground Plaza Easy
Hash:,9e1dbc9b183966e69b73aca2836c8165
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
