Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:28:32:825,target,BB Gun,0s,1,1,1,1,1,1,false
2,21:28:32:998,target,BB Gun,0s,1,1,1,1,1,1,false
3,21:28:33:296,target,BB Gun,0s,1,1,1,1,1,1,false
4,21:28:33:485,target,BB Gun,0s,1,1,1,1,1,1,false
5,21:28:33:715,target,BB Gun,0s,1,1,1,1,1,1,false
6,21:28:33:964,target,BB Gun,0s,1,1,1,1,1,1,false
7,21:28:34:207,target,BB Gun,0s,1,1,1,1,1,1,false
8,21:28:34:441,target,BB Gun,0s,1,1,1,1,1,1,false
9,21:28:34:803,target,BB Gun,0.18s,2,1,0.5,1,2,0.5,false
10,21:28:35:036,target,BB Gun,0s,1,1,1,1,1,1,false
11,21:28:35:512,target,BB Gun,0.294s,2,1,0.5,1,2,0.5,false
12,21:28:35:708,target,BB Gun,0s,1,1,1,1,1,1,false
13,21:28:35:888,target,BB Gun,0s,1,1,1,1,1,1,false
14,21:28:36:448,target,BB Gun,0.252s,2,1,0.5,1,2,0.5,false
15,21:28:36:632,target,BB Gun,0s,1,1,1,1,1,1,false
16,21:28:36:877,target,BB Gun,0.001s,1,1,1,1,1,1,false
17,21:28:37:097,target,BB Gun,0s,1,1,1,1,1,1,false
18,21:28:37:470,target,BB Gun,0.207s,2,1,0.5,1,2,0.5,false
19,21:28:37:693,target,BB Gun,0s,1,1,1,1,1,1,false
20,21:28:37:922,target,BB Gun,0.001s,1,1,1,1,1,1,false
21,21:28:38:125,target,BB Gun,0s,1,1,1,1,1,1,false
22,21:28:38:563,target,BB Gun,0.241s,2,1,0.5,1,2,0.5,false
23,21:28:38:743,target,BB Gun,0s,1,1,1,1,1,1,false
24,21:28:39:193,target,BB Gun,0.241s,2,1,0.5,1,2,0.5,false
25,21:28:39:441,target,BB Gun,0s,1,1,1,1,1,1,false
26,21:28:39:619,target,BB Gun,0.001s,1,1,1,1,1,1,false
27,21:28:39:860,target,BB Gun,0s,1,1,1,1,1,1,false
28,21:28:40:037,target,BB Gun,0.001s,1,1,1,1,1,1,false
29,21:28:40:258,target,BB Gun,0s,1,1,1,1,1,1,false
30,21:28:40:746,target,BB Gun,0.221s,2,1,0.5,1,2,0.5,false
31,21:28:40:993,target,BB Gun,0s,1,1,1,1,1,1,false
32,21:28:41:226,target,BB Gun,0s,1,1,1,1,1,1,false
33,21:28:41:510,target,BB Gun,0s,1,1,1,1,1,1,false
34,21:28:42:000,target,BB Gun,0.243s,2,1,0.5,1,2,0.5,false
35,21:28:42:193,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,21:28:42:620,target,BB Gun,0.205s,2,1,0.5,1,2,0.5,false
37,21:28:42:849,target,BB Gun,0.001s,1,1,1,1,1,1,false
38,21:28:43:021,target,BB Gun,0s,1,1,1,1,1,1,false
39,21:28:43:202,target,BB Gun,0s,1,1,1,1,1,1,false
40,21:28:43:436,target,BB Gun,0s,1,1,1,1,1,1,false
