Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:26:41:518,Pigeon,LG,0.826s,19,17,0.895,102,114,0.895,false
2,00:26:44:923,Pigeon,LG,2.48s,55,17,0.309,102,330,0.309,false
3,00:26:47:086,Pigeon,LG,1.699s,38,17,0.447,102,228,0.447,false
4,00:26:49:779,Pigeon,LG,2.299s,51,17,0.333,102,306,0.333,false
5,00:26:51:745,Pigeon,LG,0.962s,22,17,0.773,102,132,0.773,false
6,00:26:53:024,Pigeon,LG,0.733s,17,17,1,102,102,1,false
7,00:26:55:505,Pigeon,LG,1.132s,24,17,0.708,102,144,0.708,false
8,00:26:57:673,Pigeon,LG,1.472s,33,17,0.515,102,198,0.515,false
9,00:27:00:648,Pigeon,LG,2.253s,50,17,0.34,102,300,0.34,false
10,00:27:02:895,Pigeon,LG,1.84s,41,17,0.415,102,246,0.415,false
11,00:27:05:844,Pigeon,LG,2.067s,46,17,0.37,102,276,0.37,false
12,00:27:07:940,Pigeon,LG,1.331s,30,17,0.567,102,180,0.567,false
13,00:27:11:303,Pigeon,LG,2.528s,56,17,0.304,102,336,0.304,false
14,00:27:13:731,Pigeon,LG,2.234s,38,17,0.447,102,228,0.447,false
15,00:27:16:712,Pigeon,LG,1.929s,43,17,0.395,102,258,0.395,false
16,00:27:19:270,Pigeon,LG,2.065s,46,17,0.37,102,276,0.37,false
17,00:27:22:332,Pigeon,LG,1.641s,35,17,0.486,102,210,0.486,false
18,00:27:25:551,Pigeon,LG,2.299s,51,17,0.333,102,306,0.333,false
19,00:27:28:958,Pigeon,LG,2.805s,62,17,0.274,102,372,0.274,false
20,00:27:31:499,Pigeon,LG,1.653s,37,17,0.459,102,222,0.459,false
21,00:27:34:197,Pigeon,LG,1.841s,41,17,0.415,102,246,0.415,false
22,00:27:38:826,Pigeon,LG,4.093s,90,17,0.189,102,540,0.189,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,929,375,2250.0,5574.0,

Kills:,22
Deaths:,0
Fight Time:,42.181999
Avg TTK:,1.917
Damage Done:,2250.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,2250.0
Scenario:,LG Pin Practice 360
Hash:,1bd8936343724d18465795b9d93c8ac1
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
