Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:13:22:493,target,pistol,0s,1,1,1,25,50,0.5,false
2,21:13:23:098,target,pistol,0s,1,1,1,25,50,0.5,false
3,21:13:23:543,target,pistol,0s,1,1,1,25,50,0.5,false
4,21:13:24:148,target,pistol,0s,1,1,1,25,50,0.5,false
5,21:13:24:828,target,pistol,0s,1,1,1,25,50,0.5,false
6,21:13:25:938,target,pistol,0.564s,2,1,0.5,25,100,0.25,false
7,21:13:26:473,target,pistol,0s,1,1,1,25,50,0.5,false
8,21:13:27:143,target,pistol,0s,1,1,1,25,50,0.5,false
9,21:13:27:904,target,pistol,0s,1,1,1,25,50,0.5,false
10,21:13:29:174,target,pistol,0.651s,2,1,0.5,25,100,0.25,false
11,21:13:30:429,target,pistol,0.666s,2,1,0.5,25,100,0.25,false
12,21:13:31:028,target,pistol,0s,1,1,1,25,50,0.5,false
13,21:13:32:214,target,pistol,0.63s,2,1,0.5,25,100,0.25,false
14,21:13:33:500,target,pistol,0.43s,2,1,0.5,25,100,0.25,false
15,21:13:34:134,target,pistol,0s,1,1,1,25,50,0.5,false
16,21:13:34:760,target,pistol,0.001s,1,1,1,25,50,0.5,false
17,21:13:36:029,target,pistol,0.515s,2,1,0.5,25,100,0.25,false
18,21:13:36:624,target,pistol,0s,1,1,1,25,50,0.5,false
19,21:13:37:544,target,pistol,0s,1,1,1,25,50,0.5,false
20,21:13:38:099,target,pistol,0s,1,1,1,25,50,0.5,false
21,21:13:38:750,target,pistol,0s,1,1,1,25,50,0.5,false
22,21:13:39:480,target,pistol,0s,1,1,1,25,50,0.5,false
23,21:13:40:185,target,pistol,0.001s,1,1,1,25,50,0.5,false
24,21:13:40:740,target,pistol,0s,1,1,1,25,50,0.5,false
25,21:13:41:920,target,pistol,0s,1,1,1,25,50,0.5,false
26,21:13:42:550,target,pistol,0s,1,1,1,25,50,0.5,false
27,21:13:43:330,target,pistol,0s,1,1,1,25,50,0.5,false
28,21:13:44:145,target,pistol,0s,1,1,1,25,50,0.5,false
29,21:13:44:785,target,pistol,0s,1,1,1,25,50,0.5,false
30,21:13:46:370,target,pistol,0.865s,2,1,0.5,25,100,0.25,false
31,21:13:47:680,target,pistol,0.634s,2,1,0.5,25,100,0.25,false
32,21:13:48:146,target,pistol,0s,1,1,1,25,50,0.5,false
33,21:13:48:686,target,pistol,0s,1,1,1,25,50,0.5,false
34,21:13:49:921,target,pistol,0.634s,2,1,0.5,25,100,0.25,false
35,21:13:50:632,target,pistol,0.001s,1,1,1,25,50,0.5,false
36,21:13:52:057,target,pistol,0.545s,2,1,0.5,25,100,0.25,false
37,21:13:52:672,target,pistol,0s,1,1,1,25,50,0.5,false
38,21:13:53:387,target,pistol,0s,1,1,1,25,50,0.5,false
39,21:13:54:042,target,pistol,0s,1,1,1,25,50,0.5,false
40,21:13:54:773,target,pistol,0.001s,1,1,1,25,50,0.5,false
41,21:13:55:222,target,pistol,0s,1,1,1,25,50,0.5,false
42,21:13:55:867,target,pistol,0s,1,1,1,25,50,0.5,false
43,21:13:56:453,target,pistol,0s,1,1,1,25,50,0.5,false
44,21:13:57:009,target,pistol,0s,1,1,1,25,50,0.5,false
45,21:13:57:566,target,pistol,0s,1,1,1,25,50,0.5,false
46,21:13:58:276,target,pistol,0s,1,1,1,25,50,0.5,false
