Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,08:37:23:964,target,BB Gun,0s,1,1,1,1,1,1,false
2,08:37:24:651,target,BB Gun,0s,1,1,1,1,1,1,false
3,08:37:25:248,target,BB Gun,0s,1,1,1,1,1,1,false
4,08:37:25:733,target,BB Gun,0s,1,1,1,1,1,1,false
5,08:37:26:186,target,BB Gun,0.001s,1,1,1,1,1,1,false
6,08:37:26:595,target,BB Gun,0s,1,1,1,1,1,1,false
7,08:37:27:195,target,BB Gun,0s,1,1,1,1,1,1,false
8,08:37:27:724,target,BB Gun,0s,1,1,1,1,1,1,false
9,08:37:28:096,target,BB Gun,0s,1,1,1,1,1,1,false
10,08:37:28:698,target,BB Gun,0s,1,1,1,1,1,1,false
11,08:37:29:242,target,BB Gun,0s,1,1,1,1,1,1,false
12,08:37:29:694,target,BB Gun,0s,1,1,1,1,1,1,false
13,08:37:30:282,target,BB Gun,0s,1,1,1,1,1,1,false
14,08:37:30:797,target,BB Gun,0s,1,1,1,1,1,1,false
15,08:37:31:200,target,BB Gun,0s,1,1,1,1,1,1,false
16,08:37:32:426,target,BB Gun,0.664s,2,1,0.5,1,2,0.5,false
17,08:37:32:944,target,BB Gun,0.001s,1,1,1,1,1,1,false
18,08:37:33:387,target,BB Gun,0.001s,1,1,1,1,1,1,false
19,08:37:33:939,target,BB Gun,0s,1,1,1,1,1,1,false
20,08:37:34:412,target,BB Gun,0s,1,1,1,1,1,1,false
21,08:37:34:912,target,BB Gun,0s,1,1,1,1,1,1,false
22,08:37:35:387,target,BB Gun,0s,1,1,1,1,1,1,false
23,08:37:35:948,target,BB Gun,0s,1,1,1,1,1,1,false
24,08:37:36:458,target,BB Gun,0s,1,1,1,1,1,1,false
25,08:37:37:040,target,BB Gun,0s,1,1,1,1,1,1,false
26,08:37:37:554,target,BB Gun,0.001s,1,1,1,1,1,1,false
27,08:37:38:567,target,BB Gun,0.377s,2,1,0.5,1,2,0.5,false
28,08:37:39:059,target,BB Gun,0s,1,1,1,1,1,1,false
29,08:37:39:618,target,BB Gun,0s,1,1,1,1,1,1,false
30,08:37:40:105,target,BB Gun,0s,1,1,1,1,1,1,false
31,08:37:41:273,target,BB Gun,0s,1,1,1,1,1,1,false
32,08:37:41:873,target,BB Gun,0s,1,1,1,1,1,1,false
33,08:37:42:354,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,08:37:42:894,target,BB Gun,0s,1,1,1,1,1,1,false
35,08:37:43:326,target,BB Gun,0s,1,1,1,1,1,1,false
36,08:37:44:013,target,BB Gun,0s,1,1,1,1,1,1,false
37,08:37:44:570,target,BB Gun,0s,1,1,1,1,1,1,false
38,08:37:44:983,target,BB Gun,0.001s,1,1,1,1,1,1,false
39,08:37:45:525,target,BB Gun,0s,1,1,1,1,1,1,false
40,08:37:45:930,target,BB Gun,0s,1,1,1,1,1,1,false
41,08:37:47:416,target,BB Gun,0.66s,2,1,0.5,1,2,0.5,false
42,08:37:47:928,target,BB Gun,0s,1,1,1,1,1,1,false
43,08:37:48:409,target,BB Gun,0s,1,1,1,1,1,1,false
44,08:37:49:384,target,BB Gun,0.35s,2,1,0.5,1,2,0.5,false
45,08:37:50:419,target,BB Gun,0s,1,1,1,1,1,1,false
46,08:37:50:897,target,BB Gun,0s,1,1,1,1,1,1,false
47,08:37:51:298,target,BB Gun,0s,1,1,1,1,1,1,false
48,08:37:51:912,target,BB Gun,0s,1,1,1,1,1,1,false
49,08:37:52:248,target,BB Gun,0s,1,1,1,1,1,1,false
50,08:37:52:859,target,BB Gun,0s,1,1,1,1,1,1,false
51,08:37:53:372,target,BB Gun,0s,1,1,1,1,1,1,false
52,08:37:53:856,target,BB Gun,0s,1,1,1,1,1,1,false
53,08:37:54:741,target,BB Gun,0.416s,2,1,0.5,1,2,0.5,false
54,08:37:55:138,target,BB Gun,0.001s,1,1,1,1,1,1,false
55,08:37:55:694,target,BB Gun,0s,1,1,1,1,1,1,false
56,08:37:56:166,target,BB Gun,0s,1,1,1,1,1,1,false
57,08:37:56:817,target,BB Gun,0s,1,1,1,1,1,1,false
58,08:37:57:272,target,BB Gun,0s,1,1,1,1,1,1,false
59,08:37:57:800,target,BB Gun,0s,1,1,1,1,1,1,false
60,08:37:58:555,target,BB Gun,0s,1,1,1,1,1,1,false
61,08:37:58:958,target,BB Gun,0.001s,1,1,1,1,1,1,false
62,08:38:00:128,target,BB Gun,0.598s,2,1,0.5,1,2,0.5,false
63,08:38:00:498,target,BB Gun,0s,1,1,1,1,1,1,false
64,08:38:01:039,target,BB Gun,0s,1,1,1,1,1,1,false
65,08:38:01:561,target,BB Gun,0s,1,1,1,1,1,1,false
66,08:38:01:987,target,BB Gun,0s,1,1,1,1,1,1,false
67,08:38:02:557,target,BB Gun,0s,1,1,1,1,1,1,false
68,08:38:03:572,target,BB Gun,0.001s,1,1,1,1,1,1,false
69,08:38:03:967,target,BB Gun,0s,1,1,1,1,1,1,false
70,08:38:04:545,target,BB Gun,0s,1,1,1,1,1,1,false
71,08:38:05:074,target,BB Gun,0s,1,1,1,1,1,1,false
72,08:38:06:189,target,BB Gun,0.48s,2,1,0.5,1,2,0.5,false
73,08:38:06:580,target,BB Gun,0s,1,1,1,1,1,1,false
74,08:38:07:119,target,BB Gun,0s,1,1,1,1,1,1,false
75,08:38:07:552,target,BB Gun,0s,1,1,1,1,1,1,false
76,08:38:08:275,target,BB Gun,0s,1,1,1,1,1,1,false
77,08:38:08:733,target,BB Gun,0s,1,1,1,1,1,1,false
78,08:38:09:275,target,BB Gun,0s,1,1,1,1,1,1,false
79,08:38:09:782,target,BB Gun,0s,1,1,1,1,1,1,false
80,08:38:10:359,target,BB Gun,0s,1,1,1,1,1,1,false
81,08:38:11:051,target,BB Gun,0s,1,1,1,1,1,1,false
82,08:38:11:577,target,BB Gun,0s,1,1,1,1,1,1,false
83,08:38:12:125,target,BB Gun,0s,1,1,1,1,1,1,false
84,08:38:12:547,target,BB Gun,0s,1,1,1,1,1,1,false
85,08:38:13:033,target,BB Gun,0.001s,1,1,1,1,1,1,false
86,08:38:13:633,target,BB Gun,0s,1,1,1,1,1,1,false
87,08:38:14:598,target,BB Gun,0.411s,2,1,0.5,1,2,0.5,false
88,08:38:15:258,target,BB Gun,0s,1,1,1,1,1,1,false
89,08:38:15:744,target,BB Gun,0.001s,1,1,1,1,1,1,false
90,08:38:16:327,target,BB Gun,0.001s,1,1,1,1,1,1,false
91,08:38:16:754,target,BB Gun,0s,1,1,1,1,1,1,false
92,08:38:17:290,target,BB Gun,0s,1,1,1,1,1,1,false
93,08:38:17:876,target,BB Gun,0s,1,1,1,1,1,1,false
94,08:38:18:370,target,BB Gun,0s,1,1,1,1,1,1,false
95,08:38:18:799,target,BB Gun,0.001s,1,1,1,1,1,1,false
96,08:38:19:291,target,BB Gun,0s,1,1,1,1,1,1,false
97,08:38:19:831,target,BB Gun,0s,1,1,1,1,1,1,false
98,08:38:21:029,target,BB Gun,0.673s,2,1,0.5,1,2,0.5,false
99,08:38:21:446,target,BB Gun,0s,1,1,1,1,1,1,false
100,08:38:22:117,target,BB Gun,0s,1,1,1,1,1,1,false
101,08:38:22:611,target,BB Gun,0s,1,1,1,1,1,1,false
102,08:38:23:150,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,111,102,102.0,111.0,

Kills:,102
Deaths:,0
Fight Time:,4.642
Avg TTK:,0.046
Damage Done:,102.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,937.297302
Scenario:,1wall 6targets small
Hash:,0d8df6a1ff4ec9bc3c0c4769f3dae3a0
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
