Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,16:09:51:590,target,BB Gun,0.001s,1,1,1,1,1,1,false
2,16:09:51:901,target,BB Gun,0s,1,1,1,1,1,1,false
3,16:09:52:217,target,BB Gun,0s,1,1,1,1,1,1,false
4,16:09:52:427,target,BB Gun,0s,1,1,1,1,1,1,false
5,16:09:52:718,target,BB Gun,0s,1,1,1,1,1,1,false
6,16:09:53:511,target,BB Gun,0.47s,2,1,0.5,1,2,0.5,false
7,16:09:53:997,target,BB Gun,0s,1,1,1,1,1,1,false
8,16:09:54:278,target,BB Gun,0s,1,1,1,1,1,1,false
9,16:09:54:566,target,BB Gun,0s,1,1,1,1,1,1,false
10,16:09:54:777,target,BB Gun,0s,1,1,1,1,1,1,false
11,16:09:54:993,target,BB Gun,0s,1,1,1,1,1,1,false
12,16:09:55:349,target,BB Gun,0.001s,1,1,1,1,1,1,false
13,16:09:55:587,target,BB Gun,0s,1,1,1,1,1,1,false
14,16:09:55:832,target,BB Gun,0s,1,1,1,1,1,1,false
15,16:09:56:131,target,BB Gun,0s,1,1,1,1,1,1,false
16,16:09:56:803,target,BB Gun,0.301s,2,1,0.5,1,2,0.5,false
17,16:09:57:062,target,BB Gun,0s,1,1,1,1,1,1,false
18,16:09:57:340,target,BB Gun,0s,1,1,1,1,1,1,false
19,16:09:57:658,target,BB Gun,0s,1,1,1,1,1,1,false
20,16:09:57:975,target,BB Gun,0s,1,1,1,1,1,1,false
21,16:09:58:758,target,BB Gun,0.357s,2,1,0.5,1,2,0.5,false
22,16:09:58:916,target,BB Gun,0s,1,1,1,1,1,1,false
23,16:09:59:291,target,BB Gun,0.001s,1,1,1,1,1,1,false
24,16:09:59:438,target,BB Gun,0.001s,1,1,1,1,1,1,false
25,16:09:59:939,target,BB Gun,0.166s,2,1,0.5,1,2,0.5,false
26,16:10:00:153,target,BB Gun,0s,1,1,1,1,1,1,false
27,16:10:00:535,target,BB Gun,0s,1,1,1,1,1,1,false
28,16:10:00:903,target,BB Gun,0s,1,1,1,1,1,1,false
29,16:10:01:056,target,BB Gun,0.001s,1,1,1,1,1,1,false
30,16:10:01:742,target,BB Gun,0.5s,2,1,0.5,1,2,0.5,false
31,16:10:01:875,target,BB Gun,0.001s,1,1,1,1,1,1,false
32,16:10:02:468,target,BB Gun,0s,1,1,1,1,1,1,false
33,16:10:02:978,target,BB Gun,0.001s,1,1,1,1,1,1,false
34,16:10:03:314,target,BB Gun,0.001s,1,1,1,1,1,1,false
35,16:10:03:533,target,BB Gun,0s,1,1,1,1,1,1,false
36,16:10:03:715,target,BB Gun,0s,1,1,1,1,1,1,false
37,16:10:04:048,target,BB Gun,0s,1,1,1,1,1,1,false
38,16:10:04:284,target,BB Gun,0s,1,1,1,1,1,1,false
39,16:10:04:534,target,BB Gun,0s,1,1,1,1,1,1,false
40,16:10:05:016,target,BB Gun,0.258s,2,1,0.5,1,2,0.5,false
41,16:10:05:194,target,BB Gun,0s,1,1,1,1,1,1,false
42,16:10:05:745,target,BB Gun,0.22s,2,1,0.5,1,2,0.5,false
43,16:10:06:097,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,16:10:06:335,target,BB Gun,0s,1,1,1,1,1,1,false
45,16:10:06:816,target,BB Gun,0.001s,1,1,1,1,1,1,false
46,16:10:06:976,target,BB Gun,0s,1,1,1,1,1,1,false
47,16:10:07:184,target,BB Gun,0s,1,1,1,1,1,1,false
48,16:10:07:402,target,BB Gun,0s,1,1,1,1,1,1,false
49,16:10:07:610,target,BB Gun,0s,1,1,1,1,1,1,false
50,16:10:07:930,target,BB Gun,0s,1,1,1,1,1,1,false
51,16:10:08:243,target,BB Gun,0s,1,1,1,1,1,1,false
52,16:10:08:943,target,BB Gun,0s,1,1,1,1,1,1,false
53,16:10:09:159,target,BB Gun,0s,1,1,1,1,1,1,false
54,16:10:09:542,target,BB Gun,0s,1,1,1,1,1,1,false
55,16:10:09:749,target,BB Gun,0s,1,1,1,1,1,1,false
56,16:10:09:963,target,BB Gun,0s,1,1,1,1,1,1,false
57,16:10:10:380,target,BB Gun,0s,1,1,1,1,1,1,false
58,16:10:10:656,target,BB Gun,0s,1,1,1,1,1,1,false
59,16:10:10:858,target,BB Gun,0s,1,1,1,1,1,1,false
60,16:10:11:214,target,BB Gun,0s,1,1,1,1,1,1,false
61,16:10:11:639,target,BB Gun,0s,1,1,1,1,1,1,false
62,16:10:11:825,target,BB Gun,0s,1,1,1,1,1,1,false
63,16:10:12:223,target,BB Gun,0s,1,1,1,1,1,1,false
64,16:10:12:657,target,BB Gun,0.001s,1,1,1,1,1,1,false
65,16:10:13:071,target,BB Gun,0s,1,1,1,1,1,1,false
66,16:10:13:448,target,BB Gun,0.001s,1,1,1,1,1,1,false
67,16:10:13:876,target,BB Gun,0s,1,1,1,1,1,1,false
68,16:10:14:350,target,BB Gun,0.226s,2,1,0.5,1,2,0.5,false
69,16:10:14:714,target,BB Gun,0s,1,1,1,1,1,1,false
70,16:10:14:901,target,BB Gun,0s,1,1,1,1,1,1,false
71,16:10:15:220,target,BB Gun,0.001s,1,1,1,1,1,1,false
72,16:10:15:436,target,BB Gun,0s,1,1,1,1,1,1,false
73,16:10:15:795,target,BB Gun,0.001s,1,1,1,1,1,1,false
74,16:10:16:062,target,BB Gun,0s,1,1,1,1,1,1,false
75,16:10:16:410,target,BB Gun,0s,1,1,1,1,1,1,false
76,16:10:17:068,target,BB Gun,0.445s,2,1,0.5,1,2,0.5,false
77,16:10:17:363,target,BB Gun,0s,1,1,1,1,1,1,false
78,16:10:17:857,target,BB Gun,0s,1,1,1,1,1,1,false
79,16:10:18:180,target,BB Gun,0s,1,1,1,1,1,1,false
80,16:10:18:576,target,BB Gun,0s,1,1,1,1,1,1,false
81,16:10:18:750,target,BB Gun,0s,1,1,1,1,1,1,false
82,16:10:19:138,target,BB Gun,0.001s,1,1,1,1,1,1,false
