Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,15:59:24:031,target,pistol,0s,1,1,1,25,50,0.5,false
2,15:59:24:216,target,pistol,0s,1,1,1,25,50,0.5,false
3,15:59:24:432,target,pistol,0.001s,1,1,1,25,50,0.5,false
4,15:59:24:628,target,pistol,0s,1,1,1,25,50,0.5,false
5,15:59:24:820,target,pistol,0s,1,1,1,25,50,0.5,false
6,15:59:25:074,target,pistol,0s,1,1,1,25,50,0.5,false
7,15:59:25:277,target,pistol,0s,1,1,1,25,50,0.5,false
8,15:59:25:576,target,pistol,0s,1,1,1,25,50,0.5,false
9,15:59:25:764,target,pistol,0s,1,1,1,25,50,0.5,false
10,15:59:25:948,target,pistol,0s,1,1,1,25,50,0.5,false
11,15:59:26:407,target,pistol,0.208s,2,1,0.5,25,100,0.25,false
12,15:59:26:683,target,pistol,0s,1,1,1,25,50,0.5,false
13,15:59:26:854,target,pistol,0s,1,1,1,25,50,0.5,false
14,15:59:27:057,target,pistol,0s,1,1,1,25,50,0.5,false
15,15:59:27:294,target,pistol,0s,1,1,1,25,50,0.5,false
16,15:59:27:527,target,pistol,0.001s,1,1,1,25,50,0.5,false
17,15:59:27:763,target,pistol,0.001s,1,1,1,25,50,0.5,false
18,15:59:28:323,target,pistol,0.355s,2,1,0.5,25,100,0.25,false
19,15:59:28:540,target,pistol,0.001s,1,1,1,25,50,0.5,false
20,15:59:28:949,target,pistol,0.217s,2,1,0.5,25,100,0.25,false
21,15:59:29:155,target,pistol,0.001s,1,1,1,25,50,0.5,false
22,15:59:29:357,target,pistol,0.001s,1,1,1,25,50,0.5,false
23,15:59:29:596,target,pistol,0s,1,1,1,25,50,0.5,false
24,15:59:29:814,target,pistol,0s,1,1,1,25,50,0.5,false
25,15:59:30:030,target,pistol,0s,1,1,1,25,50,0.5,false
26,15:59:30:232,target,pistol,0s,1,1,1,25,50,0.5,false
27,15:59:30:443,target,pistol,0s,1,1,1,25,50,0.5,false
28,15:59:30:862,target,pistol,0.243s,2,1,0.5,25,100,0.25,false
29,15:59:31:063,target,pistol,0s,1,1,1,25,50,0.5,false
30,15:59:31:314,target,pistol,0s,1,1,1,25,50,0.5,false
31,15:59:31:868,target,pistol,0.337s,2,1,0.5,25,100,0.25,false
32,15:59:32:058,target,pistol,0s,1,1,1,25,50,0.5,false
33,15:59:32:292,target,pistol,0.001s,1,1,1,25,50,0.5,false
34,15:59:32:482,target,pistol,0s,1,1,1,25,50,0.5,false
35,15:59:32:904,target,pistol,0.207s,2,1,0.5,25,100,0.25,false
36,15:59:33:155,target,pistol,0s,1,1,1,25,50,0.5,false
37,15:59:33:389,target,pistol,0s,1,1,1,25,50,0.5,false
38,15:59:33:587,target,pistol,0s,1,1,1,25,50,0.5,false
39,15:59:33:783,target,pistol,0s,1,1,1,25,50,0.5,false
40,15:59:34:010,target,pistol,0.001s,1,1,1,25,50,0.5,false
41,15:59:34:238,target,pistol,0s,1,1,1,25,50,0.5,false
42,15:59:34:459,target,pistol,0s,1,1,1,25,50,0.5,false
43,15:59:34:646,target,pistol,0s,1,1,1,25,50,0.5,false
44,15:59:35:283,target,pistol,0.225s,2,1,0.5,25,100,0.25,false
45,15:59:35:544,target,pistol,0s,1,1,1,25,50,0.5,false
46,15:59:35:742,target,pistol,0s,1,1,1,25,50,0.5,false
47,15:59:35:939,target,pistol,0s,1,1,1,25,50,0.5,false
48,15:59:36:155,target,pistol,0s,1,1,1,25,50,0.5,false
49,15:59:36:335,target,pistol,0s,1,1,1,25,50,0.5,false
50,15:59:36:526,target,pistol,0s,1,1,1,25,50,0.5,false
51,15:59:36:731,target,pistol,0.001s,1,1,1,25,50,0.5,false
52,15:59:36:922,target,pistol,0s,1,1,1,25,50,0.5,false
53,15:59:37:144,target,pistol,0s,1,1,1,25,50,0.5,false
54,15:59:37:392,target,pistol,0.001s,1,1,1,25,50,0.5,false
55,15:59:37:973,target,pistol,0.374s,2,1,0.5,25,100,0.25,false
56,15:59:38:967,target,pistol,0.197s,2,1,0.5,25,100,0.25,false
57,15:59:39:164,target,pistol,0s,1,1,1,25,50,0.5,false
58,15:59:39:435,target,pistol,0.001s,1,1,1,25,50,0.5,false
59,15:59:39:649,target,pistol,0s,1,1,1,25,50,0.5,false
60,15:59:39:863,target,pistol,0s,1,1,1,25,50,0.5,false
61,15:59:40:163,target,pistol,0s,1,1,1,25,50,0.5,false
62,15:59:40:345,target,pistol,0s,1,1,1,25,50,0.5,false
63,15:59:40:598,target,pistol,0s,1,1,1,25,50,0.5,false
64,15:59:40:809,target,pistol,0s,1,1,1,25,50,0.5,false
65,15:59:41:070,target,pistol,0.001s,1,1,1,25,50,0.5,false
66,15:59:41:768,target,pistol,0.466s,3,1,0.333,25,150,0.167,false
67,15:59:41:945,target,pistol,0s,1,1,1,25,50,0.5,false
68,15:59:42:192,target,pistol,0s,1,1,1,25,50,0.5,false
69,15:59:42:430,target,pistol,0s,1,1,1,25,50,0.5,false
70,15:59:42:647,target,pistol,0s,1,1,1,25,50,0.5,false
71,15:59:42:871,target,pistol,0s,1,1,1,25,50,0.5,false
72,15:59:43:118,target,pistol,0s,1,1,1,25,50,0.5,false
73,15:59:43:346,target,pistol,0.001s,1,1,1,25,50,0.5,false
74,15:59:43:569,target,pistol,0.001s,1,1,1,25,50,0.5,false
75,15:59:43:808,target,pistol,0s,1,1,1,25,50,0.5,false
76,15:59:44:030,target,pistol,0s,1,1,1,25,50,0.5,false
77,15:59:44:261,target,pistol,0s,1,1,1,25,50,0.5,false
78,15:59:44:522,target,pistol,0s,1,1,1,25,50,0.5,false
79,15:59:44:741,target,pistol,0s,1,1,1,25,50,0.5,false
80,15:59:44:975,target,pistol,0s,1,1,1,25,50,0.5,false
81,15:59:45:196,target,pistol,0s,1,1,1,25,50,0.5,false
82,15:59:45:413,target,pistol,0.001s,1,1,1,25,50,0.5,false
83,15:59:45:637,target,pistol,0s,1,1,1,25,50,0.5,false
84,15:59:45:865,target,pistol,0.001s,1,1,1,25,50,0.5,false
85,15:59:46:075,target,pistol,0s,1,1,1,25,50,0.5,false
86,15:59:46:299,target,pistol,0s,1,1,1,25,50,0.5,false
87,15:59:46:499,target,pistol,0s,1,1,1,25,50,0.5,false
88,15:59:46:698,target,pistol,0s,1,1,1,25,50,0.5,false
89,15:59:46:912,target,pistol,0s,1,1,1,25,50,0.5,false
90,15:59:47:587,target,pistol,0.41s,2,1,0.5,25,100,0.25,false
91,15:59:47:841,target,pistol,0s,1,1,1,25,50,0.5,false
92,15:59:48:051,target,pistol,0s,1,1,1,25,50,0.5,false
93,15:59:48:250,target,pistol,0.001s,1,1,1,25,50,0.5,false
94,15:59:48:757,target,pistol,0.254s,2,1,0.5,25,100,0.25,false
95,15:59:48:955,target,pistol,0.001s,1,1,1,25,50,0.5,false
96,15:59:49:227,target,pistol,0s,1,1,1,25,50,0.5,false
97,15:59:49:683,target,pistol,0.189s,2,1,0.5,25,100,0.25,false
98,15:59:49:908,target,pistol,0s,1,1,1,25,50,0.5,false
99,15:59:50:208,target,pistol,0s,1,1,1,25,50,0.5,false
100,15:59:50:392,target,pistol,0.001s,1,1,1,25,50,0.5,false
101,15:59:50:980,target,pistol,0.197s,2,1,0.5,25,100,0.25,false
102,15:59:51:229,target,pistol,0s,1,1,1,25,50,0.5,false
103,15:59:51:795,target,pistol,0.355s,2,1,0.5,25,100,0.25,false
104,15:59:51:993,target,pistol,0s,1,1,1,25,50,0.5,false
105,15:59:52:188,target,pistol,0s,1,1,1,25,50,0.5,false
106,15:59:52:421,target,pistol,0s,1,1,1,25,50,0.5,false
107,15:59:52:613,target,pistol,0.001s,1,1,1,25,50,0.5,false
108,15:59:52:819,target,pistol,0s,1,1,1,25,50,0.5,false
109,15:59:53:031,target,pistol,0s,1,1,1,25,50,0.5,false
110,15:59:53:294,target,pistol,0.001s,1,1,1,25,50,0.5,false
111,15:59:53:855,target,pistol,0.313s,2,1,0.5,25,100,0.25,false
112,15:59:54:087,target,pistol,0s,1,1,1,25,50,0.5,false
113,15:59:54:295,target,pistol,0s,1,1,1,25,50,0.5,false
114,15:59:54:529,target,pistol,0s,1,1,1,25,50,0.5,false
115,15:59:54:738,target,pistol,0s,1,1,1,25,50,0.5,false
116,15:59:55:140,target,pistol,0s,1,1,1,25,50,0.5,false
117,15:59:55:331,target,pistol,0.001s,1,1,1,25,50,0.5,false
118,15:59:55:589,target,pistol,0s,1,1,1,25,50,0.5,false
119,15:59:55:848,target,pistol,0s,1,1,1,25,50,0.5,false
120,15:59:56:043,target,pistol,0s,1,1,1,25,50,0.5,false
121,15:59:56:239,target,pistol,0s,1,1,1,25,50,0.5,false
122,15:59:56:463,target,pistol,0s,1,1,1,25,50,0.5,false
123,15:59:57:097,target,pistol,0.324s,2,1,0.5,25,100,0.25,false
124,15:59:57:318,target,pistol,0s,1,1,1,25,50,0.5,false
125,15:59:57:532,target,pistol,0s,1,1,1,25,50,0.5,false
126,15:59:57:724,target,pistol,0.001s,1,1,1,25,50,0.5,false
127,15:59:58:019,target,pistol,0s,1,1,1,25,50,0.5,false
128,15:59:58:255,target,pistol,0s,1,1,1,25,50,0.5,false
129,15:59:58:489,target,pistol,0s,1,1,1,25,50,0.5,false
130,15:59:58:771,target,pistol,0.001s,1,1,1,25,50,0.5,false
131,15:59:58:954,target,pistol,0s,1,1,1,25,50,0.5,false
132,15:59:59:167,target,pistol,0s,1,1,1,25,50,0.5,false
133,15:59:59:381,target,pistol,0s,1,1,1,25,50,0.5,false
134,15:59:59:597,target,pistol,0s,1,1,1,25,50,0.5,false
135,16:00:00:077,target,pistol,0.267s,2,1,0.5,25,100,0.25,false
136,16:00:00:319,target,pistol,0s,1,1,1,25,50,0.5,false
137,16:00:00:530,target,pistol,0s,1,1,1,25,50,0.5,false
138,16:00:00:750,target,pistol,0.001s,1,1,1,25,50,0.5,false
139,16:00:00:963,target,pistol,0s,1,1,1,25,50,0.5,false
140,16:00:01:171,target,pistol,0s,1,1,1,25,50,0.5,false
141,16:00:01:749,target,pistol,0.338s,2,1,0.5,25,100,0.25,false
142,16:00:01:991,target,pistol,0s,1,1,1,25,50,0.5,false
143,16:00:02:222,target,pistol,0s,1,1,1,25,50,0.5,false
144,16:00:02:478,target,pistol,0s,1,1,1,25,50,0.5,false
145,16:00:02:684,target,pistol,0s,1,1,1,25,50,0.5,false
146,16:00:02:881,target,pistol,0s,1,1,1,25,50,0.5,false
147,16:00:03:114,target,pistol,0s,1,1,1,25,50,0.5,false
148,16:00:03:350,target,pistol,0s,1,1,1,25,50,0.5,false
149,16:00:03:531,target,pistol,0.001s,1,1,1,25,50,0.5,false
150,16:00:03:955,target,pistol,0.186s,2,1,0.5,25,100,0.25,false
151,16:00:04:179,target,pistol,0s,1,1,1,25,50,0.5,false
152,16:00:04:714,target,pistol,0.303s,2,1,0.5,25,100,0.25,false
153,16:00:04:901,target,pistol,0s,1,1,1,25,50,0.5,false
154,16:00:05:112,target,pistol,0s,1,1,1,25,50,0.5,false
