Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:36:35:284,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
2,23:36:35:868,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
3,23:36:36:665,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
4,23:36:37:647,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
5,23:36:38:067,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
6,23:36:38:797,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
7,23:36:39:722,Pigeon,pistol,0.208s,2,1,0.5,50,250,0.2,false
8,23:36:41:179,Pigeon,pistol,0.613s,2,1,0.5,50,250,0.2,false
9,23:36:42:182,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
10,23:36:43:167,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
11,23:36:44:110,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
12,23:36:44:727,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
13,23:36:45:757,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
14,23:36:46:494,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
15,23:36:47:137,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
16,23:36:48:254,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
17,23:36:48:983,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
18,23:36:49:623,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
19,23:36:52:737,Pigeon,pistol,2.454s,4,1,0.25,50,500,0.1,false
20,23:36:55:047,Pigeon,pistol,1.362s,2,1,0.5,50,250,0.2,false
21,23:36:55:672,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
22,23:36:56:659,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
23,23:36:58:417,Pigeon,pistol,0.834s,3,1,0.333,50,375,0.133,false
24,23:36:59:762,Pigeon,pistol,0.389s,2,1,0.5,50,250,0.2,false
25,23:37:00:727,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
26,23:37:01:706,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
27,23:37:05:536,Pigeon,pistol,2.89s,8,1,0.125,50,1000,0.05,false
28,23:37:07:168,Pigeon,pistol,0.535s,2,1,0.5,50,250,0.2,false
29,23:37:08:247,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
30,23:37:09:173,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
31,23:37:10:666,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
32,23:37:11:708,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
33,23:37:13:375,Pigeon,pistol,0.252s,2,1,0.5,50,250,0.2,false
34,23:37:14:352,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
35,23:37:15:307,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
36,23:37:16:380,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
37,23:37:18:207,Pigeon,pistol,1.022s,2,1,0.5,50,250,0.2,false
38,23:37:19:104,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
39,23:37:20:522,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
40,23:37:20:946,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
41,23:37:21:803,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
42,23:37:23:179,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
43,23:37:25:860,Pigeon,pistol,2.182s,5,1,0.2,50,625,0.08,false
44,23:37:27:187,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
45,23:37:28:116,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
46,23:37:29:784,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
47,23:37:30:847,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
48,23:37:31:438,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
49,23:37:32:944,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
50,23:37:33:818,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
51,23:37:35:164,Pigeon,pistol,0.876s,2,1,0.5,50,250,0.2,false
52,23:37:37:637,Pigeon,pistol,1.776s,3,1,0.333,50,375,0.133,false
53,23:37:38:296,Pigeon,pistol,0.001s,1,1,1,50,125,0.4,false
54,23:37:39:882,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
55,23:37:40:322,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
56,23:37:41:078,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
57,23:37:41:825,Pigeon,pistol,0s,1,1,1,50,125,0.4,false
58,23:37:44:430,Pigeon,pistol,1.464s,3,1,0.333,50,375,0.133,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,86,58,2900.0,10750.0,

Kills:,58
Deaths:,0
Fight Time:,16.870001
Avg TTK:,0.291
Damage Done:,2900.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,39.11628
Scenario:,Bounce 180
Hash:,28c00569c77cdbb9a321ffb8a8363220
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
