Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:18:54:110,Quaker Bot Long Strafes,LG,4.459s,98,50,0.51,300,588,0.51,false
2,19:19:01:387,Quaker Bot Long Strafes,LG,5.289s,116,50,0.431,300,696,0.431,false
3,19:19:08:069,Quaker Bot Long Strafes,LG,6.408s,108,50,0.463,300,648,0.463,false
4,19:19:16:101,Quaker Bot Long Strafes,LG,7.78s,129,50,0.388,300,774,0.388,false
5,19:19:22:485,Quaker Bot Long Strafes,LG,4.322s,95,50,0.526,300,570,0.526,false
6,19:19:28:696,Quaker Bot Long Strafes,LG,4.001s,88,50,0.568,300,528,0.568,false
7,19:19:37:766,Quaker Bot Long Strafes,LG,7.176s,157,50,0.318,300,942,0.318,false
8,19:19:44:356,Quaker Bot Long Strafes,LG,4.46s,98,50,0.51,300,588,0.51,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,955,438,2628.0,5730.0,

Kills:,8
Deaths:,0
Fight Time:,43.895
Avg TTK:,5.487
Damage Done:,2628.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,7884.0
Scenario:,Close Long Strafes
Hash:,83561ba3083cb7b6cb2b283139537f55
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
