Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:38:18:809,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
2,21:38:19:879,Balloon,Pressure BB Gun,0.537s,2,1,0.5,2,4,0.5,false
3,21:38:20:699,Balloon,Pressure BB Gun,0.268s,2,1,0.5,2,4,0.5,false
4,21:38:21:274,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
5,21:38:21:714,Balloon,Pressure BB Gun,0.243s,2,1,0.5,2,4,0.5,false
6,21:38:21:916,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
7,21:38:22:123,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
8,21:38:22:429,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
9,21:38:23:211,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
10,21:38:23:741,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
11,21:38:24:177,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
12,21:38:24:662,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
13,21:38:25:099,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
14,21:38:25:358,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
15,21:38:25:788,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
16,21:38:26:719,Balloon,Pressure BB Gun,0.429s,2,1,0.5,2,4,0.5,false
17,21:38:27:450,Balloon,Pressure BB Gun,0.363s,2,1,0.5,2,4,0.5,false
18,21:38:27:646,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
19,21:38:27:816,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
20,21:38:28:299,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
21,21:38:28:823,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
22,21:38:29:407,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
23,21:38:29:862,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
24,21:38:30:323,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
25,21:38:30:789,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
26,21:38:31:163,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
27,21:38:31:557,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
28,21:38:31:871,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
29,21:38:32:439,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
