Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:17:02:255,Quaker Bot Hard,LG,6.991s,153,50,0.327,300,918,0.327,false
2,23:17:11:298,Quaker Bot Hard,LG,6.482s,142,50,0.352,300,852,0.352,false
3,23:17:19:107,Quaker Bot Hard,LG,5.333s,117,50,0.427,300,702,0.427,false
4,23:17:27:201,Quaker Bot Hard,LG,5.563s,122,50,0.41,300,732,0.41,false
5,23:17:36:391,Quaker Bot Hard,LG,6.713s,147,50,0.34,300,882,0.34,false
6,23:17:44:136,Quaker Bot Hard,LG,5.101s,112,50,0.446,300,672,0.446,false
7,23:17:53:754,Quaker Bot Hard,LG,6.899s,151,50,0.331,300,906,0.331,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,944,350,2100.0,5664.0,

Kills:,7
Deaths:,0
Fight Time:,43.082001
Avg TTK:,6.155
Damage Done:,2100.0
Damage Taken:,2502.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,140.475159
Score:,1871.980957
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
