Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:59:43:948,target,BB Gun,0s,1,1,1,1,1,1,false
2,23:59:44:666,target,BB Gun,0.547s,2,1,0.5,1,2,0.5,false
3,23:59:45:518,target,BB Gun,0.657s,2,1,0.5,1,2,0.5,false
4,23:59:46:398,target,BB Gun,0.699s,2,1,0.5,1,2,0.5,false
5,23:59:46:694,400ms,BB Gun,0s,1,1,1,1,1,1,false
6,23:59:47:351,target,BB Gun,0s,1,1,1,1,1,1,false
7,23:59:48:352,target,BB Gun,0s,1,1,1,1,1,1,false
8,23:59:49:329,target,BB Gun,0.796s,2,1,0.5,1,2,0.5,false
9,23:59:49:524,400ms,BB Gun,0s,1,1,1,1,1,1,false
10,23:59:50:252,target,BB Gun,0s,1,1,1,1,1,1,false
11,23:59:51:197,target,BB Gun,0.756s,2,1,0.5,1,2,0.5,false
12,23:59:51:405,400ms,BB Gun,0s,1,1,1,1,1,1,false
13,23:59:52:045,target,BB Gun,0s,1,1,1,1,1,1,false
14,23:59:53:004,target,BB Gun,0s,1,1,1,1,1,1,false
15,23:59:53:208,400ms,BB Gun,0s,1,1,1,1,1,1,false
16,23:59:53:889,target,BB Gun,0s,1,1,1,1,1,1,false
17,23:59:54:107,400ms,BB Gun,0s,1,1,1,1,1,1,false
18,23:59:54:773,target,BB Gun,0s,1,1,1,1,1,1,false
19,23:59:54:959,400ms,BB Gun,0s,1,1,1,1,1,1,false
20,23:59:55:784,target,BB Gun,0.143s,2,1,0.5,1,2,0.5,false
21,23:59:56:660,target,BB Gun,0.629s,2,1,0.5,1,2,0.5,false
22,23:59:57:591,target,BB Gun,0.741s,2,1,0.5,1,2,0.5,false
23,23:59:58:536,target,BB Gun,0.774s,2,1,0.5,1,2,0.5,false
24,23:59:58:713,400ms,BB Gun,0s,1,1,1,1,1,1,false
25,23:59:59:398,target,BB Gun,0s,1,1,1,1,1,1,false
26,00:00:00:288,target,BB Gun,0.658s,2,1,0.5,1,2,0.5,false
27,00:00:01:358,target,BB Gun,0.811s,2,1,0.5,1,2,0.5,false
28,00:00:03:336,target,BB Gun,0.913s,3,1,0.333,1,3,0.333,false
29,00:00:04:234,target,BB Gun,0.722s,2,1,0.5,1,2,0.5,false
30,00:00:04:419,400ms,BB Gun,0s,1,1,1,1,1,1,false
31,00:00:05:068,target,BB Gun,0s,1,1,1,1,1,1,false
32,00:00:05:953,target,BB Gun,0.676s,2,1,0.5,1,2,0.5,false
33,00:00:06:166,400ms,BB Gun,0s,1,1,1,1,1,1,false
34,00:00:06:838,target,BB Gun,0s,1,1,1,1,1,1,false
35,00:00:07:778,target,BB Gun,0.704s,2,1,0.5,1,2,0.5,false
36,00:00:07:991,400ms,BB Gun,0s,1,1,1,1,1,1,false
37,00:00:08:704,target,BB Gun,0s,1,1,1,1,1,1,false
38,00:00:08:913,400ms,BB Gun,0s,1,1,1,1,1,1,false
39,00:00:09:640,target,BB Gun,0s,1,1,1,1,1,1,false
40,00:00:10:516,target,BB Gun,0.673s,2,1,0.5,1,2,0.5,false
41,00:00:10:703,400ms,BB Gun,0s,1,1,1,1,1,1,false
42,00:00:11:305,target,BB Gun,0s,1,1,1,1,1,1,false
43,00:00:11:546,400ms,BB Gun,0s,1,1,1,1,1,1,false
44,00:00:12:282,target,BB Gun,0s,1,1,1,1,1,1,false
45,00:00:13:186,target,BB Gun,0.648s,2,1,0.5,1,2,0.5,false
46,00:00:14:114,target,BB Gun,0.71s,2,1,0.5,1,2,0.5,false
47,00:00:15:063,target,BB Gun,0.703s,2,1,0.5,1,2,0.5,false
48,00:00:15:267,400ms,BB Gun,0.001s,1,1,1,1,1,1,false
49,00:00:15:979,target,BB Gun,0s,1,1,1,1,1,1,false
50,00:00:16:161,400ms,BB Gun,0s,1,1,1,1,1,1,false
51,00:00:16:814,target,BB Gun,0s,1,1,1,1,1,1,false
52,00:00:17:773,target,BB Gun,0.792s,2,1,0.5,1,2,0.5,false
53,00:00:18:749,target,BB Gun,0.764s,2,1,0.5,1,2,0.5,false
54,00:00:18:945,400ms,BB Gun,0s,1,1,1,1,1,1,false
55,00:00:19:648,target,BB Gun,0s,1,1,1,1,1,1,false
56,00:00:21:586,target,BB Gun,1.698s,4,1,0.25,1,4,0.25,false
57,00:00:22:582,target,BB Gun,0.777s,2,1,0.5,1,2,0.5,false
