Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:58:59:284,target,BB Gun,0s,1,1,1,1,1,1,false
2,22:58:59:475,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
3,22:59:00:263,target,BB Gun,0s,1,1,1,1,1,1,false
4,22:59:00:472,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
5,22:59:01:213,target,BB Gun,0s,1,1,1,1,1,1,false
6,22:59:02:362,target,BB Gun,0.914s,2,1,0.5,1,2,0.5,false
7,22:59:02:578,500ms,BB Gun,0s,1,1,1,1,1,1,false
8,22:59:03:388,target,BB Gun,0s,1,1,1,1,1,1,false
9,22:59:03:604,500ms,BB Gun,0s,1,1,1,1,1,1,false
10,22:59:04:419,target,BB Gun,0s,1,1,1,1,1,1,false
11,22:59:04:559,500ms,BB Gun,0s,1,1,1,1,1,1,false
12,22:59:05:361,target,BB Gun,0s,1,1,1,1,1,1,false
13,22:59:06:512,target,BB Gun,0.928s,2,1,0.5,1,2,0.5,false
14,22:59:07:882,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
15,22:59:08:743,target,BB Gun,0s,1,1,1,1,1,1,false
16,22:59:08:878,500ms,BB Gun,0s,1,1,1,1,1,1,false
17,22:59:09:687,target,BB Gun,0s,1,1,1,1,1,1,false
18,22:59:09:890,500ms,BB Gun,0s,1,1,1,1,1,1,false
19,22:59:10:687,target,BB Gun,0s,1,1,1,1,1,1,false
20,22:59:10:891,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
21,22:59:11:718,target,BB Gun,0s,1,1,1,1,1,1,false
22,22:59:12:830,target,BB Gun,0.865s,2,1,0.5,1,2,0.5,false
23,22:59:13:070,500ms,BB Gun,0s,1,1,1,1,1,1,false
24,22:59:13:835,target,BB Gun,0s,1,1,1,1,1,1,false
25,22:59:14:002,500ms,BB Gun,0s,1,1,1,1,1,1,false
26,22:59:14:828,target,BB Gun,0s,1,1,1,1,1,1,false
27,22:59:15:019,500ms,BB Gun,0s,1,1,1,1,1,1,false
28,22:59:15:789,target,BB Gun,0s,1,1,1,1,1,1,false
29,22:59:16:030,500ms,BB Gun,0s,1,1,1,1,1,1,false
30,22:59:16:851,target,BB Gun,0s,1,1,1,1,1,1,false
31,22:59:17:994,target,BB Gun,0.971s,2,1,0.5,1,2,0.5,false
32,22:59:18:161,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
33,22:59:20:079,target,BB Gun,1.128s,3,1,0.333,1,3,0.333,false
34,22:59:20:264,500ms,BB Gun,0s,1,1,1,1,1,1,false
35,22:59:21:170,target,BB Gun,0.001s,1,1,1,1,1,1,false
36,22:59:21:317,500ms,BB Gun,0s,1,1,1,1,1,1,false
37,22:59:22:119,target,BB Gun,0s,1,1,1,1,1,1,false
38,22:59:22:297,500ms,BB Gun,0s,1,1,1,1,1,1,false
39,22:59:23:107,target,BB Gun,0s,1,1,1,1,1,1,false
40,22:59:23:317,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
41,22:59:24:062,target,BB Gun,0s,1,1,1,1,1,1,false
42,22:59:24:234,500ms,BB Gun,0s,1,1,1,1,1,1,false
43,22:59:25:006,target,BB Gun,0.001s,1,1,1,1,1,1,false
44,22:59:26:204,target,BB Gun,1.039s,3,1,0.333,1,3,0.333,false
45,22:59:26:376,500ms,BB Gun,0s,1,1,1,1,1,1,false
46,22:59:27:191,target,BB Gun,0s,1,1,1,1,1,1,false
47,22:59:28:359,target,BB Gun,0.996s,2,1,0.5,1,2,0.5,false
48,22:59:28:557,500ms,BB Gun,0s,1,1,1,1,1,1,false
49,22:59:29:341,target,BB Gun,0s,1,1,1,1,1,1,false
50,22:59:30:516,target,BB Gun,0.941s,2,1,0.5,1,2,0.5,false
51,22:59:30:725,500ms,BB Gun,0s,1,1,1,1,1,1,false
52,22:59:31:596,target,BB Gun,0s,1,1,1,1,1,1,false
53,22:59:32:696,target,BB Gun,0.729s,2,1,0.5,1,2,0.5,false
54,22:59:32:826,500ms,BB Gun,0s,1,1,1,1,1,1,false
55,22:59:33:601,target,BB Gun,0s,1,1,1,1,1,1,false
56,22:59:33:791,500ms,BB Gun,0s,1,1,1,1,1,1,false
57,22:59:34:568,target,BB Gun,0s,1,1,1,1,1,1,false
58,22:59:35:542,target,BB Gun,0.759s,2,1,0.5,1,2,0.5,false
59,22:59:35:833,500ms,BB Gun,0s,1,1,1,1,1,1,false
60,22:59:36:691,target,BB Gun,0s,1,1,1,1,1,1,false
61,22:59:37:796,target,BB Gun,0s,1,1,1,1,1,1,false
62,22:59:37:936,500ms,BB Gun,0s,1,1,1,1,1,1,false
63,22:59:38:814,target,BB Gun,0s,1,1,1,1,1,1,false
64,22:59:39:920,target,BB Gun,0.847s,2,1,0.5,1,2,0.5,false
65,22:59:41:059,target,BB Gun,0.703s,2,1,0.5,1,2,0.5,false
66,22:59:42:139,target,BB Gun,0.858s,2,1,0.5,1,2,0.5,false
67,22:59:42:405,500ms,BB Gun,0s,1,1,1,1,1,1,false
68,22:59:43:238,target,BB Gun,0s,1,1,1,1,1,1,false
69,22:59:43:429,500ms,BB Gun,0s,1,1,1,1,1,1,false
70,22:59:44:169,target,BB Gun,0s,1,1,1,1,1,1,false
71,22:59:45:200,target,BB Gun,0.778s,2,1,0.5,1,2,0.5,false
72,22:59:45:517,500ms,BB Gun,0s,1,1,1,1,1,1,false
73,22:59:46:339,target,BB Gun,0.001s,1,1,1,1,1,1,false
74,22:59:46:560,500ms,BB Gun,0s,1,1,1,1,1,1,false
75,22:59:47:333,target,BB Gun,0s,1,1,1,1,1,1,false
76,22:59:47:550,500ms,BB Gun,0s,1,1,1,1,1,1,false
77,22:59:48:289,target,BB Gun,0s,1,1,1,1,1,1,false
78,22:59:48:517,500ms,BB Gun,0s,1,1,1,1,1,1,false
79,22:59:49:263,target,BB Gun,0s,1,1,1,1,1,1,false
80,22:59:49:454,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
81,22:59:50:212,target,BB Gun,0s,1,1,1,1,1,1,false
82,22:59:51:167,target,BB Gun,0.768s,2,1,0.5,1,2,0.5,false
83,22:59:52:299,target,BB Gun,0.837s,2,1,0.5,1,2,0.5,false
84,22:59:53:737,target,BB Gun,1.145s,2,1,0.5,1,2,0.5,false
85,22:59:54:944,target,BB Gun,1.009s,2,1,0.5,1,2,0.5,false
86,22:59:55:166,500ms,BB Gun,0s,1,1,1,1,1,1,false
87,22:59:55:875,target,BB Gun,0s,1,1,1,1,1,1,false
88,22:59:56:085,500ms,BB Gun,0s,1,1,1,1,1,1,false
89,22:59:56:874,target,BB Gun,0s,1,1,1,1,1,1,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
BB Gun,110,89,89.0,110.0,

Kills:,89
Deaths:,0
Fight Time:,16.225
Avg TTK:,0.182
Damage Done:,89.0
Damage Taken:,22.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,67.0
Scenario:,Target Acquisition Flick Easy
Hash:,41a7aeac254747ac7689972dec3e4c36
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
