Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:03:42:980,smooth_1,Track Master 100,9.897s,991,600,0.605,600,991,0.605,false
2,19:04:02:926,smooth_2,Track Master 100,19.694s,1804,1000,0.554,1000,1804,0.554,false
3,19:04:37:003,smooth_3,Track Master 100,31.949s,3196,900,0.282,900,3196,0.282,false
4,19:05:00:624,smooth_4,Track Master 100,23.363s,2159,1000,0.463,1000,2159,0.463,false
5,19:05:35:873,smooth_5,Track Master 100,34.998s,3326,700,0.21,700,3326,0.21,false
6,19:05:58:653,smooth_6,Track Master 100,22.525s,2087,500,0.24,500,2087,0.24,false
7,19:06:52:112,smooth_7,Track Master 100,53.201s,3853,700,0.182,700,3853,0.182,false
8,19:07:18:471,smooth_8,Track Master 100,26.334s,2452,400,0.163,400,2452,0.163,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
Track Master 100,19869,5801,5801.0,19869.0,

Kills:,8
Deaths:,0
Fight Time:,221.960999
Avg TTK:,27.745
Damage Done:,5801.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,785.659302
Scenario:,Thin Gauntlet
Hash:,c9ac12b07df37670e1fe392eafd263d9
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
