Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:58:27:072,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.219s,2,1,0.5,100,400,0.25,false
2,19:58:27:539,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.31s,2,1,0.5,100,400,0.25,false
3,19:58:27:805,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
4,19:58:28:025,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
5,19:58:28:266,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
6,19:58:28:509,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
7,19:58:28:769,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
8,19:58:29:135,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
9,19:58:29:716,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.377s,2,1,0.5,100,400,0.25,false
10,19:58:30:029,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
11,19:58:30:226,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
12,19:58:30:431,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
13,19:58:30:675,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
14,19:58:30:952,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
15,19:58:31:201,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
16,19:58:31:423,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
17,19:58:31:879,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.236s,2,1,0.5,100,400,0.25,false
18,19:58:32:149,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
19,19:58:32:768,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.41s,2,1,0.5,100,400,0.25,false
20,19:58:32:963,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
21,19:58:33:170,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
22,19:58:33:407,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
23,19:58:33:686,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
24,19:58:34:288,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.298s,2,1,0.5,100,400,0.25,false
25,19:58:34:503,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
26,19:58:34:819,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
27,19:58:35:481,TileFrenzyStrafing Cube,TileFrenzy Challenge,0.355s,2,1,0.5,100,400,0.25,false
28,19:58:35:695,TileFrenzyStrafing Cube,TileFrenzy Challenge,0s,1,1,1,100,200,0.5,false
