Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:36:17:498,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
2,19:36:18:849,Quaker Bot Long Strafes,MG,0.904s,70,40,0.571,80,140,0.571,false
3,19:36:19:774,Quaker Bot Long Strafes,MG,0.204s,40,40,1,80,80,1,false
4,19:36:20:810,Quaker Bot Long Strafes,MG,0.274s,50,40,0.8,80,100,0.8,false
5,19:36:21:771,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
6,19:36:22:768,Quaker Bot Long Strafes,MG,0.416s,70,40,0.571,80,140,0.571,false
7,19:36:23:795,Quaker Bot Long Strafes,MG,0.556s,90,40,0.444,80,180,0.444,false
8,19:36:24:836,Quaker Bot Long Strafes,MG,0.555s,90,40,0.444,80,180,0.444,false
9,19:36:25:842,Quaker Bot Long Strafes,MG,0.416s,70,40,0.571,80,140,0.571,false
10,19:36:26:684,Quaker Bot Long Strafes,MG,0.416s,70,40,0.571,80,140,0.571,false
11,19:36:27:789,Quaker Bot Long Strafes,MG,0.625s,100,40,0.4,80,200,0.4,false
12,19:36:28:664,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
13,19:36:29:690,Quaker Bot Long Strafes,MG,0.345s,60,40,0.667,80,120,0.667,false
14,19:36:30:751,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
15,19:36:32:107,Quaker Bot Long Strafes,MG,0.954s,100,70,0.7,130,200,0.65,false
16,19:36:33:254,Quaker Bot Long Strafes,MG,0.751s,60,40,0.667,80,120,0.667,false
17,19:36:33:641,Quaker Bot Long Strafes,MG,0s,10,10,1,20,20,1,false
18,19:36:34:403,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
19,19:36:35:175,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
20,19:36:35:842,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
21,19:36:36:808,Quaker Bot Long Strafes,MG,0.484s,80,40,0.5,80,160,0.5,false
22,19:36:37:520,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
23,19:36:38:246,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
24,19:36:39:207,Quaker Bot Long Strafes,MG,0.204s,40,40,1,80,80,1,false
25,19:36:40:172,Quaker Bot Long Strafes,MG,0.415s,70,40,0.571,80,140,0.571,false
26,19:36:41:093,Quaker Bot Long Strafes,MG,0.415s,70,40,0.571,80,140,0.571,false
27,19:36:42:139,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
28,19:36:43:409,Quaker Bot Long Strafes,MG,0.624s,100,40,0.4,80,200,0.4,false
29,19:36:43:976,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
30,19:36:44:971,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
31,19:36:45:803,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
32,19:36:46:683,Quaker Bot Long Strafes,MG,0.485s,80,40,0.5,80,160,0.5,false
33,19:36:47:254,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
34,19:36:48:286,Quaker Bot Long Strafes,MG,0.486s,80,40,0.5,80,160,0.5,false
35,19:36:49:122,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
36,19:36:49:848,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
37,19:36:50:719,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
38,19:36:51:574,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
39,19:36:52:046,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
40,19:36:52:596,Quaker Bot Long Strafes,MG,0.275s,50,50,1,80,100,0.8,false
41,19:36:53:202,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
42,19:36:53:932,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
43,19:36:54:558,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
44,19:36:55:375,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
45,19:36:56:085,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
46,19:36:56:912,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
47,19:36:57:579,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
48,19:36:58:319,Quaker Bot Long Strafes,MG,0.344s,60,40,0.667,80,120,0.667,false
49,19:36:59:619,Quaker Bot Long Strafes,MG,0.953s,90,60,0.667,120,180,0.667,false
50,19:37:00:121,Quaker Bot Long Strafes,MG,0.065s,20,20,1,40,40,1,false
51,19:37:01:017,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
52,19:37:02:312,Quaker Bot Long Strafes,MG,0.811s,60,40,0.667,80,120,0.667,false
53,19:37:03:248,Quaker Bot Long Strafes,MG,0.416s,70,40,0.571,80,140,0.571,false
54,19:37:04:639,Quaker Bot Long Strafes,MG,0.9s,70,40,0.571,80,140,0.571,false
55,19:37:05:266,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
56,19:37:05:921,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
57,19:37:07:082,Quaker Bot Long Strafes,MG,0.485s,80,40,0.5,80,160,0.5,false
58,19:37:07:689,Quaker Bot Long Strafes,MG,0.275s,50,40,0.8,80,100,0.8,false
59,19:37:08:324,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
60,19:37:09:589,Quaker Bot Long Strafes,MG,0.725s,110,40,0.364,80,220,0.364,false
61,19:37:10:645,Quaker Bot Long Strafes,MG,0.206s,40,40,1,80,80,1,false
62,19:37:11:506,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
63,19:37:12:177,Quaker Bot Long Strafes,MG,0.345s,60,40,0.667,80,120,0.667,false
64,19:37:13:003,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
65,19:37:13:995,Quaker Bot Long Strafes,MG,0.346s,60,40,0.667,80,120,0.667,false
66,19:37:14:785,Quaker Bot Long Strafes,MG,0.275s,50,50,1,80,100,0.8,false
67,19:37:15:710,Quaker Bot Long Strafes,MG,0.205s,40,40,1,80,80,1,false
68,19:37:16:450,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,3770,2740,5430.0,7540.0,

Kills:,68
Deaths:,0
Fight Time:,23.909
Avg TTK:,0.352
Damage Done:,5430.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,4.125
Score:,5430.0
Scenario:,patTargetSwitch
Hash:,138da03b852e8501f54ae0187816ee28
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,200.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,103.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
