Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:35:49:194,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
2,23:35:50:367,Quaker Bot Long Strafes,MG,0.559s,90,40,0.444,80,180,0.444,false
3,23:35:51:465,Quaker Bot Long Strafes,MG,0.28s,50,40,0.8,80,100,0.8,false
4,23:35:52:671,Quaker Bot Long Strafes,MG,0.421s,70,40,0.571,80,140,0.571,false
5,23:35:53:485,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
6,23:35:56:196,Quaker Bot Long Strafes,MG,2.1s,130,40,0.308,80,260,0.308,false
7,23:35:57:398,Quaker Bot Long Strafes,MG,0.636s,60,40,0.667,80,120,0.667,false
8,23:35:58:460,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
9,23:36:01:776,Quaker Bot Long Strafes,MG,2.305s,180,40,0.222,80,360,0.222,false
10,23:36:04:572,Quaker Bot Long Strafes,MG,2.324s,130,40,0.308,80,260,0.308,false
11,23:36:05:532,Quaker Bot Long Strafes,MG,0.488s,80,40,0.5,80,160,0.5,false
12,23:36:06:853,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
13,23:36:07:532,Quaker Bot Long Strafes,MG,0.209s,40,40,1,80,80,1,false
14,23:36:08:777,Quaker Bot Long Strafes,MG,0.56s,90,40,0.444,80,180,0.444,false
15,23:36:09:569,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
16,23:36:10:547,Quaker Bot Long Strafes,MG,0.347s,60,40,0.667,80,120,0.667,false
17,23:36:11:882,Quaker Bot Long Strafes,MG,0.7s,110,40,0.364,80,220,0.364,false
18,23:36:12:705,Quaker Bot Long Strafes,MG,0.278s,50,40,0.8,80,100,0.8,false
19,23:36:13:671,Quaker Bot Long Strafes,MG,0.276s,50,40,0.8,80,100,0.8,false
20,23:36:14:618,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
21,23:36:15:988,Quaker Bot Long Strafes,MG,1.085s,90,40,0.444,80,180,0.444,false
22,23:36:17:050,Quaker Bot Long Strafes,MG,0.485s,80,40,0.5,80,160,0.5,false
23,23:36:17:897,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
24,23:36:18:933,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
25,23:36:20:622,Quaker Bot Long Strafes,MG,1.046s,60,40,0.667,80,120,0.667,false
26,23:36:21:755,Quaker Bot Long Strafes,MG,0.35s,60,40,0.667,80,120,0.667,false
27,23:36:23:559,Quaker Bot Long Strafes,MG,0.84s,130,50,0.385,80,260,0.308,false
28,23:36:26:475,Quaker Bot Long Strafes,MG,2.293s,130,40,0.308,80,260,0.308,false
29,23:36:27:784,Quaker Bot Long Strafes,MG,0.56s,90,40,0.444,80,180,0.444,false
30,23:36:28:660,Quaker Bot Long Strafes,MG,0.282s,50,40,0.8,80,100,0.8,false
31,23:36:29:949,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
32,23:36:30:663,Quaker Bot Long Strafes,MG,0.207s,40,40,1,80,80,1,false
33,23:36:32:285,Quaker Bot Long Strafes,MG,1.025s,60,40,0.667,80,120,0.667,false
34,23:36:33:320,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
35,23:36:34:733,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
36,23:36:35:798,Quaker Bot Long Strafes,MG,0.42s,70,40,0.571,80,140,0.571,false
37,23:36:37:168,Quaker Bot Long Strafes,MG,0.698s,110,40,0.364,80,220,0.364,false
38,23:36:38:252,Quaker Bot Long Strafes,MG,0.489s,80,40,0.5,80,160,0.5,false
39,23:36:39:407,Quaker Bot Long Strafes,MG,0.626s,100,40,0.4,80,200,0.4,false
40,23:36:40:562,Quaker Bot Long Strafes,MG,0.631s,100,40,0.4,80,200,0.4,false
41,23:36:41:725,Quaker Bot Long Strafes,MG,0.627s,100,40,0.4,80,200,0.4,false
42,23:36:42:883,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
43,23:36:43:875,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,80,120,0.667,false
44,23:36:45:000,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
45,23:36:46:320,Quaker Bot Long Strafes,MG,0.627s,100,40,0.4,80,200,0.4,false
46,23:36:47:665,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
MG,3530,1850,3680.0,7060.0,

Kills:,46
Deaths:,0
Fight Time:,28.927
Avg TTK:,0.629
Damage Done:,3680.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,3680.0
Scenario:,patTargetSwitch Small
Hash:,9ac25e990d17b6591768dafbd72f026b
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
