Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:25:39:165,Pigeon4,pistol,1.429s,2,1,0.5,100,400,0.25,false
2,23:25:40:701,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
3,23:25:41:569,Pigeon5,pistol,0.001s,1,1,1,100,200,0.5,false
4,23:25:43:529,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
5,23:25:48:945,Pigeon2,pistol,4.31s,4,1,0.25,100,800,0.125,false
6,23:25:50:830,Pigeon4,pistol,0s,1,1,1,100,200,0.5,false
7,23:25:51:726,Pigeon2,pistol,0s,1,1,1,100,200,0.5,false
8,23:25:58:906,Pigeon2,pistol,6.24s,5,1,0.2,100,1000,0.1,false
9,23:26:04:655,Pigeon4,pistol,4.703s,4,1,0.25,100,800,0.125,false
10,23:26:07:419,Pigeon2,pistol,1.395s,2,1,0.5,100,400,0.25,false
11,23:26:14:544,Pigeon3,pistol,4.439s,3,1,0.333,100,600,0.167,false
12,23:26:23:570,Pigeon,pistol,7.7s,5,1,0.2,100,1000,0.1,false
13,23:26:34:659,Pigeon,pistol,9.731s,8,1,0.125,100,1600,0.062,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
pistol,39,13,1300.0,7800.0,

Kills:,13
Deaths:,0
Fight Time:,39.948002
Avg TTK:,3.073
Damage Done:,1300.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,0.0
Score:,130.0
Scenario:,Popcorn Sparky
Hash:,49dbf5ac7aeb2cf0c06533f2384ff4de
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,216.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
