Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,02:00:11:019,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
2,02:00:12:211,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
3,02:00:12:602,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
4,02:00:12:849,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
5,02:00:13:349,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
6,02:00:13:742,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
7,02:00:13:963,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
8,02:00:14:386,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
9,02:00:14:863,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
10,02:00:15:448,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
11,02:00:15:914,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
12,02:00:16:419,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
13,02:00:17:066,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
14,02:00:17:423,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
15,02:00:17:589,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
16,02:00:18:103,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
17,02:00:18:480,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
18,02:00:18:956,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
19,02:00:19:502,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
20,02:00:20:128,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
21,02:00:20:578,Balloon,Pressure BB Gun,0.296s,2,1,0.5,2,4,0.5,false
22,02:00:21:044,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
23,02:00:21:347,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
24,02:00:21:609,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
25,02:00:23:152,Balloon,Pressure BB Gun,0.725s,2,1,0.5,2,4,0.5,false
26,02:00:23:606,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
27,02:00:24:137,Balloon,Pressure BB Gun,0.394s,3,1,0.333,2,6,0.333,false
28,02:00:24:949,Balloon,Pressure BB Gun,0.457s,3,1,0.333,2,6,0.333,false
29,02:00:25:289,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
30,02:00:25:648,Balloon,Pressure BB Gun,0.246s,2,1,0.5,2,4,0.5,false
31,02:00:26:049,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
32,02:00:26:855,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
33,02:00:27:270,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
34,02:00:27:474,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
35,02:00:27:932,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
36,02:00:28:256,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
37,02:00:29:189,Balloon,Pressure BB Gun,0.379s,2,1,0.5,2,4,0.5,false
38,02:00:29:843,Balloon,Pressure BB Gun,0.308s,2,1,0.5,2,4,0.5,false
39,02:00:30:444,Balloon,Pressure BB Gun,0.15s,2,1,0.5,2,4,0.5,false
40,02:00:30:926,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
41,02:00:31:084,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
42,02:00:31:599,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
43,02:00:32:074,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
44,02:00:32:370,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
45,02:00:32:960,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
46,02:00:33:335,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
47,02:00:33:832,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
48,02:00:34:366,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
49,02:00:35:143,Balloon,Pressure BB Gun,0.237s,2,1,0.5,2,4,0.5,false
50,02:00:35:815,Balloon,Pressure BB Gun,0.312s,2,1,0.5,2,4,0.5,false
51,02:00:35:984,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
52,02:00:36:450,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
53,02:00:36:610,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
54,02:00:37:203,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
55,02:00:37:719,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
56,02:00:38:442,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
57,02:00:38:921,Balloon,Pressure BB Gun,0.001s,1,1,1,2,2,1,false
58,02:00:39:446,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
59,02:00:39:862,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
60,02:00:40:276,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
61,02:00:40:637,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
62,02:00:41:130,Balloon,Pressure BB Gun,0s,1,1,1,2,2,1,false
