Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:47:12:061,Quaker Bot Hard,LG,9.932s,217,50,0.23,300,1302,0.23,false
2,23:47:23:624,Quaker Bot Hard,LG,11.302s,199,50,0.251,300,1194,0.251,false
3,23:47:32:862,Quaker Bot Hard,LG,6.631s,138,50,0.362,300,828,0.362,false
4,23:48:29:904,Quaker Bot Hard,LG,56.782s,195,50,0.256,300,1170,0.256,false
5,23:48:39:288,Quaker Bot Hard,LG,6.894s,151,50,0.331,300,906,0.331,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,1006,278,1668.0,6036.0,

Kills:,5
Deaths:,0
Fight Time:,91.541
Avg TTK:,18.308
Damage Done:,1668.0
Damage Taken:,2442.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,302.305145
Score:,1045.401611
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,150.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
