Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,23:23:36:326,Quaker Bot Hard,LG,5.516s,121,50,0.413,300,726,0.413,false
2,23:23:44:612,Quaker Bot Hard,LG,5.565s,122,50,0.41,300,732,0.41,false
3,23:23:52:317,Quaker Bot Hard,LG,5.057s,111,50,0.45,300,666,0.45,false
4,23:23:59:917,Quaker Bot Hard,LG,4.919s,108,50,0.463,300,648,0.463,false
5,23:24:09:091,Quaker Bot Hard,LG,6.716s,147,50,0.34,300,882,0.34,false
6,23:24:18:561,Quaker Bot Hard,LG,6.945s,152,50,0.329,300,912,0.329,false
7,23:24:27:783,Quaker Bot Hard,LG,8.948s,148,50,0.338,300,888,0.338,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,916,352,2112.0,5496.0,

Kills:,7
Deaths:,0
Fight Time:,43.666
Avg TTK:,6.238
Damage Done:,2112.0
Damage Taken:,2334.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,131.213959
Score:,1986.340698
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,160.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
