Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,00:47:06:077,Quaker Bot Hard,LG,6.576s,144,50,0.347,300,864,0.347,false
2,00:47:16:063,Quaker Bot Hard,LG,9.709s,167,50,0.299,300,1002,0.299,false
3,00:47:23:920,Quaker Bot Hard,LG,7.58s,119,50,0.42,300,714,0.42,false
4,00:47:33:847,Quaker Bot Hard,LG,9.651s,162,50,0.309,300,972,0.309,false
5,00:47:43:662,Quaker Bot Hard,LG,9.54s,162,50,0.309,300,972,0.309,false
6,00:47:52:144,Quaker Bot Hard,LG,8.205s,130,50,0.385,300,780,0.385,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,977,329,1974.0,5862.0,

Kills:,6
Deaths:,0
Fight Time:,51.261002
Avg TTK:,8.543
Damage Done:,1974.0
Damage Taken:,2604.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Distance Traveled:,664.033691
Score:,1555.762573
Scenario:,RexStrafesCata
Hash:,840135c10eab0223ff661b2a6460bf54
Game Version:,2.0.0.2

Input Lag:,0
Max FPS (config):,300.0
Sens Scale:,Quake/Source
Horiz Sens:,1.3
Vert Sens:,1.3
FOV:,90.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFFFF
