Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,14:16:44:689,target,BB Gun,0s,1,1,1,1,1,1,false
2,14:16:45:654,target,BB Gun,0.754s,2,1,0.5,1,2,0.5,false
3,14:16:45:823,400ms,BB Gun,0s,1,1,1,1,1,1,false
4,14:16:46:495,target,BB Gun,0s,1,1,1,1,1,1,false
5,14:16:47:413,target,BB Gun,0.671s,2,1,0.5,1,2,0.5,false
6,14:16:47:611,400ms,BB Gun,0s,1,1,1,1,1,1,false
7,14:16:48:250,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,14:16:49:124,target,BB Gun,0.637s,2,1,0.5,1,2,0.5,false
9,14:16:50:121,target,BB Gun,0.771s,2,1,0.5,1,2,0.5,false
10,14:16:51:063,target,BB Gun,0.707s,2,1,0.5,1,2,0.5,false
11,14:16:52:030,target,BB Gun,0.705s,2,1,0.5,1,2,0.5,false
12,14:16:52:943,target,BB Gun,0.669s,2,1,0.5,1,2,0.5,false
13,14:16:53:220,400ms,BB Gun,0s,1,1,1,1,1,1,false
14,14:16:53:822,target,BB Gun,0s,1,1,1,1,1,1,false
15,14:16:54:069,400ms,BB Gun,0s,1,1,1,1,1,1,false
16,14:16:54:725,target,BB Gun,0s,1,1,1,1,1,1,false
17,14:16:55:653,target,BB Gun,0.685s,2,1,0.5,1,2,0.5,false
18,14:16:55:840,400ms,BB Gun,0s,1,1,1,1,1,1,false
19,14:16:56:463,target,BB Gun,0s,1,1,1,1,1,1,false
20,14:16:57:365,target,BB Gun,0.686s,2,1,0.5,1,2,0.5,false
21,14:16:58:366,target,BB Gun,0.729s,2,1,0.5,1,2,0.5,false
22,14:16:59:249,target,BB Gun,0.656s,2,1,0.5,1,2,0.5,false
23,14:17:00:258,target,BB Gun,0.749s,2,1,0.5,1,2,0.5,false
24,14:17:01:201,target,BB Gun,0.695s,2,1,0.5,1,2,0.5,false
25,14:17:01:418,400ms,BB Gun,0s,1,1,1,1,1,1,false
26,14:17:02:086,target,BB Gun,0s,1,1,1,1,1,1,false
27,14:17:02:300,400ms,BB Gun,0s,1,1,1,1,1,1,false
28,14:17:02:967,target,BB Gun,0s,1,1,1,1,1,1,false
29,14:17:04:786,target,BB Gun,1.6s,4,1,0.25,1,4,0.25,false
30,14:17:05:779,target,BB Gun,0.736s,2,1,0.5,1,2,0.5,false
31,14:17:06:782,target,BB Gun,0.787s,2,1,0.5,1,2,0.5,false
32,14:17:06:968,400ms,BB Gun,0s,1,1,1,1,1,1,false
33,14:17:07:672,target,BB Gun,0s,1,1,1,1,1,1,false
34,14:17:08:571,target,BB Gun,0.678s,2,1,0.5,1,2,0.5,false
35,14:17:09:485,target,BB Gun,0.726s,2,1,0.5,1,2,0.5,false
36,14:17:10:402,target,BB Gun,0.744s,2,1,0.5,1,2,0.5,false
37,14:17:11:360,target,BB Gun,0.693s,2,1,0.5,1,2,0.5,false
38,14:17:12:433,target,BB Gun,0.761s,2,1,0.5,1,2,0.5,false
39,14:17:14:224,target,BB Gun,1.62s,4,1,0.25,1,4,0.25,false
40,14:17:15:262,target,BB Gun,0.765s,2,1,0.5,1,2,0.5,false
41,14:17:16:221,target,BB Gun,0.833s,3,1,0.333,1,3,0.333,false
42,14:17:17:209,target,BB Gun,0.822s,3,1,0.333,1,3,0.333,false
43,14:17:18:159,target,BB Gun,0.76s,2,1,0.5,1,2,0.5,false
44,14:17:19:127,target,BB Gun,0.752s,2,1,0.5,1,2,0.5,false
45,14:17:20:057,target,BB Gun,0.73s,2,1,0.5,1,2,0.5,false
46,14:17:21:002,target,BB Gun,0.722s,2,1,0.5,1,2,0.5,false
47,14:17:21:979,target,BB Gun,0.821s,2,1,0.5,1,2,0.5,false
48,14:17:22:873,target,BB Gun,0.688s,2,1,0.5,1,2,0.5,false
49,14:17:23:797,target,BB Gun,0.645s,2,1,0.5,1,2,0.5,false
50,14:17:24:888,target,BB Gun,0.832s,2,1,0.5,1,2,0.5,false
51,14:17:25:087,400ms,BB Gun,0s,1,1,1,1,1,1,false
52,14:17:25:765,target,BB Gun,0s,1,1,1,1,1,1,false
53,14:17:26:700,target,BB Gun,0.753s,2,1,0.5,1,2,0.5,false
54,14:17:27:647,target,BB Gun,0.697s,2,1,0.5,1,2,0.5,false
55,14:17:28:602,target,BB Gun,0.764s,2,1,0.5,1,2,0.5,false
56,14:17:29:437,target,BB Gun,0.633s,2,1,0.5,1,2,0.5,false
57,14:17:30:390,target,BB Gun,0.666s,2,1,0.5,1,2,0.5,false
58,14:17:31:325,target,BB Gun,0.609s,2,1,0.5,1,2,0.5,false
59,14:17:32:415,target,BB Gun,0.781s,2,1,0.5,1,2,0.5,false
60,14:17:33:401,target,BB Gun,0.791s,2,1,0.5,1,2,0.5,false
61,14:17:34:356,target,BB Gun,0.76s,2,1,0.5,1,2,0.5,false
62,14:17:34:561,400ms,BB Gun,0s,1,1,1,1,1,1,false
63,14:17:35:290,target,BB Gun,0s,1,1,1,1,1,1,false
