Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,22:55:45:915,target,BB Gun,0s,1,1,1,1,1,1,false
2,22:55:46:069,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
3,22:55:48:063,target,BB Gun,0.847s,2,1,0.5,1,2,0.5,false
4,22:55:49:276,target,BB Gun,1.034s,3,1,0.333,1,3,0.333,false
5,22:55:50:426,target,BB Gun,0.997s,2,1,0.5,1,2,0.5,false
6,22:55:50:561,500ms,BB Gun,0s,1,1,1,1,1,1,false
7,22:55:51:365,target,BB Gun,0.001s,1,1,1,1,1,1,false
8,22:55:52:563,target,BB Gun,1.052s,3,1,0.333,1,3,0.333,false
9,22:55:54:014,500ms,BB Gun,1.248s,4,1,0.25,1,4,0.25,false
10,22:55:55:024,target,BB Gun,0s,1,1,1,1,1,1,false
11,22:55:56:012,target,BB Gun,0.74s,2,1,0.5,1,2,0.5,false
12,22:55:57:147,target,BB Gun,0.906s,2,1,0.5,1,2,0.5,false
13,22:55:58:305,target,BB Gun,0.928s,2,1,0.5,1,2,0.5,false
14,22:55:58:540,500ms,BB Gun,0s,1,1,1,1,1,1,false
15,22:55:59:366,target,BB Gun,0s,1,1,1,1,1,1,false
16,22:56:00:706,500ms,BB Gun,1.105s,4,1,0.25,1,4,0.25,false
17,22:56:02:777,target,BB Gun,1.023s,3,1,0.333,1,3,0.333,false
18,22:56:02:988,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
19,22:56:03:810,target,BB Gun,0s,1,1,1,1,1,1,false
20,22:56:03:976,500ms,BB Gun,0s,1,1,1,1,1,1,false
21,22:56:04:756,target,BB Gun,0s,1,1,1,1,1,1,false
22,22:56:04:935,500ms,BB Gun,0s,1,1,1,1,1,1,false
23,22:56:05:720,target,BB Gun,0s,1,1,1,1,1,1,false
24,22:56:05:926,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
25,22:56:06:703,target,BB Gun,0.001s,1,1,1,1,1,1,false
26,22:56:06:876,500ms,BB Gun,0s,1,1,1,1,1,1,false
27,22:56:07:684,target,BB Gun,0s,1,1,1,1,1,1,false
28,22:56:07:901,500ms,BB Gun,0s,1,1,1,1,1,1,false
29,22:56:08:667,target,BB Gun,0s,1,1,1,1,1,1,false
30,22:56:08:889,500ms,BB Gun,0s,1,1,1,1,1,1,false
31,22:56:09:655,target,BB Gun,0.001s,1,1,1,1,1,1,false
32,22:56:09:867,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
33,22:56:10:582,target,BB Gun,0s,1,1,1,1,1,1,false
34,22:56:11:890,target,BB Gun,1.036s,3,1,0.333,1,3,0.333,false
35,22:56:12:971,target,BB Gun,0.859s,2,1,0.5,1,2,0.5,false
36,22:56:14:171,target,BB Gun,0.984s,2,1,0.5,1,2,0.5,false
37,22:56:14:338,500ms,BB Gun,0s,1,1,1,1,1,1,false
38,22:56:16:337,target,BB Gun,0.991s,3,1,0.333,1,3,0.333,false
39,22:56:16:503,500ms,BB Gun,0s,1,1,1,1,1,1,false
40,22:56:18:481,target,BB Gun,1.086s,3,1,0.333,1,3,0.333,false
41,22:56:18:679,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
42,22:56:19:522,target,BB Gun,0s,1,1,1,1,1,1,false
43,22:56:19:700,500ms,BB Gun,0s,1,1,1,1,1,1,false
44,22:56:20:472,target,BB Gun,0s,1,1,1,1,1,1,false
45,22:56:20:644,500ms,BB Gun,0.001s,1,1,1,1,1,1,false
46,22:56:21:430,target,BB Gun,0s,1,1,1,1,1,1,false
47,22:56:22:595,target,BB Gun,1.009s,2,1,0.5,1,2,0.5,false
48,22:56:22:741,500ms,BB Gun,0s,1,1,1,1,1,1,false
49,22:56:23:688,target,BB Gun,0s,1,1,1,1,1,1,false
